sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Ciprofloxacin,Fluoroquinolones,83.3,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Lomefloxacin,Fluoroquinolones,75.3,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Norfloxacin,Fluoroquinolones,2003.7,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Ofloxacin,Fluoroquinolones,3150,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Shanxi,Shanxi,4,112.562398,37.873531,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Azithromycin,Macrolides,1150.7,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Chlortetracycline,Tetracyclines,125.65,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Ciprofloxacin,Fluoroquinolones,411.1,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Erythromycin,Macrolides,6.3,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Norfloxacin,Fluoroquinolones,1795.55,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Ofloxacin,Fluoroquinolones,2920.65,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Oxytetracycline,Tetracyclines,1701.05,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Roxithromycin,Macrolides,29.85,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Sulfadimidine,Sulfonamides,2,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Sulfamethoxazole,Sulfonamides,13.1,ng/g,NA,107
municipal sludge,Tianjin,Tianjin,NA,117.200983,39.084158,Tetracycline,Tetracyclines,158.55,ng/g,NA,107
municipal sludge,Zhejiang,Zhejiang Hangzhou,7,120.15507,30.274084,Sulfamethoxazole,Sulfonamides,39.8,ng/g,2012,220
municipal sludge,Zhejiang,Zhejiang Hangzhou,7,120.15507,30.274084,Trimethoprim,Diaminopyrimidines,39.2,ng/g,2012,220
municipal wastewater (urban sewer),Heilongjiang,"Majia river drainage area, Harbin (urban sewer)",NA,NA,NA,Trimethoprim,Diaminopyrimidines,3.29,ng/L,2023,N67
municipal wastewater effluent,Anhui,Wuhu,NA,NA,NA,Ofloxacin,Fluoroquinolones,226,ng/L,2021,N52
municipal wastewater effluent,Anhui,Wuhu,NA,NA,NA,Sulfachloropyridazine,Sulfonamides,12.3,ng/L,2021,N52
municipal wastewater effluent,Anhui,Wuhu,NA,NA,NA,Sulfamethoxazole,Sulfonamides,4.8,ng/L,2021,N52
municipal wastewater effluent,Anhui,Wuhu,NA,NA,NA,Sulfapyridine,Sulfonamides,6.7,ng/L,2021,N52
municipal wastewater effluent,Anhui,Wuhu,NA,NA,NA,Trimethoprim,Diaminopyrimidines,1.7,ng/L,2021,N52
municipal wastewater effluent,Beijing,"Municipal WWTP, Beijing",NA,NA,NA,Norfloxacin,Fluoroquinolones,12190,ng/L,2023,N69
municipal wastewater effluent,Hainan,Hainan,NA,NA,NA,Ciprofloxacin,Fluoroquinolones,1510,ng/L,2018,N39
municipal wastewater effluent,Hainan,Hainan,NA,NA,NA,Ofloxacin,Fluoroquinolones,7283,ng/L,2018,N39
municipal wastewater effluent,Heilongjiang,Heilongjiang,NA,NA,NA,Norfloxacin,Fluoroquinolones,852.8499999999999,ng/L,2024,N18
municipal wastewater effluent,Heilongjiang,Heilongjiang,NA,NA,NA,Ofloxacin,Fluoroquinolones,122,ng/L,2024,N18
municipal wastewater effluent,Hunan,Zijiang river basin (12 STPs),NA,NA,NA,Amoxicillin,Beta-lactams,74.4,ng/L,2022,N59
municipal wastewater effluent,Hunan,Zijiang river basin (12 STPs),NA,NA,NA,Erythromycin,Macrolides,20,ng/L,2022,N59
municipal wastewater effluent,Hunan,Zijiang river basin (12 STPs),NA,NA,NA,Ofloxacin,Fluoroquinolones,31.1,ng/L,2022,N59
municipal wastewater effluent,Hunan,Zijiang river basin (12 STPs),NA,NA,NA,Roxithromycin,Macrolides,37.6,ng/L,2022,N59
municipal wastewater effluent,Hunan,Zijiang river basin (12 STPs),NA,NA,NA,Sulfamonomethoxine,Sulfonamides,19.1,ng/L,2022,N59
municipal wastewater effluent,Liaoning,"12 municipal WWTPs, Dalian",March-May,NA,NA,Ofloxacin,Fluoroquinolones,253.4,ng/L,2016,CAND_DALIAN_2017
municipal wastewater effluent,Shaanxi,WWTP effluent (W1) discharging to Weihe river,NA,NA,NA,Azithromycin,Macrolides,735.89,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,WWTP effluent (W1) discharging to Weihe river,NA,NA,NA,Clarithromycin,Macrolides,73.82,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,WWTP effluent (W1) discharging to Weihe river,NA,NA,NA,Erythromycin,Macrolides,40.59,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,WWTP effluent (W1) discharging to Weihe river,NA,NA,NA,Roxithromycin,Macrolides,200.47,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,WWTP effluent (W1) discharging to Weihe river,NA,NA,NA,Spiramycin,Macrolides,21.83,ng/L,2021,N84
municipal wastewater effluent,Shandong,Jinan,NA,NA,NA,Levofloxacin,Fluoroquinolones,204.74,ng/L,2018,N51
municipal wastewater effluent,Xinjiang,"8 WWTPs in Tianshan Mountain basin, Northwest China",NA,NA,NA,Azithromycin,Macrolides,90,ng/L,2024,N68
municipal wastewater effluent,Xinjiang,"8 WWTPs in Tianshan Mountain basin, Northwest China",NA,NA,NA,Clindamycin,Lincosamides,30.2,ng/L,2024,N68
municipal wastewater effluent,Xinjiang,"8 WWTPs in Tianshan Mountain basin, Northwest China",NA,NA,NA,Ofloxacin,Fluoroquinolones,331.5,ng/L,2024,N68
pharmaceutical wastewater,Guangdong,PMF4 (Guangdong),NA,NA,NA,Erythromycin,Macrolides,19.24,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,PMF4 (Guangdong),NA,NA,NA,Lincomycin,Lincosamides,192.69,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,PMF4 (Guangdong),NA,NA,NA,Ofloxacin,Fluoroquinolones,234.56,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,PMF4 (Guangdong),NA,NA,NA,Roxithromycin,Macrolides,3.7649999999999997,ng/L,2020,N54
pharmaceutical wastewater,Hebei,PMF1 (Hebei),NA,NA,NA,Erythromycin,Macrolides,21.15,ng/L,2020,N54
pharmaceutical wastewater,Hebei,PMF1 (Hebei),NA,NA,NA,Lincomycin,Lincosamides,15.3,ng/L,2020,N54
pharmaceutical wastewater,Hebei,PMF1 (Hebei),NA,NA,NA,Methacycline,Tetracyclines,24.315,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Clarithromycin,Macrolides,24.54,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Erythromycin,Macrolides,70.92,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Norfloxacin,Fluoroquinolones,109.01,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Ofloxacin,Fluoroquinolones,94.75,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Roxithromycin,Macrolides,55.150000000000006,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,PMF2 (Jiangsu),NA,NA,NA,Sulfadiazine,Sulfonamides,3.315,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,PMF3 (Zhejiang),NA,NA,NA,Ciprofloxacin,Fluoroquinolones,19.145,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,PMF3 (Zhejiang),NA,NA,NA,Erythromycin,Macrolides,9.01,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,PMF3 (Zhejiang),NA,NA,NA,Lincomycin,Lincosamides,3.6,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,PMF3 (Zhejiang),NA,NA,NA,Ofloxacin,Fluoroquinolones,26.945,ng/L,2020,N54
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Chlortetracycline,Tetracyclines,26.94,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Ciprofloxacin,Fluoroquinolones,1.38,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Doxycycline,Tetracyclines,46.77,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Enrofloxacin,Fluoroquinolones,17.29,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Norfloxacin,Fluoroquinolones,3.4,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Sulfacetamide,Sulfonamides,19.01,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Sulfaquinoxaline,Sulfonamides,102.92,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Fen river basin (23 sites),NA,NA,NA,Tetracycline,Tetracyclines,39.43,ng/L,2021,N79
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Azithromycin,Macrolides,0.13,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Chlortetracycline,Tetracyclines,1.69,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Ciprofloxacin,Fluoroquinolones,1.16,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Clarithromycin,Macrolides,0.15,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Danofloxacin,Fluoroquinolones,0.05,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Enrofloxacin,Fluoroquinolones,11.7,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Erythromycin-H2O,Macrolides,0.58,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Lincomycin,Lincosamides,0.45,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Marbofloxacin,Fluoroquinolones,0.01,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Norfloxacin,Fluoroquinolones,0.36,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Ofloxacin,Fluoroquinolones,2.02,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Oxytetracycline,Tetracyclines,0.96,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Roxithromycin,Macrolides,1.2,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfadiazine,Sulfonamides,0.35,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfadimidine,Sulfonamides,0.14,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfafurazole,Sulfonamides,0.07,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfamonomethoxine,Sulfonamides,0.27,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfapyridine,Sulfonamides,0.08,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Sulfathiazole,Sulfonamides,0.02,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Trimethoprim,Diaminopyrimidines,0.08,ng/g,2016,132
sediment,Anhui,Anhui Chao Lake,7,117.57238,31.53991,Tylosin,Macrolides,0.14,ng/g,2016,132
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Chlortetracycline,Tetracyclines,3.0999999999999996,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Ciprofloxacin,Fluoroquinolones,0.09,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Enrofloxacin,Fluoroquinolones,0.25,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Erythromycin,Macrolides,0.019,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Norfloxacin,Fluoroquinolones,0.25,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Oxytetracycline,Tetracyclines,5.5,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Roxithromycin,Macrolides,0.2,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Sulfadiazine,Sulfonamides,0.06,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Sulfadimidine,Sulfonamides,0.019,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Sulfamethoxazole,Sulfonamides,0.0295,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Tetracycline,Tetracyclines,0.019,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou,NA,118.317106,32.301556,Trimethoprim,Diaminopyrimidines,0.02,ng/g,2019,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Chlortetracycline,Tetracyclines,1.3,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Ciprofloxacin,Fluoroquinolones,5.1,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Enrofloxacin,Fluoroquinolones,77,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Erythromycin,Macrolides,1.1,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Norfloxacin,Fluoroquinolones,1.1,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Oxytetracycline,Tetracyclines,0.48,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Roxithromycin,Macrolides,0.92,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Sulfadiazine,Sulfonamides,0.09,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Sulfadimidine,Sulfonamides,0.22,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Sulfamethoxazole,Sulfonamides,0.21,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Tetracycline,Tetracyclines,0.85,ng/g,2018,58
sediment,Anhui,Anhui Chuzhou Tianchang,NA,118.953056,32.9,Trimethoprim,Diaminopyrimidines,0.12,ng/g,2018,58
sediment,Anhui,Anhui Hefei Luyang district Huaining North Road,4,117.220495,31.891695,Roxithromycin,Macrolides,1.6,ng/g,2018,35
sediment,Anhui,Anhui Hefei Luyang district Huaining North Road,4,117.220495,31.891695,Sulfamethoxazole,Sulfonamides,2.7,ng/g,2018,35
sediment,Anhui,Anhui Hefei Luyang district Suzhou Road,4,117.288788,31.860614,Ofloxacin,Fluoroquinolones,219,ng/g,2018,35
sediment,Anhui,Anhui Hefei Yaohai district Gujing Bridge,4,117.297236,31.870531,Ofloxacin,Fluoroquinolones,15,ng/g,2018,35
sediment,Anhui,Anhui Hefei Yaohai district Gujing Bridge,4,117.297236,31.870531,Roxithromycin,Macrolides,6.4,ng/g,2018,35
sediment,Anhui,Anhui Hefei Yaohai district Tongling Road Viaduct,4,117.32305,31.866259,Ofloxacin,Fluoroquinolones,77,ng/g,2018,35
sediment,Anhui,Anhui Hefei Yaohai district Tongling Road Viaduct,4,117.32305,31.866259,Roxithromycin,Macrolides,7.8,ng/g,2018,35
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Chlortetracycline,Tetracyclines,27.1,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Ciprofloxacin,Fluoroquinolones,0.3,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Enrofloxacin,Fluoroquinolones,0.6,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Erythromycin,Macrolides,0.1,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Norfloxacin,Fluoroquinolones,0.3,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Oxytetracycline,Tetracyclines,7.5,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Roxithromycin,Macrolides,0.2,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Sulfadiazine,Sulfonamides,0.7,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Sulfadimidine,Sulfonamides,0.7,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Sulfamethoxazole,Sulfonamides,0.3,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Tetracycline,Tetracyclines,0.019,ng/g,2019,58
sediment,Anhui,Anhui Luan,NA,116.521854,31.733699,Trimethoprim,Diaminopyrimidines,0.4,ng/g,2019,58
sediment,Anhui,Anqing,NA,NA,NA,Ciprofloxacin,Fluoroquinolones,1.28,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Anhui,Anqing,NA,NA,NA,Clarithromycin,Macrolides,2.26,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Anhui,Anqing,NA,NA,NA,Erythromycin-H2O,Macrolides,1.19,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Anhui,Anqing,NA,NA,NA,Norfloxacin,Fluoroquinolones,2.81,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Anhui,Anqing,NA,NA,NA,Oxytetracycline,Tetracyclines,8.6,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Anhui,Anqing,NA,NA,NA,Tetracycline,Tetracyclines,23.3,ng/g,2020,NEW_ANHUI_CHEN_2021
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Chlortetracycline,Tetracyclines,10.2,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Ciprofloxacin,Fluoroquinolones,28,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Enrofloxacin,Fluoroquinolones,4.59,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Erythromycin-H2O,Macrolides,2.97,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Lomefloxacin,Fluoroquinolones,4.14,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Norfloxacin,Fluoroquinolones,16.7,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Ofloxacin,Fluoroquinolones,6.35,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Oxytetracycline,Tetracyclines,12,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Roxithromycin,Macrolides,0.64,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Sulfachloropyridazine,Sulfonamides,0.06,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Sulfadiazine,Sulfonamides,0.8,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Sulfadimidine,Sulfonamides,0.22,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Sulfamethoxazole,Sulfonamides,0.04,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Tetracycline,Tetracyclines,13.3,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Trimethoprim,Diaminopyrimidines,7.08,ng/g,2017,78
sediment,Beijing,Beijing Chaobai river,12,116.755429,40.066359,Tylosin,Macrolides,0.34,ng/g,2017,78
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Norfloxacin,Fluoroquinolones,8.69,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Ofloxacin,Fluoroquinolones,3.04,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Roxithromycin,Macrolides,8.887,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Sulfadimethoxine,Sulfonamides,0.09,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Sulfadimidine,Sulfonamides,0.1,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Sulfafurazole,Sulfonamides,0.36,ng/g,2014,173
sediment,Beijing,Beijing Haidian Zizhuyuan Lake,3,116.323687,39.947707,Sulfapyridine,Sulfonamides,0.04,ng/g,2014,173
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Enrofloxacin,Fluoroquinolones,3.28,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Ofloxacin,Fluoroquinolones,5.57,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Oxytetracycline,Tetracyclines,21.22,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Sulfadiazine,Sulfonamides,1.89,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Sulfamethoxazole,Sulfonamides,1.4,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,12,117.121383,40.140701,Tetracycline,Tetracyclines,8.03,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Enrofloxacin,Fluoroquinolones,0.06,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Ofloxacin,Fluoroquinolones,1.64,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Oxytetracycline,Tetracyclines,35.36,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Sulfadiazine,Sulfonamides,0.53,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Sulfamethoxazole,Sulfonamides,1.6,ng/g,2012,88
sediment,Beijing,Beijing Pinggu district Jiyun river,5,117.121383,40.140701,Tetracycline,Tetracyclines,5.16,ng/g,2012,88
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Enrofloxacin,Fluoroquinolones,32.48,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Erythromycin,Macrolides,131.29,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Norfloxacin,Fluoroquinolones,1290,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Ofloxacin,Fluoroquinolones,1170,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Roxithromycin,Macrolides,20.14,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Sulfadimidine,Sulfonamides,5.91,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Sulfamerazine,Sulfonamides,14.9,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Sulfamethoxazole,Sulfonamides,64.75,ng/g,2018,70
sediment,Chongqing,Chongqing,3,106.551556,29.563009,Sulfathiazole,Sulfonamides,2.65,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Ciprofloxacin,Fluoroquinolones,5.32,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Enrofloxacin,Fluoroquinolones,3.73,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Erythromycin,Macrolides,5.74,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Norfloxacin,Fluoroquinolones,7.11,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Ofloxacin,Fluoroquinolones,6.08,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Oxytetracycline,Tetracyclines,1.7,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Roxithromycin,Macrolides,1.86,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Sulfadimidine,Sulfonamides,1.37,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Sulfamethoxazole,Sulfonamides,1.09,ng/g,2018,70
sediment,Chongqing,Chongqing,9,106.551556,29.563009,Sulfathiazole,Sulfonamides,0.33,ng/g,2018,70
