sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Doxycycline,Tetracyclines,110.8,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Enrofloxacin,Fluoroquinolones,19.9,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Norfloxacin,Fluoroquinolones,15.1,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Ofloxacin,Fluoroquinolones,7.6,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Oxytetracycline,Tetracyclines,268.8,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Roxithromycin,Macrolides,2.5,ng/g,2013,120
sediment,Liaoning,Liaoning Bohai Sea and surrounding estuaries,8,121.66667,41,Tetracycline,Tetracyclines,25.3,ng/g,2013,120
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Chloramphenicol,Phenicols,1.02,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Doxycycline,Tetracyclines,1.33,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Florfenicol,Phenicols,0.43,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfacetamide,Sulfonamides,0.13,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfadiazine,Sulfonamides,0.5,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfadimidine,Sulfonamides,0.26,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfamerazine,Sulfonamides,1.73,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfameter,Sulfonamides,8.82,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfamethoxypyridazine,Sulfonamides,1.49,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfamonomethoxine,Sulfonamides,1.63,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Sulfathiazole,Sulfonamides,0.09,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,8,122.592452,39.285859,Tetracycline,Tetracyclines,1.68,ng/g,2011,194
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Ciprofloxacin,Fluoroquinolones,91.4,ng/g,2015,124
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Enrofloxacin,Fluoroquinolones,10.5,ng/g,2015,124
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Oxytetracycline,Tetracyclines,59.3,ng/g,2015,124
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Sulfadiazine,Sulfonamides,12.6,ng/g,2015,124
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Sulfamethoxazole,Sulfonamides,8.49,ng/g,2015,124
sediment,Liaoning,Liaoning Dalian,9,121.614682,38.914003,Tetracycline,Tetracyclines,29.2,ng/g,2015,124
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Chlortetracycline,Tetracyclines,2,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Enrofloxacin,Fluoroquinolones,2.71,ng/g,2012,217
sediment,Liaoning,Liaoning Liao river basin,5,123.166667,42.5,Erythromycin-H2O,Macrolides,11.45,ng/g,2012,217
