Province,Total_Water_Resources_100_million_cu_m,Surface_Water_Resources_100_million_cu_m,Groundwater_Resources_100_million_cu_m,Overlapped_Measurement_100_million_cu_m,Per_Capita_Water_Resources_cu_m_person,Water_Supply_100_million_cu_m,Surface_Water_Supply_100_million_cu_m,Groundwater_Supply_100_million_cu_m,Nonconventional_Water_Supply_100_million_cu_m,Water_Use_100_million_cu_m,Agriculture_Use_100_million_cu_m,Industry_Use_100_million_cu_m,Households_Service_Use_100_million_cu_m,Artificial_Ecoenvironment_Use_100_million_cu_m,Per_Capita_Water_Use_cu_m_person,Cultivated_Land_1000_ha,Garden_Land_1000_ha,Forest_Land_1000_ha,Grassland_1000_ha,Wetland_1000_ha,Land_for_Urban_Rural_Industrial_Mining_1000_ha,Land_Used_for_Transport_1000_ha,Land_Used_for_Water_Water_Conservancy_1000_ha,Investment_in_Urban_Env_Infra_10000_yuan,Gas_Supply_10000_yuan,Centralized_Heating_10000_yuan,Drainage_Works_10000_yuan),Gardening_Greening_10000_yuan,Environmental_Sanitation_10000_yuan),Irrigated_Area_of_Cultivated_Land_1000_ha,Consumption_of_Chemical_Fertilizers_10000_tons,Nitrogenous_Fertilizer_10000_tons,Phosphatic_Fertilizer_10000_tons,Potassic_Fertilizer_10000_tons,Compound_Fertilizer_10000_tons,Village_Clinics,Village_run,Outlets_of_Township_Health_Centers,Joint_run,Private_run,Others,Investment_Completed_in_Treatment_of_Industrial_Pollution_10000_yuan,Treatment_of_Wastewater_10000_yuan,Treatment_of_Waste_Gas_10000_yuan,Treatment_of_Solid_Waste_10000_yuan,Treatment_of_Noise_Pollution_10000_yuan,Treatment_of_Other_Pollution_10000_yuan,Total_Health_Care_Institutions,General_Hospitals,Traditional_Chinese_Medicine_Hospitals,Specialized_Hospitals,Health_Care_Institutions_at_Grassroot_Level,Community_Health_Service_Centers_Stations,Township_Health_Centers,Village_Clinics,Outpatient_Departments,Specialized_Public_Health_Institutions,Centers_for_Disease_Control,Specialized_Disease_Prevention_Treatment_Institutions,Maternal_and_Children_Care_Centers,Health_Inspection_Institutions,COD_ton,Ammonia_Nitrogen_ton,Total_Nitrogen_ton,Total_Phosphorus_ton,Petroleum_ton,Volatile_Phenol_kg,Cyanide_kg,Heavy_Metals_kg
Hainan,439.7,431.8,115.9,7.9,4205.6,44.4,42.2,1.4,0.8,44.4,29.9,1.7,10.4,2.4,424.7,494.8,1220.6,1142.3,18.3,121.5,253.2,65.2,184,291842,12776,340526,247219,22462,9385,336.3,36.4,9.4,2.3,6.6,18,2121,844,574,22,512,169,1508,583,730,—,—,195,6382,247,127,24,5999,216,2121,2121,3362,111,27,16,26,14,175979,8004,30477,4385,2,127,33,44
Chongqing,469.8,469.8,96.2,—,1472.5,71.3,64.7,0.3,6.3,71.3,25.1,21.8,22.7,1.7,223.5,1869.6,280.2,4671,27.5,14.5,640,184.6,273.3,1580317,275939,1100,770490,409854,122934,698.4,88.2,41.6,15.1,5.1,26.4,9353,7169,786,152,404,842,10537,113,10410,8,—,6,23815,851,433,143,22734,620,9353,9353,11972,121,41,8,40,6,429462,24196,65315,6565,115,3664,483,251
Sichuan,2434.4,2433.1,605.9,1.2,2909.9,255.2,241.6,5.3,8.4,255.2,163,20.7,61.3,10.2,305,5252.6,1185.4,25387.1,9607.1,1228.4,1872.1,567,1080.5,6209515,823091,33945,3127361,1140626,1084492,3025.7,200.3,73.1,30.5,13.8,82.9,40229,23118,3153,1328,7996,4634,430025,72276,345353,13,—,12382,74797,2421,1341,284,71467,1101,40229,40229,27380,672,212,20,202,150,1473764,67372,193442,21037,81,784,91,836
Guizhou,969.1,969.1,238,—,2509,93,90.3,1.2,1.5,93,59.5,10.3,22.1,1.1,240.8,3415.2,563.3,11213.6,195.2,7,788.1,373.7,264.9,604915,116190,5472,418125,19070,46058,1244.1,73.6,29.4,7.9,6.5,29.7,18972,11623,516,230,3233,3370,153814,59376,20892,13,5,73541,30869,1572,1029,156,28951,1097,18972,18972,18972,282,101,4,99,22,1179543,34203,107413,15993,14,329,397,725
Yunnan,1760.4,1760.4,595.7,—,3774.4,160.5,152.1,4.7,3.7,160.5,113.3,12.4,26.8,8.1,344.1,5484.5,2517.1,24797.6,1311.8,35,1116,573.8,631.3,1252307,153247,340526,890299,122987,85774,2057.5,177.5,79.5,23,20.2,54.8,13513,9855,1851,667,149,991,112873,7004,81892,10760,359,12857,29667,1390,837,171,27662,669,13513,13513,12121,533,149,25,146,123,772366,39132,121311,12081,29,315,149,1669
Xizang,4420,4420,996.5,—,120272.1,32.1,29.7,2.1,0.3,32.1,27,1.4,3.2,0.5,873.5,445.3,14,17885,80038.7,4297.9,176.3,177.7,5941.3,143753,17497,24042,92810,2200,7204,305,2.6,0.9,0.5,0.1,1.1,5222,3225,1223,8,12,766,26,—,26,—,—,—,7233,199,119,15,6912,22,5222,5222,1000,120,82,27,27,3,506406,9368,29589,4228,0,—,—,18
Shaanxi,389.3,353.8,144.4,35.5,984.9,100,61.6,30.1,8.4,100,56,14.9,21.2,7.9,253,3040.6,1105.4,12436.5,2188.8,45.9,941.7,321.6,283.1,1951759,219246,344591,1002632,243579,141711,1186.6,193.7,71.8,15.8,19.1,87,20995,19444,115,203,1221,12,67346,26397,9166,382,—,31401,35426,1288,737,181,33662,769,20995,20995,10372,355,121,4,118,74,400614,20984,49220,4706,28,1198,321,1127
Gansu,261.4,250.6,123.3,10.8,1062,117.3,83.9,28.5,4.8,117.3,90,6.4,10.6,10.3,476.5,5220.3,413.4,8218.9,14039.3,1182.1,887.1,358.3,413.7,1718766,218513,525968,722488,81172,170625,1453.9,77.3,29.4,14.1,7.7,26,16222,5742,6755,751,1413,1561,64955,9911,36913,607,—,17524,26741,765,365,127,25653,832,16222,16222,7255,286,105,10,99,4,920791,12589,46883,6804,12,542,105,804
Qinghai,958.6,932.4,412.9,26.2,16151.6,26.1,20.2,4.6,1.3,26.1,17.7,3.2,3.2,2,439.8,570,59.2,4604,39432.9,5100,384.2,154.3,2455.3,161140,36229,59072,57248,7941,650,229.1,4.5,1.7,0.5,0.1,2.1,4489,2571,656,479,317,466,128587,10375,57637,26146,62,34367,6914,252,134,16,6536,280,4489,4489,3952,124,54,2,52,1,281929,4158,14989,1456,3,298,80,52
Ningxia,13,10,16.1,3,178.3,61.4,52.9,4.7,3.8,61.4,48.7,5.7,3.8,3.2,842.2,1207.3,89.2,981.3,1980.6,25.4,303.7,101.2,170.7,470978,77162,184033,188160,16168,5455,564.7,36.8,13.5,4.1,2.9,16.3,2139,77162,2139,—,—,—,36360,34163,34163,333,—,1864,4986,219,132,31,4660,254,2139,2139,2063,84,27,—,25,2,263736,4852,15892,2469,6,182,151,19
Xinjiang,1025.9,975.7,541.1,50.2,3929.9,633,498.3,118.7,16,633,567.4,11.8,20,33.9,2424.8,7191.3,1044.1,12576,51465,1511.9,1538,628.4,5354.3,995623,145224,327910,390784,92298,39407,6679.2,251.9,105.8,55.6,24.4,66.1,9526,1655,6226,771,132,742,108805,10463,81210,5119,20,11993,19112,1009,739,83,17713,1357,9526,9526,5905,367,172,3,105,18,704744,23707,61355,6294,26,870,157,368
