"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
206,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozone micronano-bubble-enhanced pretreatment","Laboratory scale","Pretreated effluent","Ultra-performance liquid chromatography-diode array detection(UPLC-DAD)","1","","","","",2023,"S054","Tang, L., Huang, J., Zhuang, C., Zhou, S., Sun, L., Lu, H., 2023. Micronano-bubble ozonation as an efficient pretreatment technology for raw oxytetracycline production wastewater discharged to biological treatment. Chemical Engineering Journal 476, 146518. https://doi.org/10.1016/j.cej.2023.146518"
207,"Oxytetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","22.4 ± 1.5","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","Average (4.80 ± 12.84) × 10^5","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
208,"Oxytetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Pretreated effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","About 5.2","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
209,"Oxytetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Secondary effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","About 1.5","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","5.76×10^6-4.61×10^8","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
210,"Oxytetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Advanced treatment effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","Nearly 0","Quantitative Real-time PCR","2sul, 3tet, 2bla, qnrD","0.4-5.1×10^7","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
211,"Tetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","8.0 ± 3.5","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","Average (4.80 ± 12.84) × 10^5","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
212,"Tetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Pretreated effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","About 1.6","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
213,"Tetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Secondary effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","About 0.34","Quantitative Real-time PCR","2sul, 4tet, 2bla, ermB, qnrD","5.76×10^6-4.61×10^8","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
214,"Tetracycline","Tetracyclines","Tianjin, China","Wastewater","Up-flow anaerobic sludge bed-Anoxic/Oxic(UASB-A/O), Feton/UV advanced treatment","Laboratory scale","Advanced treatment effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","Nearly 0","Quantitative Real-time PCR","2sul, 3tet, 2bla, qnrD","0.4-5.1×10^7","",2019,"S055","Hou, J., Chen, Z., Gao, J., Xie, Y., Li, L., Qin, S., Wang, Q., Mao, D., Luo, Y., 2019. Simultaneous removal of antibiotics and antibiotic resistance genes from pharmaceutical wastewater using the combinations of up-flow anaerobic sludge bed, anoxic-oxic tank, and advanced oxidation technologies. Water Research 159, 511–520. https://doi.org/10.1016/j.watres.2019.05.034"
215,"Oxytetracycline","Tetracyclines","Northern China","Wastewater","Expanded granular sludge bed-Membrane bioreactor(EGSB-MBR)","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","334.3±43.2","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
216,"Oxytetracycline","Tetracyclines","Northern China","Wastewater","Expanded granular sludge bed-Membrane bioreactor(EGSB-MBR)","Laboratory scale","Final effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","32.0±6.4","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
217,"Oxytetracycline","Tetracyclines","Northern China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","2.4±0.7","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
218,"Tetracycline","Tetracyclines","Northern China","Wastewater","Expanded granular sludge bed-Membrane bioreactor(EGSB-MBR)","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","11.9±2.2","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
219,"Tetracycline","Tetracyclines","Northern China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","61.0±12.2","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
220,"Tetracycline","Tetracyclines","Northern China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Laboratory scale","Final effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","2.6±0.8","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
221,"Chlortetracycline","Tetracyclines","Northern China","Wastewater","Expanded granular sludge bed-Membrane bioreactor(EGSB-MBR)","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","1.8±0.5","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
222,"Chlortetracycline","Tetracyclines","Northern China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","0.8±0.1","","","","",2016,"S056","Hou, J., Wang, C., Mao, D., Luo, Y., 2016. The occurrence and fate of tetracyclines in two pharmaceutical wastewater treatment plants of Northern China. Environ Sci Pollut Res 23, 1722–1731. https://doi.org/10.1007/s11356-015-5431-5"
223,"Penicillin","β-lactams","Shanghai, China","Wastewater","Electrochemical enhanced heterogeneous activation of peroxymonosulfate(EC/CoFe2O4/PMS)","Laboratory scale","Final effluent","High performance liquid chromatography(HPLC)","2.5","","","","",2023,"S057","Liu, L., Wang, J., Li, Jianan, Zhang, M., Zhang, Y., Zhan, R., Li, Jiaxin, Wang, Z., 2023. Insights into the practicability of electrochemical enhanced heterogeneous activation of peroxymonosulfate for the treatment of liquid waste during penicillin g production. Chemical Engineering Journal 455, 140590. https://doi.org/10.1016/j.cej.2022.140590"
224,"Penicillin","β-lactams","Shanghai, China","Wastewater","Electrochemical enhanced heterogeneous activation of peroxymonosulfate(EC/CoFe2O4/PMS)","Laboratory scale","Advanced treatment effluent","High performance liquid chromatography(HPLC)","0.24-0.28","","","","",2023,"S057","Liu, L., Wang, J., Li, Jianan, Zhang, M., Zhang, Y., Zhan, R., Li, Jiaxin, Wang, Z., 2023. Insights into the practicability of electrochemical enhanced heterogeneous activation of peroxymonosulfate for the treatment of liquid waste during penicillin g production. Chemical Engineering Journal 455, 140590. https://doi.org/10.1016/j.cej.2022.140590"
225,"Amoxicillin","β-lactams","Northern China","Wastewater","Up-flow anaerobic sludge bed(UASB)","Full-scale","Raw wastewater","High performance liquid chromatography(HPLC)","61-171","","","","",2011,"S058","Chen, Zhiqiang, Wang, H., Chen, Zhaobo, Ren, N., Wang, A., Shi, Y., Li, X., 2011. Performance and model of a full-scale up-flow anaerobic sludge blanket (UASB) to treat the pharmaceutical wastewater containing 6-APA and amoxicillin. Journal of Hazardous Materials 185, 905–913. https://doi.org/10.1016/j.jhazmat.2010.09.106"
226,"Amoxicillin","β-lactams","Northern China","Wastewater","Up-flow anaerobic sludge bed(UASB)","Full-scale","Pretreated effluent","High performance liquid chromatography(HPLC)","75 ± 29","","","","",2011,"S058","Chen, Zhiqiang, Wang, H., Chen, Zhaobo, Ren, N., Wang, A., Shi, Y., Li, X., 2011. Performance and model of a full-scale up-flow anaerobic sludge blanket (UASB) to treat the pharmaceutical wastewater containing 6-APA and amoxicillin. Journal of Hazardous Materials 185, 905–913. https://doi.org/10.1016/j.jhazmat.2010.09.106"
227,"Streptomycin","Aminoglycosides","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","2218.0 ± 102.3","","","","",2019,"S059","Tang, M., Dou, X., Tian, Z., Yang, M., Zhang, Y., 2019. Enhanced hydrolysis of streptomycin from production wastewater using CaO/MgO solid base catalysts. Chemical Engineering Journal 355, 586–593. https://doi.org/10.1016/j.cej.2018.08.173"
228,"Streptomycin","Aminoglycosides","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Laboratory scale","Pretreated effluent","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","About 40","","","","",2019,"S059","Tang, M., Dou, X., Tian, Z., Yang, M., Zhang, Y., 2019. Enhanced hydrolysis of streptomycin from production wastewater using CaO/MgO solid base catalysts. Chemical Engineering Journal 355, 586–593. https://doi.org/10.1016/j.cej.2018.08.173"
229,"Streptomycin","Aminoglycosides","Shijiazhuang, Hebei Province, China","Wastewater","Biological contact reactor","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","3.9554 ± 1.9107","","","","",2012,"S060","Deng, Y., Zhang, Y., Gao, Y., Li, D., Liu, R., Liu, M., Zhang, H., Hu, B., Yu, T., Yang, M., 2012. Microbial Community Compositional Analysis for Series Reactors Treating High Level Antibiotic Wastewater. Environ. Sci. Technol. 46, 795–801. https://doi.org/10.1021/es2025998"
230,"Streptomycin","Aminoglycosides","Shijiazhuang, Hebei Province, China","Wastewater","Biological contact reactor","Full-scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","1.4774 ± 0.7137","","","","",2012,"S060","Deng, Y., Zhang, Y., Gao, Y., Li, D., Liu, R., Liu, M., Zhang, H., Hu, B., Yu, T., Yang, M., 2012. Microbial Community Compositional Analysis for Series Reactors Treating High Level Antibiotic Wastewater. Environ. Sci. Technol. 46, 795–801. https://doi.org/10.1021/es2025998"
231,"Streptomycin","Aminoglycosides","Shijiazhuang, Hebei Province, China","Wastewater","Biological contact reactor","Full-scale","Anaerobic reactor effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","0.4086 ± 0.0597","","","","",2012,"S060","Deng, Y., Zhang, Y., Gao, Y., Li, D., Liu, R., Liu, M., Zhang, H., Hu, B., Yu, T., Yang, M., 2012. Microbial Community Compositional Analysis for Series Reactors Treating High Level Antibiotic Wastewater. Environ. Sci. Technol. 46, 795–801. https://doi.org/10.1021/es2025998"
232,"Streptomycin","Aminoglycosides","Shijiazhuang, Hebei Province, China","Wastewater","Biological contact reactor","Full-scale","Aerobic reactor effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","0.0231 ± 0.0016","","","","",2012,"S060","Deng, Y., Zhang, Y., Gao, Y., Li, D., Liu, R., Liu, M., Zhang, H., Hu, B., Yu, T., Yang, M., 2012. Microbial Community Compositional Analysis for Series Reactors Treating High Level Antibiotic Wastewater. Environ. Sci. Technol. 46, 795–801. https://doi.org/10.1021/es2025998"
233,"Streptomycin","Aminoglycosides","Shijiazhuang, Hebei Province, China","Wastewater","Biological contact reactor","Full-scale","Secondary effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","0.0231 ± 0.0047","","","","",2012,"S060","Deng, Y., Zhang, Y., Gao, Y., Li, D., Liu, R., Liu, M., Zhang, H., Hu, B., Yu, T., Yang, M., 2012. Microbial Community Compositional Analysis for Series Reactors Treating High Level Antibiotic Wastewater. Environ. Sci. Technol. 46, 795–801. https://doi.org/10.1021/es2025998"
234,"Kanamycin","Aminoglycosides","Fujian Province, China","Wastewater","Hydrolysis treatment","Full-scale","Raw wastewater","Ultra-performance liquid chromatography-electrospray ionization-tandem mass spectrometry(UPLC/ESI-MS/MS)","1109 ± 26","","","","",2020,"S061","Tang, M., Li, F., Yang, M., Zhang, Y., 2020. Degradation of kanamycin from production wastewater with high-concentration organic matrices by hydrothermal treatment. Journal of Environmental Sciences 97, 11–18. https://doi.org/10.1016/j.jes.2020.04.032"
235,"Paromomycin","Aminoglycosides","Wuxi, Jiangsu Province, China","Wastewater","Yeast pretreatment","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","10.85 ± 1.8","","","","",2017,"S062","Wang, C., Ding, R., Gao, Y., Yang, M., Zhang, Y., 2017. Performance and Yeast Tracking in A Full-Scale Oil-Containing Paromomycin Production Wastewater Treatment System Using Yeast. Water 9, 295. https://doi.org/10.3390/w9040295"
236,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","900±100","","","","",2022,"S063","Tian Y, Tian Z, He Y, Sun G, Zhang Y, Yang M. Removal of denatured protein particles enhanced UASB treatment of oxytetracycline production wastewater. Science of The Total Environment. 2022;816:151549. doi:10.1016/j.scitotenv.2021.151549"
237,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","＜1","","","","",2022,"S063","Tian Y, Tian Z, He Y, Sun G, Zhang Y, Yang M. Removal of denatured protein particles enhanced UASB treatment of oxytetracycline production wastewater. Science of The Total Environment. 2022;816:151549. doi:10.1016/j.scitotenv.2021.151549"
238,"Penicillin","β-lactams","Shijiazhuang, Hebei Province, China","Wastewater","Anaerobic-aerobic treatment","Full-scale","Raw wastewater","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.1537±0.004","","","","",2008,"S064","Li, D., Yang, M., Hu, J., Zhang, Y., Chang, H., Jin, F., 2008. Determination of penicillin G and its degradation products in a penicillin production wastewater treatment plant and the receiving river. Water Research 42, 307–317. https://doi.org/10.1016/j.watres.2007.07.016"
239,"Penicillin","β-lactams","Shijiazhuang, Hebei Province, China","Wastewater","Anaerobic-aerobic treatment","Full-scale","Final effluent","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.001687±0.00048","","","","",2008,"S064","Li, D., Yang, M., Hu, J., Zhang, Y., Chang, H., Jin, F., 2008. Determination of penicillin G and its degradation products in a penicillin production wastewater treatment plant and the receiving river. Water Research 42, 307–317. https://doi.org/10.1016/j.watres.2007.07.016"
240,"Penicillin","β-lactams","Shijiazhuang, Hebei Province, China","Wastewater","Anaerobic-aerobic treatment","Full-scale","Receiving water","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.00031±0.00004","","","","",2008,"S064","Li, D., Yang, M., Hu, J., Zhang, Y., Chang, H., Jin, F., 2008. Determination of penicillin G and its degradation products in a penicillin production wastewater treatment plant and the receiving river. Water Research 42, 307–317. https://doi.org/10.1016/j.watres.2007.07.016"
241,"Penicillin","β-lactams","Shijiazhuang, Hebei Province, China","Wastewater","Anaerobic-aerobic treatment","Full-scale","","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","Same to S064","Quantitative Real-time PCR","blaTEM","","",2009,"S065","Li, D., Yang, M., Hu, J., Zhang, J., Liu, R., Gu, X., Zhang, Y., Wang, Z., 2009. Antibiotic‐resistance profile in environmental bacteria isolated from penicillin production wastewater treatment plant and the receiving river. Environmental Microbiology 11, 1506–1517. https://doi.org/10.1111/j.1462-2920.2009.01878.x"
242,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Raw wastewater","High performance liquid chromatography(HPLC)","800-1000","","","","",2016,"S066","Yi, Q., Gao, Y., Zhang, Hong, Zhang, Haifeng, Zhang, Y., Yang, M., 2016. Establishment of a pretreatment method for tetracycline production wastewater using enhanced hydrolysis. Chem. Eng. J. 300, 139–145. https://doi.org/10.1016/j.cej.2016.04.120"
243,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Pretreated effluent","Antibiotic equivalent quantity detection(EQ)","EQ decreased by 99%","","","","",2016,"S066","Yi, Q., Gao, Y., Zhang, Hong, Zhang, Haifeng, Zhang, Y., Yang, M., 2016. Establishment of a pretreatment method for tetracycline production wastewater using enhanced hydrolysis. Chem. Eng. J. 300, 139–145. https://doi.org/10.1016/j.cej.2016.04.120"
244,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozonation pretreatment","Laboratory scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","702.1 ± 10.4","","","","",2017,"S067","Liu, M., Zhang, Y., Zhang, Hong, Zhang, Haifeng, Li, K., Tian, Z., Yang, M., 2017. Ozonation as an effective pretreatment for reducing antibiotic resistance selection potency in oxytetracycline production wastewater. Desalin. Water Treat. 74, 155–162. https://doi.org/10.5004/dwt.2017.20731"
245,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozonation pretreatment","Laboratory scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","Decreased by 92%","","","","",2017,"S067","Liu, M., Zhang, Y., Zhang, Hong, Zhang, Haifeng, Li, K., Tian, Z., Yang, M., 2017. Ozonation as an effective pretreatment for reducing antibiotic resistance selection potency in oxytetracycline production wastewater. Desalin. Water Treat. 74, 155–162. https://doi.org/10.5004/dwt.2017.20731"
246,"Penicillin G","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","80 ± 2","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
247,"Penicillin G","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
248,"Penicillin V","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","85 ± 3","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
249,"Penicillin V","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
250,"Deacetoxycephalosporin","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","84 ± 1","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
251,"Deacetoxycephalosporin","β-lactams","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
252,"Streptomycin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","1083 ± 4","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
253,"Streptomycin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Treated residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","0","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
254,"Spectinomycin","Aminoglycosides","Hebei and Shandong Province, China","Solid waste","Hydrothermal treatment","Pilot scale","Raw residue","Liquid chromatography-tandem mass spectrometry(LC-MS/MS)","932 ± 3","","","","",2022,"S068","Wang, Yidi, Zhao, X., Wang, Yongkang, Wang, I., Turap, Y., Wang, W., 2022. Hydrothermal treatment enhances the removal of antibiotic resistance genes, dewatering, and biogas production in antibiotic fermentation residues. JOURNAL OF HAZARDOUS MATERIALS 435. https://doi.org/10.1016/j.jhazmat.2022.128901"
