province,ABX,sample_type,mean_concentration,unit,bacteria,resistant_pc,n_strains,n
Shanghai,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,28.7,NA,55
Shanghai,Tetracycline,sediments,121.02461538461539,μg/kg,Staphylococcus aureus,28.7,NA,55
Shanghai,Tetracycline,soil,745.5344444444444,μg/kg,Staphylococcus aureus,28.7,NA,55
Shanxi,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,10.1,NA,51
Shanxi,Ciprofloxacin,soil,18.671999999999997,μg/kg,Staphylococcus aureus,10.1,NA,51
Shanxi,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,58.6,NA,44
Shanxi,Erythromycin,soil,13.636,μg/kg,Staphylococcus aureus,58.6,NA,44
Shanxi,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,9.9,NA,55
Shanxi,Tetracycline,soil,1.767,μg/kg,Staphylococcus aureus,9.9,NA,55
Sichuan,Ciprofloxacin,soil,5.97,μg/kg,Staphylococcus aureus,13.9,NA,51
Sichuan,Tetracycline,soil,11.69,μg/kg,Staphylococcus aureus,19,NA,55
Tianjin,Ciprofloxacin,municipal sludge,411.1,μg/kg,Staphylococcus aureus,14.3,NA,51
Tianjin,Ciprofloxacin,sediments,361.31441195581544,μg/kg,Staphylococcus aureus,14.3,NA,51
Tianjin,Ciprofloxacin,soil,13.558823529411764,μg/kg,Staphylococcus aureus,14.3,NA,51
Tianjin,Erythromycin,municipal sludge,6.3,μg/kg,Staphylococcus aureus,58,NA,44
Tianjin,Erythromycin,sediments,7.048181818181819,μg/kg,Staphylococcus aureus,58,NA,44
Tianjin,Erythromycin,soil,1.023529411764706,μg/kg,Staphylococcus aureus,58,NA,44
Tianjin,Tetracycline,municipal sludge,158.55,μg/kg,Staphylococcus aureus,9.1,NA,55
Tianjin,Tetracycline,sediments,41.66011574074074,μg/kg,Staphylococcus aureus,9.1,NA,55
Tianjin,Tetracycline,soil,23.589915966386553,μg/kg,Staphylococcus aureus,9.1,NA,55
Xinjiang,Ciprofloxacin,sediments,117.28,μg/kg,Staphylococcus aureus,6.5,NA,51
Xinjiang,Tetracycline,sediments,7.15,μg/kg,Staphylococcus aureus,13,NA,55
Yunnan,Ciprofloxacin,soil,3.4,μg/kg,Staphylococcus aureus,14.6,NA,51
Yunnan,Tetracycline,soil,1.0866666666666667,μg/kg,Staphylococcus aureus,33.3,NA,55
Zhejiang,Chloramphenicol,sediments,0.1,μg/kg,Staphylococcus aureus,3.1,NA,17
Zhejiang,Ciprofloxacin,sediments,4.763333333333334,μg/kg,Staphylococcus aureus,17.1,NA,51
Zhejiang,Ciprofloxacin,soil,4.674969802555169,μg/kg,Staphylococcus aureus,17.1,NA,51
Zhejiang,Erythromycin,sediments,4.7947,μg/kg,Staphylococcus aureus,48.3,NA,44
Zhejiang,Erythromycin,soil,0.24882578397212543,μg/kg,Staphylococcus aureus,48.3,NA,44
Zhejiang,Tetracycline,sediments,5.8169,μg/kg,Staphylococcus aureus,14.6,NA,55
Zhejiang,Tetracycline,soil,2.5107926829268292,μg/kg,Staphylococcus aureus,14.6,NA,55
