dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Sulfonamides,Sulfamethazine,SMZ,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfamethazine,SMZ,0.03,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Sulfonamides,Sulfadoxine,SDX,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfadoxine,SDX,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Sulfonamides,Sulfachloropyridazine,SCP,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfachloropyridazine,SCP,0.18,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Tetracyclines,Tetracycline,TC,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Tetracyclines,Tetracycline,TC,2.5,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Tetracyclines,Oxytetracycline,OTC,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Tetracyclines,Oxytetracycline,OTC,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Tetracyclines,Chlortetracycline,CTC,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Tetracyclines,Chlortetracycline,CTC,NA,μg/kg
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Norfloxacin,NFX,4.98,μg/kg
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Lomefloxacin,LFX,0.17,μg/kg
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Enrofloxacin,EFX,3.52,μg/kg
