dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Tetracyclines,Tetracycline,tetracycline,TC,0,μg/kg,tetracycline
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Tetracyclines,Tetracycline,tetracycline,TC,2.75,μg/kg,tetracycline
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Tetracyclines,Tetracycline,tetracycline,TC,12.88,μg/kg,tetracycline
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,4.87,μg/kg,oxytetracycline
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,4.37,μg/kg,oxytetracycline
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,74.72,μg/kg,oxytetracycline
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,0.7,μg/kg,ofloxacin
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,1.5,μg/kg,norfloxacin
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Macrolides,Roxithromycin,roxithromycin,RTM,0.4,μg/kg,roxithromycin
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,0.1,μg/kg,erythromycin
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Thiamphenicol,thiamphenicol,TAP,0.1,μg/kg,thiamphenicol
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Florfenicol,florfenicol,FF,0.3,μg/kg,florfenicol
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Other,Chloramphenicol,chloramphenicol,CAP,0.1,μg/kg,chloramphenicol
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,0.5,μg/kg,sulfamethazine
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,0.2,μg/kg,sulfamethoxazole
Zhang_2022,China,Zhejiang,NA,Tiaoxi River,120.055573,30.428926,sediments,NA,NA,Sulfonamides,Sulfadiazine,sulfadiazine,SDZ,0.4,μg/kg,sulfadiazine
