scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Gentamicin,LivestockAquacultureIndex,23,3,753,104,2,2012,2025,-0.07312252964426878,0.740213056160361,-0.21245059288537552,0.330439591552701,0.04675136966847581,0.20629117259552032,-0.05533596837944664,0.8019885463420802,0.2035573122529644,0.3515479723283558,TRUE,0.9565217391304348,1.5637065637065637,Xinjiang,4,2,4,4,3,0.9897658389202042,0.8836119779223033,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,fluoroquinolones,S. aureus | Erythromycin,WastewaterHealthIndex,23,3,950,128,2,2007,2025,-0.06422924901185771,0.7709325113831808,-0.24209486166007907,0.2657271000486687,0.02586217895452839,0.2654973649538867,-0.19224117216483116,0.3795206015491901,0.06622189478171563,0.7640186577674881,TRUE,0.9130434782608696,1.6769230769230772,Guangdong,4,2,5,4,2,0.986382660126367,0.8231886333422587,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,sulfonamides,E. coli | Ceftazidime,EconomicScaleIndex,23,3,825,104,2,2012,2025,-0.06422924901185771,0.7709325113831808,-0.08695652173913043,0.6931961750829255,0.00127515137480513,0.5664690382081681,-0.23671856418240136,0.27681489753577154,0.24511984934127573,0.25961492422836313,TRUE,0.8260869565217391,1.4659340659340658,Chongqing,4,2,5,3,3,0.9897658389202042,0.9747764764215644,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Ceftriaxone,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.06324110671936758,0.7743673538441505,0.05632411067193676,0.7985226107639527,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.3479120442263269,0.1037867172423036,TRUE,0.9565217391304348,2.2053571428571437,Qinghai,4,2,4,4,3,0.9897658389202042,0.9868218354351452,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Imipenem,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.05830039525691699,0.7916018249847689,0,1,0.04675136966847581,0.20629117259552032,-0.13639733552054858,0.5348820435137727,0.5762293232498539,0.00400503996024868,TRUE,0.8695652173913043,2.3607748184019384,Qinghai,4,2,4,4,3,0.9897658389202042,1,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,sulfonamides,P. aeruginosa | Piperacillin,EconomicScaleIndex,23,3,825,104,2,2012,2025,-0.04446640316205533,0.8403387863596052,-9.881422924901183e-4,0.9964297417631356,0.00127515137480513,0.5664690382081681,-0.23671856418240136,0.27681489753577154,0.0825302718548247,0.7081301486932723,TRUE,0.8260869565217391,2.5682539682539693,Tibet,4,2,5,3,3,0.9897658389202042,1,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,sulfonamides,P. aeruginosa | Polymyxin B,WastewaterHealthIndex,23,3,825,104,2,2012,2025,-0.03853754940711462,0.8614118662219498,-0.22430830039525693,0.30350745840219684,0.00127515137480513,0.5664690382081681,-0.03409933388013714,0.877247578586748,0.17395602211316344,0.4273001159867241,TRUE,0.8260869565217391,3.036630036630037,Chongqing,4,2,5,3,2,0.9897658389202042,0.8812798492717399,4,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Ampicillin,LivestockAquacultureIndex,23,3,753,104,2,2012,2025,-0.03458498023715415,0.8755124455826622,-0.01877470355731225,0.932240534427878,0.04675136966847581,0.20629117259552032,-0.05533596837944664,0.8019885463420802,0.4673913043478261,0.02452794323519287,TRUE,0.8260869565217391,3.693877551020409,Xinjiang,4,2,4,3,3,0.9897658389202042,0.9942611013987924,4,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,sulfonamides,S. aureus | Oxacillin,total_aquatic_products_2024,23,3,825,104,2,2012,2025,0.02766798418972332,0.9002743229977445,0.2509881422924901,0.2480168733201258,0.00127515137480513,0.5664690382081681,-0.3438735177865613,0.10813559417371388,-0.23715415019762845,0.2759058585278132,TRUE,0.8260869565217391,4.122448979591837,Tibet,4,2,5,3,3,0.9941937115670152,0.8615383488590509,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,macrolides,K. pneumoniae | Cefuroxime,EconomicScaleIndex,23,3,430,93,2,2008,2025,-0.0217391304347826,0.9215714810608436,-0.02272727272727272,0.9180179452970288,0.00317702010885927,0.4751811594202898,-0.35730171587448056,0.09417485129224376,0.29849271976235997,0.16652097347288597,TRUE,0.6521739130434783,4.792207792207793,Tibet,4,2,5,2,4,0.9932209615047936,0.984188950923026,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,macrolides,P. aeruginosa | Polymyxin B,WastewaterHealthIndex,23,3,430,93,2,2008,2025,-0.02075098814229249,0.9251264681656184,-0.00790513833992094,0.9714434970216936,0.00317702010885927,0.4751811594202898,-0.19273536540947084,0.37827319983083385,0.2629108061483038,0.22550254896699684,TRUE,0.8260869565217391,5.761904761904763,Tibet,4,2,5,3,3,0.9932209615047936,0.9937389215435029,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,macrolides,A. baumannii | Ceftriaxone,EconomicScaleIndex,23,3,430,93,2,2008,2025,-0.00494071146245059,0.9821500334482502,0.03063241106719367,0.889649739201041,0.00317702010885927,0.4751811594202898,-0.35730171587448056,0.09417485129224376,0.23721275742704104,0.275783693288418,TRUE,0.7391304347826086,23.971428571428575,Guangdong,4,2,5,2,3,0.9987461327119416,0.984188950923026,4,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,fluoroquinolones,E. coli | Polymyxin B,hospitals_count_2024,22,3,318,64,2,2006,2020,0.32495066775633713,0.1400580910255743,0.25127046866177305,0.25932693147246755,0.9845108143090242,0,-0.3520769843690401,0.108069016063376,-0.4217955957086392,0.05055239993921572,TRUE,1,0.3457336198218213,Jilin,4,2,0,5,5,0.9009248253394316,0.8197394365802757,4,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,macrolides,A. baumannii | Polymyxin B,EconomicScaleIndex,22,3,430,93,2,2008,2025,0.1677018633540373,0.455677001808013,0.0536420101637493,0.8125892965812409,0.00317702010885927,0.4751811594202898,-0.2903134823476843,0.18997681630968372,-0.4100536735105424,0.05804230795918119,TRUE,1,0.6882154882154877,Shaanxi,4,2,5,5,4,0.9640431604344516,0.973958948386154,0,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,tetracyclines,S. aureus | Clindamycin,LivestockAquacultureIndex,22,3,532,100,2,2012,2025,-0.06154714850367026,0.785553965127233,-0.21061547148503676,0.346796016109838,0.02943673080333975,0.26584337235470984,-0.1823828345567476,0.4165826345402509,0.11123658949745906,0.6221364874266238,TRUE,0.9090909090909092,2.2027522935779813,Qinghai,4,2,5,4,2,0.9897658389202042,0.8929000874552151,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,tetracyclines,S. aureus | Levofloxacin,LivestockAquacultureIndex,22,3,532,100,2,2012,2025,0.0412196499153021,0.8554817672242456,0.0536420101637493,0.8125892965812409,0.02943673080333975,0.26584337235470984,-0.1823828345567476,0.4165826345402509,-5.64652738565782e-4,0.9980101989444388,TRUE,0.7727272727272727,3.4890410958904106,Qinghai,4,2,5,3,2,0.9897658389202042,0.988635789679547,4,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,macrolides,K. pneumoniae | Polymyxin B,LivestockAquacultureIndex,22,3,343,75,2,2012,2025,-0.03444381705251271,0.8790527918698182,0.06832298136645965,0.7625680708731801,0.00709204680450049,0.3948781291172594,-0.2015810276679842,0.3683370734344009,0.03105590062111801,0.8908767575077249,TRUE,0.7727272727272727,3.5622950819672123,Guangdong,4,2,5,3,3,0.9897658389202042,0.984962769478999,3,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,macrolides,E. coli | Nitrofurantoin,grp_per_capita_2024,20,3,104,34,2,2006,2020,-0.45671811938944673,0.04293629294248405,-0.5518796992481203,0.011642373367085729,0.3132637601270729,0.0189070304928052,0.21399209898545263,0.3649682823792031,-0.42105263157894735,0.06448807512897049,TRUE,1,0.28127887485238284,Liaoning,4,2,0,5,4,0.8679810523175701,0.5392177160694728,5,20,Strong lead,2,NA,NA,NA,NA
all_years,soil,macrolides,E. coli | Tigecycline,LivestockAquacultureIndex,20,3,104,34,2,2006,2020,-0.43252113293172767,0.05682232548285139,-0.3879699248120301,0.09097286579754228,0.3132637601270729,0.0189070304928052,0.223822124733901,0.34281286834332436,-0.26917293233082706,0.25113145369079065,TRUE,1,0.4080566820752227,Liaoning,4,2,0,5,4,0.8679810523175701,0.7013629563033025,5,20,Strong lead,2,NA,NA,NA,NA
