"province","sewage_disposal_capacity_2024","sewage_pipe_length_2024","urban_env_infra_investment_2024","hospitals_count_2024","hospital_beds_2024","hogs_year_end_2024","large_animals_year_end_2024","pork_output_2024","milk_output_2024","total_aquatic_products_2024","freshwater_aquatic_products_2024","chemical_fertilizers_2024","grp_2024","grp_per_capita_2024","population_2024","urban_share_2024","log1p__sewage_disposal_capacity_2024","rankpct__sewage_disposal_capacity_2024","log1p__sewage_pipe_length_2024","rankpct__sewage_pipe_length_2024","log1p__urban_env_infra_investment_2024","rankpct__urban_env_infra_investment_2024","log1p__hospitals_count_2024","rankpct__hospitals_count_2024","log1p__hospital_beds_2024","rankpct__hospital_beds_2024","log1p__hogs_year_end_2024","rankpct__hogs_year_end_2024","log1p__large_animals_year_end_2024","rankpct__large_animals_year_end_2024","log1p__pork_output_2024","rankpct__pork_output_2024","log1p__milk_output_2024","rankpct__milk_output_2024","log1p__total_aquatic_products_2024","rankpct__total_aquatic_products_2024","log1p__freshwater_aquatic_products_2024","rankpct__freshwater_aquatic_products_2024","log1p__chemical_fertilizers_2024","rankpct__chemical_fertilizers_2024","log1p__grp_2024","rankpct__grp_2024","log1p__grp_per_capita_2024","rankpct__grp_per_capita_2024","log1p__population_2024","rankpct__population_2024","log1p__urban_share_2024","rankpct__urban_share_2024","WastewaterHealthIndex","LivestockAquacultureIndex","EconomicScaleIndex"
"Heilongjiang",511.7,14593,857770,1278,23.51,1296.1,500,196.2,443.7,81.4,81.4,240.3,16476.9,54102,3029,68.05,6.23969087878965,0.419354838709677,9.58836576432557,0.225806451612903,13.6620924430791,0.32258064516129,7.15383380157884,0.548387096774194,3.19908119754002,0.483870967741935,7.16788628234663,0.548387096774194,6.21660610108486,0.774193548387097,5.28421844216853,0.612903225806452,6.09739989751665,0.903225806451613,4.41158543691543,0.516129032258065,4.41158543691543,0.580645161290323,5.48604097263099,0.741935483870968,9.70977536815946,0.225806451612903,10.8986449161622,0.0645161290322581,8.01631789850341,0.387096774193548,4.2348308798553,0.645161290322581,0.4,0.668202764976959,0.330645161290323
"Henan",1133.8,41110,2136370,2472,57.19,4030.9,357.1,470.9,230.5,100.4,100.4,571.1,63590,64888,9785,59.22,7.0342117029347,0.806451612903226,10.6240310045778,0.806451612903226,14.5746191531186,0.774193548387097,7.81318726752142,0.935483870967742,4.06371351866858,0.967741935483871,8.30199300785634,1,5.88081227700439,0.645161290322581,6.15676709873234,0.967741935483871,5.44457987352629,0.838709677419355,4.61907309115708,0.548387096774194,4.61907309115708,0.645161290322581,6.34931380127448,1,11.0602272298808,0.838709677419355,11.0804333968014,0.225806451612903,9.18870807184907,0.935483870967742,4.09800452305359,0.193548387096774,0.858064516129032,0.806451612903226,0.548387096774194
"Hubei",1089.6,44713,3421650,1268,34.23,2520.7,212.5,351.2,6.9,546.4,546.4,249.9,60013,102832,5834,66.35,6.99448328249196,0.774193548387097,10.7080419306702,0.838709677419355,15.0456337410912,0.935483870967742,7.14598446771439,0.516129032258065,3.56189799235315,0.709677419354839,7.83268855623763,0.838709677419355,5.36363683266868,0.451612903225806,5.8641991960621,0.838709677419355,2.06686275947298,0.161290322580645,6.30517979660658,0.870967741935484,6.30517979660658,1,5.52505445337238,0.806451612903226,11.0023331473196,0.806451612903226,11.5408615921631,0.741935483870968,8.67162954472066,0.709677419354839,4.20990290285637,0.580645161290323,0.754838709677419,0.709677419354839,0.709677419354839
"Hunan",946.9,30031,684706,1763,38.2,3652.6,319.8,455.2,8.8,299.1,299.1,211.8,53231,81225,6539,62.07,6.854249011459,0.709677419354839,10.3100187588263,0.741935483870968,13.4367462885124,0.258064516129032,7.47533923656674,0.806451612903226,3.66867674679642,0.806451612903226,8.20346826187079,0.967741935483871,5.77081787599236,0.548387096774194,6.12293130985029,0.935483870967742,2.28238238567653,0.193548387096774,5.70411575244632,0.709677419354839,5.70411575244632,0.870967741935484,5.36035275746749,0.645161290322581,10.8824149982583,0.709677419354839,11.304990671942,0.580645161290323,8.78569244445124,0.774193548387097,4.14424522067556,0.290322580645161,0.664516129032258,0.695852534562212,0.588709677419355
"Inner Mongolia",251.5,15784,1508472,861,13.91,663.1,1060.2,80.6,779.8,11.6,11.6,221.8,26314.6,110011,2388,70.73,5.53141124871541,0.193548387096774,9.66681540099209,0.32258064516129,14.2266084388463,0.548387096774194,6.75925527066369,0.354838709677419,2.70203212877665,0.225806451612903,6.49843274054667,0.32258064516129,6.96715562226358,1,4.40182926197006,0.32258064516129,6.66031903509888,1,2.53369681395743,0.193548387096774,2.53369681395743,0.225806451612903,5.40627450805313,0.67741935483871,10.177917198212,0.387096774193548,11.6083447297337,0.774193548387097,7.77863014732581,0.258064516129032,4.27290907013834,0.709677419354839,0.329032258064516,0.534562211981567,0.532258064516129
"Jiangsu",1904.4,98306,3195784,2246,47.32,1421.6,36.7,187.4,70.5,536.1,388,264.2,137008,160694,8526,75.53,7.55244723927268,0.967741935483871,11.4958505141798,0.967741935483871,14.977343312016,0.870967741935484,7.71735127218533,0.870967741935484,3.87784555362656,0.870967741935484,7.26024146229941,0.612903225806452,3.62966009445396,0.193548387096774,5.23856736214226,0.580645161290323,4.26969744969996,0.612903225806452,6.28618429691141,0.838709677419355,5.96357934361845,0.935483870967742,5.58048425831171,0.903225806451613,11.8278018960832,0.967741935483871,11.9872634373648,0.935483870967742,9.05099287874205,0.903225806451613,4.33768282082183,0.870967741935484,0.909677419354839,0.668202764976959,0.919354838709677
"Jiangxi",509.1,26606,2040867,1098,24.75,1660.9,167.3,252.9,4.6,303.3,303.3,106,34202.5,75862,4502,63.77,6.23460678492888,0.387096774193548,10.1889296180446,0.580645161290323,14.5288857655212,0.741935483870968,7.00215595440362,0.483870967741935,3.24843462710975,0.516129032258065,7.41571680513348,0.709677419354839,5.12574810119676,0.387096774193548,5.53694048871063,0.709677419354839,1.7227665977411,0.129032258064516,5.71801405690293,0.741935483870968,5.71801405690293,0.903225806451613,4.67282883446191,0.451612903225806,10.4400832569957,0.548387096774194,11.236684360994,0.419354838709677,8.41249912030157,0.612903225806452,4.17084253319483,0.419354838709677,0.541935483870968,0.576036866359447,0.5
"Jilin",535.2,15534,456757,873,15.9,1115.1,440.9,159.3,30.3,26.6,26.6,226.3,14361.2,61689,2317,65.78,6.28450722580186,0.483870967741935,9.65085082182715,0.258064516129032,13.0319089891389,0.161290322580645,6.77308037565554,0.387096774193548,2.82731362192903,0.290322580645161,7.01759574466167,0.516129032258065,6.0910836121367,0.67741935483871,5.07704705961551,0.516129032258065,3.44361809754611,0.387096774193548,3.3178157727231,0.354838709677419,3.3178157727231,0.387096774193548,5.4262707308585,0.709677419354839,9.5723550342104,0.193548387096774,11.0298771222037,0.161290322580645,7.7484600238997,0.225806451612903,4.20140363451551,0.483870967741935,0.316129032258064,0.506912442396313,0.266129032258065
"Liaoning",1146.8,27759,792526,1646,29.92,1342.1,327.1,235.7,131.3,535.9,83.9,129.1,32612.7,78236,4155,74.18,7.04560234567426,0.838709677419355,10.2313514146207,0.709677419354839,13.5829818535539,0.290322580645161,7.40671073017764,0.774193548387097,3.43140322371922,0.67741935483871,7.20273565391503,0.580645161290323,5.79331843996706,0.580645161290323,5.46679351651994,0.645161290322581,4.88507207112091,0.709677419354839,6.28581185742852,0.806451612903226,4.4414740933173,0.612903225806452,4.86830338551846,0.483870967741935,10.3924877244752,0.516129032258065,11.2674979604153,0.516129032258065,8.33230835221912,0.548387096774194,4.31988523813603,0.806451612903226,0.658064516129032,0.631336405529954,0.596774193548387
"Ningxia",141.7,3115,470978,219,3.77,72.8,248.3,9.1,457,17.9,17.9,36.8,5502.8,75484,729,68.22,4.96074452448279,0.0967741935483871,8.04430540699064,0.0645161290322581,13.0625687860173,0.193548387096774,5.39362754635236,0.0645161290322581,1.56234630490025,0.0645161290322581,4.30135873160643,0.129032258064516,5.51865699052951,0.483870967741935,2.31253542384721,0.129032258064516,6.12686918411419,0.935483870967742,2.9391619220656,0.225806451612903,2.9391619220656,0.258064516129032,3.63230910262554,0.225806451612903,8.61319404174366,0.0967741935483871,11.2316892400018,0.387096774193548,6.59304453414244,0.0967741935483871,4.2372898382072,0.67741935483871,0.0967741935483871,0.341013824884793,0.314516129032258
