sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Gansu,Trimethoprim,Diaminopyrimidines,932.5,ng/g,2014,135
municipal sludge,Guangdong,Chloramphenicol,Phenicols,66,ng/g,2013,138
municipal sludge,Guangdong,Chlortetracycline,Tetracyclines,25275,ng/g,2016,155
municipal sludge,Guangdong,Ciprofloxacin,Fluoroquinolones,652.5,ng/g,2013,138
municipal sludge,Guangdong,Clarithromycin,Macrolides,29,ng/g,2010,190
municipal sludge,Guangdong,Doxycycline,Tetracyclines,5707.5,ng/g,2016,155
municipal sludge,Guangdong,Enoxacin,Fluoroquinolones,60,ng/g,2013,138
municipal sludge,Guangdong,Enrofloxacin,Fluoroquinolones,1035.5,ng/g,2013,138
municipal sludge,Guangdong,Erythromycin-H2O,Macrolides,72.5,ng/g,2013,138
municipal sludge,Guangdong,Fleroxacin,Fluoroquinolones,43.5,ng/g,2010,190
municipal sludge,Guangdong,Levofloxacin,Fluoroquinolones,79,ng/g,2013,138
municipal sludge,Guangdong,Lincomycin,Lincosamides,1128.5,ng/g,2016,155
municipal sludge,Guangdong,Lomefloxacin,Fluoroquinolones,85.14999999999999,ng/g,2013,138
municipal sludge,Guangdong,Marbofloxacin,Fluoroquinolones,5.25,ng/g,2016,155
municipal sludge,Guangdong,Methacycline,Tetracyclines,416.75,ng/g,2016,155
municipal sludge,Guangdong,Nadifloxacin,Fluoroquinolones,73,ng/g,2013,138
municipal sludge,Guangdong,Norfloxacin,Fluoroquinolones,2002,ng/g,2013,138
municipal sludge,Guangdong,Ofloxacin,Fluoroquinolones,1667.5,ng/g,2016,155
municipal sludge,Guangdong,Oxytetracycline,Tetracyclines,27100,ng/g,2016,155
municipal sludge,Guangdong,Pefloxacin,Fluoroquinolones,222.5,ng/g,2016,155
municipal sludge,Guangdong,Roxithromycin,Macrolides,40,ng/g,2013,138
municipal sludge,Guangdong,Sarafloxacin,Fluoroquinolones,2.175,ng/g,2016,155
municipal sludge,Guangdong,Sulfacetamide,Sulfonamides,89,ng/g,2013,138
municipal sludge,Guangdong,Sulfachinoxaline,Sulfonamides,63,ng/g,2013,138
municipal sludge,Guangdong,Sulfachloropyridazine,Sulfonamides,149.5,ng/g,2013,138
municipal sludge,Guangdong,Sulfadiazine,Sulfonamides,3.065,ng/g,2013,138
municipal sludge,Guangdong,Sulfadimethoxine,Sulfonamides,5.907500000000001,ng/g,2016,155
municipal sludge,Guangdong,Sulfadimidine,Sulfonamides,5.66,ng/g,2013,138
municipal sludge,Guangdong,Sulfafurazole,Sulfonamides,70,ng/g,2013,138
municipal sludge,Guangdong,Sulfamerazine,Sulfonamides,41.84625,ng/g,2013,138
municipal sludge,Guangdong,Sulfameter,Sulfonamides,44.31,ng/g,NA,2
municipal sludge,Guangdong,Sulfamethoxazole,Sulfonamides,23.127499999999998,ng/g,2013,138
municipal sludge,Guangdong,Sulfamonomethoxine,Sulfonamides,233.5,ng/g,2016,155
municipal sludge,Guangdong,Sulfanilamide,Sulfonamides,73,ng/g,2013,138
municipal sludge,Guangdong,Sulfapyridine,Sulfonamides,96,ng/g,2013,138
municipal sludge,Guangdong,Sulfathiazole,Sulfonamides,75,ng/g,2013,138
municipal sludge,Guangdong,Tetracycline,Tetracyclines,5065,ng/g,2016,155
municipal sludge,Guangdong,Trimethoprim,Diaminopyrimidines,7.1899999999999995,ng/g,2016,155
municipal sludge,Guizhou,Amoxicillin,Beta-lactams,20.12,ng/g,2016,127
municipal sludge,Guizhou,Azithromycin,Macrolides,438.85,ng/g,2016,127
municipal sludge,Guizhou,Chlortetracycline,Tetracyclines,44.165000000000006,ng/g,2016,127
municipal sludge,Guizhou,Ciprofloxacin,Fluoroquinolones,83.61500000000001,ng/g,2016,127
municipal sludge,Guizhou,Doxycycline,Tetracyclines,65.51,ng/g,2016,127
municipal sludge,Guizhou,Enrofloxacin,Fluoroquinolones,143.68,ng/g,2016,127
municipal sludge,Guizhou,Erythromycin-H2O,Macrolides,8.37,ng/g,2016,127
municipal sludge,Guizhou,Norfloxacin,Fluoroquinolones,122.59,ng/g,2016,127
municipal sludge,Guizhou,Ofloxacin,Fluoroquinolones,155.31,ng/g,2016,127
municipal sludge,Guizhou,Oxytetracycline,Tetracyclines,80.26999999999998,ng/g,2016,127
municipal sludge,Guizhou,Roxithromycin,Macrolides,45.67,ng/g,2016,127
municipal sludge,Guizhou,Sulfachloropyridazine,Sulfonamides,2.28,ng/g,2016,127
municipal sludge,Guizhou,Sulfadimethoxine,Sulfonamides,1.06,ng/g,2016,127
municipal sludge,Guizhou,Sulfadimidine,Sulfonamides,10.515,ng/g,2016,127
municipal sludge,Guizhou,Tetracycline,Tetracyclines,120.25,ng/g,2016,127
municipal sludge,Hebei,Apo-Oxytetracycline,Tetracyclines,50250,ng/g dw,2004,223
municipal sludge,Hebei,Ciprofloxacin,Fluoroquinolones,164.27,ng/g,2017,46
municipal sludge,Hebei,Clarithromycin,Macrolides,5.03,ng/g,2017,46
municipal sludge,Hebei,Dehydroerythromycin,Macrolides,15.57,ng/g,2017,46
municipal sludge,Hebei,Doxycycline,Tetracyclines,8.75,ng/g,2017,46
municipal sludge,Hebei,Enrofloxacin,Fluoroquinolones,2.99,ng/g,2017,46
municipal sludge,Hebei,Epioxytetracycline,Tetracyclines,195000,ng/g dw,2004,223
municipal sludge,Hebei,Lomefloxacin,Fluoroquinolones,33.61,ng/g,2017,46
municipal sludge,Hebei,Norfloxacin,Fluoroquinolones,1125.78,ng/g,2017,46
municipal sludge,Hebei,Ofloxacin,Fluoroquinolones,1529.77,ng/g,2017,46
municipal sludge,Hebei,Oxytetracycline,Tetracyclines,2031936.83,ng/g dw,2004,223
municipal sludge,Hebei,Roxithromycin,Macrolides,37.21,ng/g,2017,46
municipal sludge,Hebei,Sulfadiazine,Sulfonamides,1136,ng/g,2016,129
municipal sludge,Hebei,Sulfadimethoxine,Sulfonamides,0.27,ng/g,2017,46
municipal sludge,Hebei,Sulfamerazine,Sulfonamides,889.7,ng/g,2016,129
municipal sludge,Hebei,Sulfamethoxazole,Sulfonamides,1206,ng/g,2016,129
municipal sludge,Hebei,Tetracycline,Tetracyclines,344.17,ng/g,2017,46
municipal sludge,Hebei,Trimethoprim,Diaminopyrimidines,3.5,ng/g,2017,46
municipal sludge,Heilongjiang,Azithromycin,Macrolides,11.6,ng/g,2016,122
municipal sludge,Heilongjiang,Cefazolin,Beta-lactams,0.85,ng/g,2016,40
municipal sludge,Heilongjiang,Clarithromycin,Macrolides,11.5,ng/g,2016,122
municipal sludge,Heilongjiang,Flumequine,Fluoroquinolones,2.1500000000000004,ng/g,2016,122
municipal sludge,Heilongjiang,Norfloxacin,Fluoroquinolones,70.9,ng/g,2016,122
municipal sludge,Heilongjiang,Ofloxacin,Fluoroquinolones,61.95,ng/g,2016,122
municipal sludge,Heilongjiang,Roxithromycin,Macrolides,66.5,ng/g,2016,122
municipal sludge,Heilongjiang,Sulfadiazine,Sulfonamides,32.9,ng/g,2016,122
municipal sludge,Heilongjiang,Sulfadimidine,Sulfonamides,17.06,ng/g,NA,99
municipal sludge,Heilongjiang,Sulfamethoxazole,Sulfonamides,5.4025,ng/g,2016,40
municipal sludge,Heilongjiang,Sulfapyridine,Sulfonamides,4.2075,ng/g,2016,40
municipal sludge,Heilongjiang,Sulfaquinoxaline,Sulfonamides,2.795,ng/g,NA,99
municipal sludge,Hunan,Azithromycin,Macrolides,59,ng/g,2017,144
