sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
sediment,Hebei,Apo-Oxytetracycline,Tetracyclines,15500,ng/g dw,2004,223
sediment,Hebei,Azithromycin,Macrolides,4.385,ng/g,2017,139
sediment,Hebei,Chlortetracycline,Tetracyclines,4.29,ng/g,2013,120
sediment,Hebei,Ciprofloxacin,Fluoroquinolones,2.885,ng/g,2013,120
sediment,Hebei,Doxycycline,Tetracyclines,3.8714814814814824,ng/g,2013,120
sediment,Hebei,Enrofloxacin,Fluoroquinolones,11.979999999999999,ng/g,2013,120
sediment,Hebei,Epioxytetracycline,Tetracyclines,13160,ng/g dw,2004,223
sediment,Hebei,Erythromycin,Macrolides,0.59,ng/g,2008,182
sediment,Hebei,Erythromycin-H2O,Macrolides,5.36,ng/g,2009,134
sediment,Hebei,Fleroxacin,Fluoroquinolones,3.51,ng/g,2008,182
sediment,Hebei,Flumequine,Fluoroquinolones,72.04,ng/g,2018,67
sediment,Hebei,Lincomycin,Lincosamides,1.907962962962963,ng/g,2017,139
sediment,Hebei,Lomefloxacin,Fluoroquinolones,0.98,ng/g,2008,182
sediment,Hebei,Marbofloxacin,Fluoroquinolones,3.46,ng/g,2018,67
sediment,Hebei,Norfloxacin,Fluoroquinolones,73.87,ng/g,2013,120
sediment,Hebei,Ofloxacin,Fluoroquinolones,5.934999999999999,ng/g,2013,120
sediment,Hebei,Oxolinic Acid,Quinolones,2.175,ng/g,2018,67
sediment,Hebei,Oxytetracycline,Tetracyclines,53.230000000000004,ng/g,2013,120
sediment,Hebei,Pipemidic Acid,Quinolones,5.06,ng/g,2018,67
sediment,Hebei,Roxithromycin,Macrolides,64.9,ng/g,2013,120
sediment,Hebei,Sulfadiazine,Sulfonamides,2.1449999999999996,ng/g,2015,124
sediment,Hebei,Sulfadimethoxine,Sulfonamides,0.16999999999999998,ng/g,2017,120
sediment,Hebei,Sulfadimidine,Sulfonamides,2.0188888888888887,ng/g,2009,134
sediment,Hebei,Sulfafurazole,Sulfonamides,0.71,ng/g,2008,182
sediment,Hebei,Sulfamerazine,Sulfonamides,0.5750000000000001,ng/g,2008,182
sediment,Hebei,Sulfamethoxazole,Sulfonamides,4.451851851851852,ng/g,2017,120
sediment,Hebei,Sulfamonomethoxine,Sulfonamides,15.055,ng/g,2017,120
sediment,Hebei,Sulfapyridine,Sulfonamides,0.16,ng/g,2008,182
sediment,Hebei,Sulfathiazole,Sulfonamides,0.64,ng/g,2009,134
sediment,Hebei,Tetracycline,Tetracyclines,5.29,ng/g,2013,120
sediment,Hebei,Trimethoprim,Diaminopyrimidines,2.98,ng/g,2017,139
sediment,Hebei,Tylosin,Macrolides,2.56,ng/g,2017,139
sediment,Heilongjiang,Sulfadiazine,Sulfonamides,0.5775,ng/g,NA,99
sediment,Heilongjiang,Sulfadimidine,Sulfonamides,0.4125,ng/g,NA,99
sediment,Henan,Azithromycin,Macrolides,8.16,ng/g,2025,N44
sediment,Henan,Chlortetracycline,Tetracyclines,1.34,ng/g,2014,101
sediment,Henan,Ciprofloxacin,Fluoroquinolones,4.3,ng/g,2014,101
sediment,Henan,Enrofloxacin,Fluoroquinolones,3.63,ng/g,2014,101
sediment,Henan,Lomefloxacin,Fluoroquinolones,8.885,ng/g,2017,42
sediment,Henan,Norfloxacin,Fluoroquinolones,12.99,ng/g,2014,101
sediment,Henan,Ofloxacin,Fluoroquinolones,9,ng/g,2014,101
sediment,Henan,Oxytetracycline,Tetracyclines,8.28,ng/g,2014,101
sediment,Henan,Roxithromycin,Macrolides,0.54,ng/g,2017,42
sediment,Henan,Sulfachloropyridazine,Sulfonamides,2.2,ng/g,2014,101
sediment,Henan,Sulfadiazine,Sulfonamides,0.13,ng/g,2014,101
sediment,Henan,Sulfadimethoxine,Sulfonamides,3.1,ng/g,2014,101
sediment,Henan,Sulfadimidine,Sulfonamides,5.2,ng/g,2014,101
sediment,Henan,Sulfamethoxazole,Sulfonamides,1.23,ng/g,2014,101
sediment,Henan,Sulfapyridine,Sulfonamides,0.275,ng/g,2025,N44
sediment,Henan,Tetracycline,Tetracyclines,1.42,ng/g,2014,101
sediment,Hubei,Azithromycin,Macrolides,0.485,ng/g,2014,109
sediment,Hubei,Chloramphenicol,Phenicols,0.01,ng/g,2020,NEW_HUBEI_CHEN_2023
sediment,Hubei,Chlortetracycline,Tetracyclines,5.05,ng/g,2014,109
sediment,Hubei,Ciprofloxacin,Fluoroquinolones,1.1,ng/g,2014,109
sediment,Hubei,Clarithromycin,Macrolides,0.49,ng/g,2014,109
sediment,Hubei,Dehydroerythromycin,Macrolides,2.195,ng/g,2016,142
sediment,Hubei,Doxycycline,Tetracyclines,3.5,ng/g,2014,109
sediment,Hubei,Enrofloxacin,Fluoroquinolones,1.3,ng/g,2014,109
sediment,Hubei,Erythromycin,Macrolides,0.405,ng/g,2014,109
sediment,Hubei,Florfenicol,Phenicols,0.01,ng/g,2020,NEW_HUBEI_CHEN_2023
sediment,Hubei,Lincomycin,Lincosamides,0.21,ng/g,2016,142
sediment,Hubei,Lomefloxacin,Fluoroquinolones,8.4,ng/g,2014,109
sediment,Hubei,Norfloxacin,Fluoroquinolones,2.15,ng/g,2014,109
sediment,Hubei,Ofloxacin,Fluoroquinolones,1.9,ng/g,2014,128
sediment,Hubei,Oxytetracycline,Tetracyclines,6.05,ng/g,2014,109
sediment,Hubei,Penicillin G,Beta-lactams,2.185,ng/g,2016,142
sediment,Hubei,Penicillin V,Beta-lactams,0.245,ng/g,2016,142
sediment,Hubei,Roxithromycin,Macrolides,1.045,ng/g,2014,109
sediment,Hubei,Sulfadiazine,Sulfonamides,0.54,ng/g,2014,109
sediment,Hubei,Sulfadimidine,Sulfonamides,0.2,ng/g,2014,128
sediment,Hubei,Sulfamerazine,Sulfonamides,1.6,ng/g,2014,109
sediment,Hubei,Sulfameter,Sulfonamides,2.7,ng/g,2014,128
sediment,Hubei,Sulfamethoxazole,Sulfonamides,0.33,ng/g,2014,109
sediment,Hubei,Sulfamonomethoxine,Sulfonamides,0.065,ng/g,2016,142
sediment,Hubei,Sulfaquinoxaline,Sulfonamides,0.005,ng/g,2016,142
sediment,Hubei,Sulfathiazole,Sulfonamides,467.1,ng/g,2015,149
sediment,Hubei,Tetracycline,Tetracyclines,1.835,ng/g,2014,128
sediment,Hubei,Thiamphenicol,Phenicols,0.02,ng/g,2020,NEW_HUBEI_CHEN_2023
sediment,Hubei,Trimethoprim,Diaminopyrimidines,3.8,ng/g,2014,128
sediment,Hubei,Tylosin,Macrolides,0.26,ng/g,2016,142
sediment,Hunan,Azithromycin,Macrolides,1.1550000000000002,ng/g,2016,132
sediment,Hunan,Chlortetracycline,Tetracyclines,15.87,ng/g,2016,132
sediment,Hunan,Ciprofloxacin,Fluoroquinolones,2.45,ng/g,2016,132
sediment,Hunan,Clarithromycin,Macrolides,0.58,ng/g,2016,132
sediment,Hunan,Danofloxacin,Fluoroquinolones,0.05,ng/g,2016,132
sediment,Hunan,Dehydroerythromycin,Macrolides,0.62,ng/g,2017,49
sediment,Hunan,Doxycycline,Tetracyclines,4,ng/g,2017,49
sediment,Hunan,Enrofloxacin,Fluoroquinolones,4.48,ng/g,2016,132
sediment,Hunan,Erythromycin-H2O,Macrolides,0.58,ng/g,2016,132
sediment,Hunan,Florfenicol,Phenicols,0.22,ng/g,2017,49
sediment,Hunan,Lincomycin,Lincosamides,0.45,ng/g,2016,132
sediment,Hunan,Marbofloxacin,Fluoroquinolones,0.01,ng/g,2016,132
sediment,Hunan,Norfloxacin,Fluoroquinolones,7.4,ng/g,2016,132
sediment,Hunan,Ofloxacin,Fluoroquinolones,19.6,ng/g,2016,132
sediment,Hunan,Oxytetracycline,Tetracyclines,18.4,ng/g,2016,132
sediment,Hunan,Roxithromycin,Macrolides,1.94,ng/g,2016,132
sediment,Hunan,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Hunan,Sulfadiazine,Sulfonamides,4.5,ng/g,2016,132
sediment,Hunan,Sulfadimidine,Sulfonamides,3.1900000000000004,ng/g,2016,132
sediment,Hunan,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Hunan,Sulfafurazole,Sulfonamides,0.07,ng/g,2016,132
sediment,Hunan,Sulfameter,Sulfonamides,32.27,ng/g,NA,94
sediment,Hunan,Sulfamethoxazole,Sulfonamides,30.57,ng/g,NA,94
sediment,Hunan,Sulfamonomethoxine,Sulfonamides,0.27,ng/g,2016,132
sediment,Hunan,Sulfapyridine,Sulfonamides,0.08,ng/g,2016,132
sediment,Hunan,Sulfathiazole,Sulfonamides,0.02,ng/g,2016,132
sediment,Hunan,Tetracycline,Tetracyclines,10.85,ng/g,2017,49
sediment,Hunan,Trimethoprim,Diaminopyrimidines,0.08,ng/g,2016,132
sediment,Hunan,Tylosin,Macrolides,0.14,ng/g,2016,132
sediment,Jiangsu,Amoxicillin,Beta-lactams,11.62,ng/g,2017,45
sediment,Jiangsu,Azithromycin,Macrolides,0.10222500000000001,ng/g,2016,132
sediment,Jiangsu,Cefazolin,Beta-lactams,3.0199999999999996,ng/g,2012,95
sediment,Jiangsu,Ceftriaxone,Beta-lactams,1.56,ng/g,2012,95
sediment,Jiangsu,Cephalexin,Beta-lactams,4.915,ng/g,2017,45
sediment,Jiangsu,Chlortetracycline,Tetracyclines,1.6,ng/g,2016,132
sediment,Jiangsu,Ciprofloxacin,Fluoroquinolones,5.14,ng/g,2015,124
sediment,Jiangsu,Clarithromycin,Macrolides,0.0591,ng/g,2016,132
sediment,Jiangsu,Clindamycin,Lincosamides,0.0299,ng/g,2016,29
sediment,Jiangsu,Danofloxacin,Fluoroquinolones,0.4,ng/g,2016,132
sediment,Jiangsu,Demeclocycline,Tetracyclines,0.438375,ng/g,2016,29
sediment,Jiangsu,Difloxacin,Fluoroquinolones,2.99,ng/g,2013,98
sediment,Jiangsu,Doxycycline,Tetracyclines,1.775,ng/g,2017,148
sediment,Jiangsu,Enoxacin,Fluoroquinolones,0.1191375,ng/g,2016,29
sediment,Jiangsu,Enrofloxacin,Fluoroquinolones,3.72,ng/g,2015,124
sediment,Jiangsu,Erythromycin,Macrolides,0.12,ng/g,2018,58
sediment,Jiangsu,Erythromycin-H2O,Macrolides,1.96,ng/g,2016,132
sediment,Jiangsu,Fleroxacin,Fluoroquinolones,0.22150000000000003,ng/g,2016,29
sediment,Jiangsu,Florfenicol,Phenicols,0.02,ng/g,2013,98
sediment,Jiangsu,Josamycin,Macrolides,0.192,ng/g,2017,148
sediment,Jiangsu,Kitasamycin,Macrolides,4.422,ng/g,2017,148
sediment,Jiangsu,Leucomycin,Macrolides,0.03,ng/g,2013,98
sediment,Jiangsu,Lincomycin,Lincosamides,1.62,ng/g,2016,132
sediment,Jiangsu,Lomefloxacin,Fluoroquinolones,0.2735,ng/g,2016,29
sediment,Jiangsu,Marbofloxacin,Fluoroquinolones,0.11,ng/g,2016,132
sediment,Jiangsu,Methacycline,Tetracyclines,0.520575,ng/g,2016,29
sediment,Jiangsu,Norfloxacin,Fluoroquinolones,5.33,ng/g,2016,132
sediment,Jiangsu,Ofloxacin,Fluoroquinolones,2.59,ng/g,2016,132
sediment,Jiangsu,Oleandomycin,Macrolides,11.4465,ng/g,2017,148
sediment,Jiangsu,Oxytetracycline,Tetracyclines,2.93,ng/g,2015,124
sediment,Jiangsu,Pefloxacin,Fluoroquinolones,0.845,ng/g,2013,98
sediment,Jiangsu,Penicillin V,Beta-lactams,5.21,ng/g,2017,45
sediment,Jiangsu,Roxithromycin,Macrolides,0.8425,ng/g,2016,132
sediment,Jiangsu,Sarafloxacin,Fluoroquinolones,0.65745,ng/g,2016,29
sediment,Jiangsu,Spiramycin,Macrolides,0.012,ng/g,2017,148
sediment,Jiangsu,Sulfabenzamide,Sulfonamides,0.0465375,ng/g,2016,29
sediment,Jiangsu,Sulfacetamide,Sulfonamides,0.104,ng/g,2016,29
sediment,Jiangsu,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Jiangsu,Sulfadiazine,Sulfonamides,0.21,ng/g,2015,124
sediment,Jiangsu,Sulfadimethoxine,Sulfonamides,6.9,ng/g,2010,214
sediment,Jiangsu,Sulfadimethoxypyrimidine,Sulfonamides,0.082175,ng/g,2016,29
sediment,Jiangsu,Sulfadimidine,Sulfonamides,0.21,ng/g,2016,132
sediment,Jiangsu,Sulfadimoxine,Sulfonamides,0.0164625,ng/g,2016,29
sediment,Jiangsu,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Jiangsu,Sulfafurazole,Sulfonamides,5.535,ng/g,2016,132
sediment,Jiangsu,Sulfamerazine,Sulfonamides,0.083,ng/g,2017,148
sediment,Jiangsu,Sulfamethizole,Sulfonamides,0.0379,ng/g,2016,29
sediment,Jiangsu,Sulfamethoxazole,Sulfonamides,0.3065,ng/g,2015,124
sediment,Jiangsu,Sulfamethoxydiazine,Sulfonamides,0.17025,ng/g,2016,29
sediment,Jiangsu,Sulfamethoxypyridazine,Sulfonamides,0.39997499999999986,ng/g,2016,29
sediment,Jiangsu,Sulfamonomethoxine,Sulfonamides,0.10425,ng/g,2016,132
sediment,Jiangsu,Sulfaphenazole,Sulfonamides,0.038025,ng/g,2016,29
sediment,Jiangsu,Sulfapyridine,Sulfonamides,0.015,ng/g,2016,132
sediment,Jiangsu,Sulfaquinoxaline,Sulfonamides,0.04,ng/g,2017,148
sediment,Jiangsu,Sulfathiazole,Sulfonamides,0.47,ng/g,2016,132
sediment,Jiangsu,Tetracycline,Tetracyclines,2.7975,ng/g,2015,124
sediment,Jiangsu,Tilmicosin,Macrolides,1.6475,ng/g,2017,148
sediment,Jiangsu,Trimethoprim,Diaminopyrimidines,0.14500000000000002,ng/g,2016,132
sediment,Jiangsu,Tylosin,Macrolides,0.435,ng/g,2016,132
sediment,Jiangsu,Vancomycin,Other,2.065,ng/g,2017,45
sediment,Jiangxi,Apo-Oxytetracycline,Tetracyclines,0.095,ng/g,NA,104
sediment,Jiangxi,Azithromycin,Macrolides,0.13,ng/g,2016,132
sediment,Jiangxi,Cephalexin,Beta-lactams,12.6,ng/g,2015,123
sediment,Jiangxi,Chlortetracycline,Tetracyclines,4.08,ng/g,NA,104
sediment,Jiangxi,Ciprofloxacin,Fluoroquinolones,6.1,ng/g,2015,123
sediment,Jiangxi,Clarithromycin,Macrolides,0.15,ng/g,2016,132
sediment,Jiangxi,Danofloxacin,Fluoroquinolones,0.05,ng/g,2016,132
sediment,Jiangxi,Doxycycline,Tetracyclines,5.2,ng/g,NA,104
sediment,Jiangxi,Enrofloxacin,Fluoroquinolones,33.85,ng/g,2016,132
sediment,Jiangxi,Epianhydrotetracycline,Tetracyclines,0.15,ng/g,NA,104
sediment,Jiangxi,Epioxytetracycline,Tetracyclines,0.16,ng/g,NA,104
sediment,Jiangxi,Epitetracycline,Tetracyclines,0.12,ng/g,NA,104
sediment,Jiangxi,Erythromycin,Macrolides,1.7,ng/g,2018,58
sediment,Jiangxi,Erythromycin-H2O,Macrolides,1.79,ng/g,2015,123
sediment,Jiangxi,Isochlortetracycline,Tetracyclines,2.23,ng/g,NA,104
sediment,Jiangxi,Lincomycin,Lincosamides,3.4250000000000003,ng/g,2015,123
sediment,Jiangxi,Marbofloxacin,Fluoroquinolones,0.01,ng/g,2016,132
sediment,Jiangxi,Norfloxacin,Fluoroquinolones,0.36,ng/g,2015,123
sediment,Jiangxi,Ofloxacin,Fluoroquinolones,4.46,ng/g,2015,123
sediment,Jiangxi,Oxytetracycline,Tetracyclines,0.96,ng/g,NA,104
sediment,Jiangxi,Penicillin G,Beta-lactams,4.8,ng/g,2015,123
sediment,Jiangxi,Penicillin V,Beta-lactams,16.3,ng/g,2015,123
sediment,Jiangxi,Roxithromycin,Macrolides,1.2999999999999998,ng/g,2016,132
sediment,Jiangxi,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Jiangxi,Sulfadiazine,Sulfonamides,0.35,ng/g,2015,123
sediment,Jiangxi,Sulfadimidine,Sulfonamides,0.175,ng/g,2016,132
sediment,Jiangxi,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Jiangxi,Sulfafurazole,Sulfonamides,0.07,ng/g,2016,132
sediment,Jiangxi,Sulfamethoxazole,Sulfonamides,0.22,ng/g,2018,58
sediment,Jiangxi,Sulfamonomethoxine,Sulfonamides,4.035,ng/g,2015,123
sediment,Jiangxi,Sulfapyridine,Sulfonamides,0.08,ng/g,2016,132
sediment,Jiangxi,Sulfaquinoxaline,Sulfonamides,2.8,ng/g,2015,123
sediment,Jiangxi,Sulfathiazole,Sulfonamides,0.02,ng/g,2016,132
sediment,Jiangxi,Tetracycline,Tetracyclines,5.1499999999999995,ng/g,NA,104
sediment,Jiangxi,Trimethoprim,Diaminopyrimidines,1.19,ng/g,2016,132
sediment,Jiangxi,Tylosin,Macrolides,0.37,ng/g,2015,123
sediment,Jiangxi,Vancomycin,Other,1.4,ng/g,2015,123
sediment,Jilin,Ciprofloxacin,Fluoroquinolones,10.8,ng/g,2017,126
sediment,Jilin,Doxycycline,Tetracyclines,1.7,ng/g,2017,126
sediment,Jilin,Enrofloxacin,Fluoroquinolones,9.6,ng/g,2017,126
sediment,Jilin,Erythromycin,Macrolides,17.2,ng/g,2017,126
sediment,Jilin,Florfenicol,Phenicols,7.8,ng/g,2017,126
sediment,Jilin,Norfloxacin,Fluoroquinolones,62.8,ng/g,2017,126
sediment,Jilin,Ofloxacin,Fluoroquinolones,6.4,ng/g,2017,126
sediment,Jilin,Oxytetracycline,Tetracyclines,149.5,ng/g,2015,CAND_JILIN_LIAO_2016
sediment,Jilin,Roxithromycin,Macrolides,3.6,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,Sulfadiazine,Sulfonamides,4.4,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,Sulfamethoxazole,Sulfonamides,1.4,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Jilin,Tetracycline,Tetracyclines,37.3,ng/g,2015,NEW_JILIN_DONG_2016
sediment,Liaoning,Chloramphenicol,Phenicols,1.02,ng/g,2011,194
sediment,Liaoning,Chlortetracycline,Tetracyclines,4.81,ng/g,2013,120
sediment,Liaoning,Ciprofloxacin,Fluoroquinolones,7.15,ng/g,2013,120
sediment,Liaoning,Doxycycline,Tetracyclines,1.33,ng/g,2013,120
sediment,Liaoning,Enrofloxacin,Fluoroquinolones,10.5,ng/g,2013,120
sediment,Liaoning,Erythromycin-H2O,Macrolides,11.45,ng/g,2012,217
sediment,Liaoning,Florfenicol,Phenicols,0.43,ng/g,2011,194
sediment,Liaoning,Norfloxacin,Fluoroquinolones,11.7,ng/g,2013,120
sediment,Liaoning,Ofloxacin,Fluoroquinolones,6.609999999999999,ng/g,2013,120
sediment,Liaoning,Oxytetracycline,Tetracyclines,44.21,ng/g,2013,120
sediment,Liaoning,Roxithromycin,Macrolides,2.5,ng/g,2013,120
sediment,Liaoning,Sulfacetamide,Sulfonamides,0.13,ng/g,2011,194
sediment,Liaoning,Sulfachinoxaline,Sulfonamides,1.57,ng/g,2015,150
sediment,Liaoning,Sulfadiazine,Sulfonamides,6.55,ng/g,2015,124
sediment,Liaoning,Sulfadimethoxine,Sulfonamides,0.18,ng/g,2017,120
sediment,Liaoning,Sulfadimidine,Sulfonamides,0.26,ng/g,2011,194
sediment,Liaoning,Sulfamerazine,Sulfonamides,1.73,ng/g,2011,194
sediment,Liaoning,Sulfameter,Sulfonamides,8.82,ng/g,2011,194
sediment,Liaoning,Sulfamethoxazole,Sulfonamides,2.085,ng/g,2017,120
sediment,Liaoning,Sulfamethoxypyridazine,Sulfonamides,1.49,ng/g,2011,194
sediment,Liaoning,Sulfamonomethoxine,Sulfonamides,0.915,ng/g,2017,120
sediment,Liaoning,Sulfathiazole,Sulfonamides,0.08999999999999998,ng/g,2011,194
sediment,Liaoning,Tetracycline,Tetracyclines,1.71,ng/g,2013,120
sediment,Liaoning,Trimethoprim,Diaminopyrimidines,35.655,ng/g,2015,150
sediment,Qinghai,Anhydrochlortetracycline,Tetracyclines,0.48,ng/g,2018,59
sediment,Qinghai,Azithromycin,Macrolides,0.45,ng/g,2018,54
sediment,Qinghai,Chlortetracycline,Tetracyclines,0.56,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Clarithromycin,Macrolides,0.44,ng/g,2018,54
sediment,Qinghai,Clindamycin,Lincosamides,0.625,ng/g,2018,54
sediment,Qinghai,Dehydroerythromycin,Macrolides,0.8775,ng/g,2018,54
sediment,Qinghai,Erythromycin,Macrolides,2.11,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Ofloxacin,Fluoroquinolones,0.88,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Oxytetracycline,Tetracyclines,0.02,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Roxithromycin,Macrolides,5.46,ng/g,2022,CAND_QINGHAI_2023
sediment,Qinghai,Tylosin,Macrolides,1.8,ng/g,2022,CAND_QINGHAI_2023
sediment,Shaanxi,Cefazolin,Beta-lactams,43,ng/g,2017,136
sediment,Shaanxi,Chloramphenicol,Phenicols,3.92,ng/g,2017,136
sediment,Shaanxi,Chlortetracycline,Tetracyclines,3.44,ng/g,2014,128
sediment,Shaanxi,Ciprofloxacin,Fluoroquinolones,9.2,ng/g,2014,128
sediment,Shaanxi,Doxycycline,Tetracyclines,3.05,ng/g,2014,128
sediment,Shaanxi,Enrofloxacin,Fluoroquinolones,1.25,ng/g,2014,128
sediment,Shaanxi,Erythromycin-H2O,Macrolides,30.549999999999997,ng/g,2017,136
sediment,Shaanxi,Mecillinam,Beta-lactams,1.7,ng/g,NA,143
sediment,Shaanxi,Norfloxacin,Fluoroquinolones,33.1,ng/g,2014,128
sediment,Shaanxi,Ofloxacin,Fluoroquinolones,1.5499999999999998,ng/g,2014,128
sediment,Shaanxi,Oxytetracycline,Tetracyclines,16.13,ng/g,2014,128
sediment,Shaanxi,Roxithromycin,Macrolides,15.36,ng/g,2017,136
sediment,Shaanxi,Sulfadiazine,Sulfonamides,1.56,ng/g,2014,128
sediment,Shaanxi,Sulfadimidine,Sulfonamides,18.35,ng/g,2014,128
sediment,Shaanxi,Sulfameter,Sulfonamides,2.5,ng/g,2014,128
sediment,Shaanxi,Sulfamethoxazole,Sulfonamides,0.255,ng/g,2014,128
sediment,Shaanxi,Tetracycline,Tetracyclines,21.25,ng/g,2014,128
sediment,Shaanxi,Trimethoprim,Diaminopyrimidines,2.8499999999999996,ng/g,2014,128
sediment,Shandong,Azithromycin,Macrolides,0.1,ng/g dw,NA,CAND_XIAOQING_2022
sediment,Shandong,Chloramphenicol,Phenicols,2.8683829787234045,ng/g,2015,125
sediment,Shandong,Chlortetracycline,Tetracyclines,0.51,ng/g,2013,120
sediment,Shandong,Ciprofloxacin,Fluoroquinolones,0.97,ng/g,2015,102
sediment,Shandong,Clarithromycin,Macrolides,0.28,ng/g,2018,52
sediment,Shandong,Doxycycline,Tetracyclines,0.63,ng/g,2013,120
sediment,Shandong,Enoxacin,Fluoroquinolones,1150.065,ng/g,NA,130
sediment,Shandong,Enrofloxacin,Fluoroquinolones,0.92,ng/g,2015,102
sediment,Shandong,Erythromycin-H2O,Macrolides,2.11,ng/g,2017,75
sediment,Shandong,Flumequine,Fluoroquinolones,0.06,ng/g,2015,102
sediment,Shandong,Levofloxacin,Fluoroquinolones,13.699042553191488,ng/g,2015,125
sediment,Shandong,Lomefloxacin,Fluoroquinolones,0.14,ng/g,2015,102
sediment,Shandong,Moxifloxacin,Fluoroquinolones,1800,ng/g,NA,130
sediment,Shandong,Nalidixic Acid,Quinolones,1400,ng/g,NA,130
sediment,Shandong,Norfloxacin,Fluoroquinolones,0.8399999999999999,ng/g,2013,120
sediment,Shandong,Ofloxacin,Fluoroquinolones,1.1644999999999999,ng/g,2015,102
sediment,Shandong,Oxolinic Acid,Quinolones,0.16499999999999998,ng/g,2015,102
sediment,Shandong,Oxytetracycline,Tetracyclines,3.555,ng/g,2013,120
sediment,Shandong,Pipemidic Acid,Quinolones,2.64,ng/g,2015,102
sediment,Shandong,Roxithromycin,Macrolides,1.045,ng/g,2013,120
sediment,Shandong,Roxithromycin-H2O,Macrolides,1.28,ng/g,2017,75
sediment,Shandong,Sarafloxacin,Fluoroquinolones,0.26,ng/g,2015,102
sediment,Shandong,Sulfabenzamide,Sulfonamides,0.175,ng/g,2018,65
sediment,Shandong,Sulfachloropyridazine,Sulfonamides,0.07,ng/g dw,NA,CAND_XIAOQING_2022
sediment,Shandong,Sulfadiazine,Sulfonamides,0.58,ng/g,2015,124
sediment,Shandong,Sulfadimethoxine,Sulfonamides,0.3,ng/g,2017,120
sediment,Shandong,Sulfadimidine,Sulfonamides,0.35150000000000003,ng/g,2013,164
sediment,Shandong,Sulfadoxine,Sulfonamides,0.26,ng/g dw,NA,CAND_XIAOQING_2022
sediment,Shandong,Sulfamerazine,Sulfonamides,0.12,ng/g,2013,164
sediment,Shandong,Sulfamethoxazole,Sulfonamides,0.32,ng/g,2017,120
sediment,Shandong,Sulfamonomethoxine,Sulfonamides,0.2,ng/g,2017,120
sediment,Shandong,Sulfaphenazole,Sulfonamides,0.10500000000000001,ng/g,2018,65
sediment,Shandong,Sulfapyridine,Sulfonamides,0.06749999999999999,ng/g,2015,125
sediment,Shandong,Sulfaquinoxaline,Sulfonamides,0.04,ng/g,2013,164
sediment,Shandong,Sulfathiazole,Sulfonamides,0.0225,ng/g,2013,164
sediment,Shandong,Tetracycline,Tetracyclines,2.42,ng/g,2013,120
sediment,Shandong,Trimethoprim,Diaminopyrimidines,0.146,ng/g,2018,52
sediment,Shanghai,Amoxicillin,Beta-lactams,0.23,ng/g,2017,45
sediment,Shanghai,Cephalexin,Beta-lactams,3.7,ng/g,2017,45
sediment,Shanghai,Chloramphenicol,Phenicols,0.3,ng/g,NA,166
sediment,Shanghai,Chlortetracycline,Tetracyclines,2.685,ng/g,2015,116
sediment,Shanghai,Ciprofloxacin,Fluoroquinolones,6.71,ng/g,2011,211
sediment,Shanghai,Doxycycline,Tetracyclines,3.56,ng/g,2015,116
sediment,Shanghai,Enrofloxacin,Fluoroquinolones,3.2,ng/g,2012,204
sediment,Shanghai,Erythromycin,Macrolides,6.263249999999999,ng/g,2012,204
sediment,Shanghai,Erythromycin-H2O,Macrolides,4.99,ng/g,2017,45
sediment,Shanghai,Florfenicol,Phenicols,0.25,ng/g,2012,204
sediment,Shanghai,Lincomycin,Lincosamides,1.98,ng/g,2017,45
sediment,Shanghai,Norfloxacin,Fluoroquinolones,11.54275,ng/g,2011,211
sediment,Shanghai,Ofloxacin,Fluoroquinolones,27.7375,ng/g,2012,204
sediment,Shanghai,Olaquindox,Other,0.47250000000000003,ng/g,2018,60
sediment,Shanghai,Oxytetracycline,Tetracyclines,6.305,ng/g,2015,116
sediment,Shanghai,Penicillin V,Beta-lactams,5.21,ng/g,2017,45
sediment,Shanghai,Roxithromycin,Macrolides,1.13,ng/g,2012,204
sediment,Shanghai,Sulfadiazine,Sulfonamides,0.2345,ng/g,2015,116
sediment,Shanghai,Sulfadimethoxine,Sulfonamides,0.6,ng/g,2017,25
sediment,Shanghai,Sulfadimidine,Sulfonamides,0.55,ng/g,2015,116
sediment,Shanghai,Sulfamerazine,Sulfonamides,0.0225,ng/g,2015,116
sediment,Shanghai,Sulfamethoxazole,Sulfonamides,0.30000000000000004,ng/g,2015,116
sediment,Shanghai,Sulfamonomethoxine,Sulfonamides,1.49,ng/g,2017,45
sediment,Shanghai,Sulfapyridine,Sulfonamides,1.8575,ng/g,2015,116
