province,antibiotic,metric,value,unit,china_mean,fold_change,log2_fc,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Ningxia,Clindamycin,S. aureus_resistance_2022,33.61641764640808,% resistant strains,30.98008680728174,1.085097593674485,0.11782480449310037,Fourth,6,Western,16,2,3,3
Ningxia,Erythromycin,S. aureus_resistance_2022,52.59842276573181,% resistant strains,55.1966134578951,0.9529284401814755,-0.06956021534979762,Fourth,6,Western,16,2,3,3
Ningxia,Penicillin G,S. aureus_resistance_2022,92.74423718452454,% resistant strains,91.24981145704946,1.0163773020854787,0.023436062347311333,Fourth,6,Western,16,2,3,3
Ningxia,Ertapenem,E. coli_resistance_2022,0.18601190531626344,% resistant strains,1.1475837785720584,0.16209004413404882,-2.6251326142696367,Fourth,6,Western,16,2,3,3
Ningxia,Tigecycline,E. coli_resistance_2022,0.19440124742686749,% resistant strains,0.1598866965298751,1.2158688098890282,0.28198757291558446,Fourth,6,Western,16,2,3,3
Ningxia,Meropenem,E. coli_resistance_2022,0.49663567915558815,% resistant strains,1.2658972790914362,0.392319098364786,-1.3499005263714041,Fourth,6,Western,16,2,3,3
Ningxia,Imipenem,E. coli_resistance_2022,0.5743243265897036,% resistant strains,1.182867981298196,0.4855354407001392,-1.042351488725449,Fourth,6,Western,16,2,3,3
Ningxia,Polymyxin B,E. coli_resistance_2022,0.8695651777088642,% resistant strains,1.1079538765793235,0.7848387880491413,-0.34953175115982676,Fourth,6,Western,16,2,3,3
Ningxia,Amikacin,E. coli_resistance_2022,1.4795474708080292,% resistant strains,1.8433170903834604,0.8026548869572098,-0.31714828136414075,Fourth,6,Western,16,2,3,3
Ningxia,Cefotetan,E. coli_resistance_2022,1.73611119389534,% resistant strains,2.2184994583949447,0.782561017685077,-0.3537248489383965,Fourth,6,Western,16,2,3,3
Ningxia,Nitrofurantoin,E. coli_resistance_2022,1.2649494223296642,% resistant strains,2.866004122000548,0.4413634344135889,-1.1799609831115496,Fourth,6,Western,16,2,3,3
Ningxia,Cefoxitin,E. coli_resistance_2022,8.93661230802536,% resistant strains,10.33073666114961,0.865050828527352,-0.2091431899877737,Fourth,6,Western,16,2,3,3
Ningxia,Chloramphenicol,E. coli_resistance_2022,24.362605810165405,% resistant strains,25.454306338102587,0.9571113620840254,-0.063241299560244435,Fourth,6,Western,16,2,3,3
Ningxia,Ceftazidime,E. coli_resistance_2022,21.56757265329361,% resistant strains,21.389369137825504,1.008331405864279,0.011969883894799289,Fourth,6,Western,16,2,3,3
Ningxia,Cefepime,E. coli_resistance_2022,21.36353999376297,% resistant strains,23.675093102839686,0.902363505011963,-0.148219374006761,Fourth,6,Western,16,2,3,3
Ningxia,Aztreonam,E. coli_resistance_2022,31.00012838840485,% resistant strains,30.526666535485177,1.0155097790441452,0.02220413240665475,Fourth,6,Western,16,2,3,3
Ningxia,Gentamicin,E. coli_resistance_2022,35.93563139438629,% resistant strains,33.7330695121519,1.0652938470790791,0.09125143350316868,Fourth,6,Western,16,2,3,3
Ningxia,Tobramycin,E. coli_resistance_2022,10.233553498983383,% resistant strains,12.715457019306,0.8048120868519064,-0.3132761228572878,Fourth,6,Western,16,2,3,3
Ningxia,Cefotaxime,E. coli_resistance_2022,45.47563791275024,% resistant strains,47.70890551228677,0.9531897121605235,-0.06916471437794723,Fourth,6,Western,16,2,3,3
Ningxia,Ceftriaxone,E. coli_resistance_2022,49.43794310092926,% resistant strains,49.084405264546795,1.0072026509127905,0.010353985284046636,Fourth,6,Western,16,2,3,3
Ningxia,Trimethoprim/Sulfamethoxazole,E. coli_resistance_2022,52.28894352912903,% resistant strains,52.001104047221524,1.005535257129274,0.007963667813133707,Fourth,6,Western,16,2,3,3
Ningxia,Cefuroxime,E. coli_resistance_2022,50.83907842636109,% resistant strains,50.20180459945433,1.0126942414120645,0.018198652930711032,Fourth,6,Western,16,2,3,3
