province,bacteria,antibiotic,resistant_pc
Hebei,E. coli,Cefotetan,2.6763366535305977
Hebei,E. coli,Amikacin,4.982992634177208
Hebei,E. coli,Nitrofurantoin,3.5554632544517517
Hebei,E. coli,Cefoxitin,12.123309820890428
Hebei,E. coli,Chloramphenicol,24.13303554058075
Hebei,E. coli,Ceftazidime,24.013817310333252
Hebei,E. coli,Aztreonam,31.809702515602112
Hebei,E. coli,Cefepime,25.629708170890808
Hebei,E. coli,Gentamicin,37.76032030582428
Hebei,E. coli,Tobramycin,35.3777140378952
Hebei,E. coli,Ceftriaxone,52.90795564651489
Hebei,E. coli,Cefotaxime,52.37090587615967
Hebei,E. coli,Cefuroxime,54.75966930389404
Hebei,E. coli,Levofloxacin,54.77834939956665
Hebei,E. coli,Ciprofloxacin,58.09022784233093
Hebei,E. coli,Cefazolin,64.56710696220398
Hebei,E. coli,Ampicillin,84.2066764831543
Hebei,K. pneumoniae,Polymixin B,1.2084047310054302
Hebei,K. pneumoniae,Tigecycline,0.7627243176102638
Hebei,K. pneumoniae,Amikacin,6.239334866404533
Hebei,K. pneumoniae,Ertapenem,7.688698172569275
Hebei,K. pneumoniae,Meropenem,8.43031033873558
Hebei,K. pneumoniae,Cefotetan,8.493589609861374
Hebei,K. pneumoniae,Imipenem,8.694811910390854
Hebei,K. pneumoniae,Cefoxitin,14.839811623096466
Hebei,K. pneumoniae,Gentamicin,16.384387016296387
Hebei,K. pneumoniae,Levofloxacin,15.993919968605042
Hebei,K. pneumoniae,Tobramycin,17.92096197605133
Hebei,K. pneumoniae,Ciprofloxacin,18.49903166294098
Hebei,K. pneumoniae,Cefepime,18.36134046316147
Hebei,K. pneumoniae,Ceftazidime,19.707582890987396
Hebei,K. pneumoniae,Chloramphenicol,18.84208470582962
Hebei,K. pneumoniae,Aztreonam,22.552596032619476
Hebei,K. pneumoniae,Ceftriaxone,27.560514211654663
Hebei,K. pneumoniae,Cefotaxime,26.982790231704712
Hebei,K. pneumoniae,Cefuroxime,29.823443293571472
Hebei,K. pneumoniae,Cefazolin,31.00639283657074
