sample_type,province,antibiotic,median_concentration,sam_Y,pub_id,pub_full,lod_est
sediments,Hubei,Chlortetracycline,5.05,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2028).",2.8
sediments,Hubei,Ciprofloxacin,1.04,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2025).",0.98
sediments,Hubei,Clarithromycin,0.9,2014,109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2045).",0.9
sediments,Hubei,Doxycycline,3.5,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2029).",0.69
sediments,Hubei,Enrofloxacin,1.3,2014,109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2040).",1.2
sediments,Hubei,Erythromycin,2.195,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2034).",0.405
sediments,Hubei,Lincomycin,0.21,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2039).",0.21
sediments,Hubei,Lomefloxacin,8.4,2014,109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2041).",8.4
sediments,Hubei,Norfloxacin,2,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2026).",1.7
sediments,Hubei,Ofloxacin,1.2,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2027).",0.27
sediments,Hubei,Oxytetracycline,6.05,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2030).",0.97
sediments,Hubei,Penicillin G,2.185,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2037).",2.185
sediments,Hubei,Penicillin V,0.245,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2038).",0.245
sediments,Hubei,Roxithromycin,2,2014,109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2047).",2
sediments,Hubei,Sulfadiazine,0.54,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2019).",0.015
sediments,Hubei,Sulfamerazine,1.6,2014,109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2035).",1.6
sediments,Hubei,Sulfameter,2.7,NA,94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2026).",2.3
sediments,Hubei,Sulfamethazine,0.2,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2020).",0.055
sediments,Hubei,Sulfamethoxazole,0.2925,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2021).",0.18
sediments,Hubei,Sulfamonomethoxine,0.08,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2022).",0.08
sediments,Hubei,Sulfaquinoxaline,0.005,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2023).",0.005
sediments,Hubei,Sulfathiazole,467.1,2015,149,"Yan, M., Xu, C., Huang, Y., Nie, H. & Wang, J. Tetracyclines, sulfonamides and quinolones and their corresponding resistance genes in the Three Gorges Reservoir, China. Science of the Total Environment 631-632 (2037).",467.1
sediments,Hubei,Tetracycline,1.835,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2031).",1.2
sediments,Hubei,Trimethoprim,3.8,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2024).",1.9
sediments,Hubei,Tylosin,0.26,2016,34,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou Reservoir, China: Spatiotemporal distribution and indicator screening. Environ Pollut 246, 435-442, doi:10.1016/j.envpol.2018.12.038 (2035).",0.26
sediments,Hunan,Azithromycin,1.1550000000000002,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2034).",0.13
sediments,Hunan,Chlortetracycline,15.87,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2031).",1.69
sediments,Hunan,Ciprofloxacin,2.45,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2026).",1.16
sediments,Hunan,Clarithromycin,0.58,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2035).",0.15
sediments,Hunan,Danofloxacin,0.05,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2037).",0.05
sediments,Hunan,Doxycycline,4,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2032).",1.64
sediments,Hunan,Enrofloxacin,4.48,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2027).",2.38
sediments,Hunan,Erythromycin,0.6,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2033).",0.41
sediments,Hunan,Florfenicol,0.22,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2038).",0.2
sediments,Hunan,Lincomycin,0.45,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2051).",0.45
sediments,Hunan,Marbofloxacin,0.01,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2039).",0.01
sediments,Hunan,Norfloxacin,7.4,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2025).",0.36
sediments,Hunan,Ofloxacin,19.6,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2023).",2.02
sediments,Hunan,Oxytetracycline,18.4,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2030).",0.96
sediments,Hunan,Roxithromycin,1.94,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2036).",1.2
sediments,Hunan,Sulfachloropyridazine,0.08,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2020).",0.08
sediments,Hunan,Sulfadiazine,4.5,NA,94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2016).",0.35
sediments,Hunan,Sulfadoxine,0.05,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2022).",0.05
sediments,Hunan,Sulfameter,32.27,NA,94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2018).",32.27
sediments,Hunan,Sulfamethazine,3.1900000000000004,NA,94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2017).",0.14
sediments,Hunan,Sulfamethoxazole,30.57,NA,94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2019).",30.57
sediments,Hunan,Sulfamonomethoxine,0.27,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2025).",0.27
sediments,Hunan,Sulfapyridine,0.08,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2026).",0.08
sediments,Hunan,Sulfathiazole,0.02,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2028).",0.02
sediments,Hunan,Sulfisoxazole,0.07,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2029).",0.07
sediments,Hunan,Tetracycline,10.85,2017,49,"Chen, L. et al. Distribution, residue level, sources, and phase partition of antibiotics in surface sediments from the inland river: a case study of the Xiangjiang River, south-central China. Environmental Science and Pollution Research 27 (2029).",3.2
sediments,Hunan,Trimethoprim,0.08,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2030).",0.08
sediments,Hunan,Tylosin,0.14,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2048).",0.14
sediments,Jiangsu,Amoxicillin,11.62,2017,45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2035).",11.62
sediments,Jiangsu,Azithromycin,0.13,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.07445
sediments,Jiangsu,Cefazolin,3.0199999999999996,2012,95,"Zhang, S. et al. Antibiotic concentration and antibiotic-resistant bacteria in two shallow urban lakes after stormwater event. Environ Sci Pollut Res Int 23, 9984-9992, doi:10.1007/s11356-016-6237-9 (2031).",1.52
sediments,Jiangsu,Ceftriaxone,1.56,2012,95,"Zhang, S. et al. Antibiotic concentration and antibiotic-resistant bacteria in two shallow urban lakes after stormwater event. Environ Sci Pollut Res Int 23, 9984-9992, doi:10.1007/s11356-016-6237-9 (2022).",0.44
sediments,Jiangsu,Cephalexin,4.915,2017,45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2036).",3.7
sediments,Jiangsu,Chlortetracycline,1.69,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.42
sediments,Jiangsu,Ciprofloxacin,4.4,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.14895
sediments,Jiangsu,Clarithromycin,0.10455,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0591
sediments,Jiangsu,Clindamycin,0.022425,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0299
sediments,Jiangsu,Danofloxacin,0.22500000000000003,2014,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2032).",0.05
sediments,Jiangsu,Demeclocycline,0.438375,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.5845
sediments,Jiangsu,Difloxacin,2.99,2014,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2033).",0.58
sediments,Jiangsu,Doxycycline,1.4,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",1.0578
sediments,Jiangsu,Enoxacin,0.1191375,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.15885
sediments,Jiangsu,Enrofloxacin,3.9350000000000005,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.07
sediments,Jiangsu,Erythromycin,0.69,2017,45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2028).",0.04
sediments,Jiangsu,Fleroxacin,0.17,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.17
sediments,Jiangsu,Florfenicol,0.02,2013,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2081).",0.02
sediments,Jiangsu,Josamycin,0.192,2017,148,"Xu, Z., Li, T., Bi, J. & Wang, C. Spatiotemporal heterogeneity of antibiotic pollution and ecological risk assessment in Taihu Lake Basin, China. Science of the Total Environment 643 (2026).",0.192
sediments,Jiangsu,Leucomycin,0.03,2013,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2077).",0.03
sediments,Jiangsu,Lincomycin,1.0350000000000001,2017,45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2034).",0.45
sediments,Jiangsu,Lomefloxacin,0.2735,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.157
sediments,Jiangsu,Mabofloxacin,0.11985,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.1598
sediments,Jiangsu,Marbofloxacin,0.06,2014,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2037).",0.01
sediments,Jiangsu,Methacycline,0.520575,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.6941
sediments,Jiangsu,Norfloxacin,3.575,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.019
sediments,Jiangsu,Ofloxacin,2.02,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.06
sediments,Jiangsu,Oxytetracycline,4.74,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.1
sediments,Jiangsu,Pefloxacin,0.845,2014,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2040).",0.55
sediments,Jiangsu,Penicillin V,5.21,2017,45,"Zhang, Y. et al. DOM as an indicator of occurrence and risks of antibiotics in a city-river-reservoir system with multiple pollution sources. Sci Total Environ 686, 276-289, doi:10.1016/j.scitotenv.2019.05.439 (2037).",5.21
sediments,Jiangsu,Roxithromycin,0.8425,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.05215
sediments,Jiangsu,Sarafloxacin,0.65745,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.1149
sediments,Jiangsu,Spiramycin,0.012,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.008
sediments,Jiangsu,Sulfabenzamide,0.0465375,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.06205
sediments,Jiangsu,Sulfacetamide,0.104,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.04615
sediments,Jiangsu,Sulfachloropyridazine,0.08,2013,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2050).",0.01
sediments,Jiangsu,Sulfadiazine,0.21,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.019
sediments,Jiangsu,Sulfadimethoxine,0.02195,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0206
sediments,Jiangsu,Sulfadoxine,0.05,2014,98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2019).",0.01
sediments,Jiangsu,Sulfamerazine,0.083,2017,148,"Xu, Z., Li, T., Bi, J. & Wang, C. Spatiotemporal heterogeneity of antibiotic pollution and ecological risk assessment in Taihu Lake Basin, China. Science of the Total Environment 643 (2028).",0.05
sediments,Jiangsu,Sulfameter,0.39997499999999986,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.03095
sediments,Jiangsu,Sulfamethazine,0.20500000000000002,2017,25,"Cao, S. Multi-media distribution characteristics and risk assessment of typical PPCPs in the water environment of the Dianshan Lake in Shanghai Shanghai Normal University, (2022).",0.01
sediments,Jiangsu,Sulfamethizole,0.028425000000000002,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0379
sediments,Jiangsu,Sulfamethoxazole,0.52,2017,25,"Cao, S. Multi-media distribution characteristics and risk assessment of typical PPCPs in the water environment of the Dianshan Lake in Shanghai Shanghai Normal University, (2032).",0.01
sediments,Jiangsu,Sulfamethoxydiazine,0.17025,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.227
sediments,Jiangsu,Sulfamonomethoxine,0.187125,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.02
sediments,Jiangsu,Sulfaphenazole,0.038025,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0507
sediments,Jiangsu,Sulfapyridine,0.015,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.01
sediments,Jiangsu,Sulfaquinoxaline,0.025,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.01
sediments,Jiangsu,Sulfathiazole,0.47,2016,29,"Hao, F. A. N. G. et al. Contamination characteristics and ecological risk assessment of antibiotics in typical eriocheir sinensis aquaculture environments of jiangsu province. J. Ecol. Rural Environ. 35, 1436-1444, doi:10.19741/j.issn.1673-4831.2018.0889 (2019).",0.0163
sediments,Jiangsu,Sulfisoxazole,0.07,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2029).",0.07
