sample_type,province,antibiotic,median_concentration,sam_Y,pub_id,pub_full,lod_est
municipal sludge,Chongqing,Sulfamethazine,1.62,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.8
municipal sludge,Chongqing,Sulfamethoxazole,4.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Chongqing,Sulfathiazole,7.1,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",7.1
municipal sludge,Chongqing,Tetracycline,57.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Chongqing,Trimethoprim,10.805,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",8.32
municipal sludge,Fujian,Chlortetracycline,1260,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",1260
municipal sludge,Fujian,Ciprofloxacin,313,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",313
municipal sludge,Fujian,Danofloxacin,3.45,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",3.45
municipal sludge,Fujian,Enrofloxacin,23.6,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",23.6
municipal sludge,Fujian,Ofloxacin,4870,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",4870
municipal sludge,Fujian,Sulfadiazine,1.8210000000000002,NA,39,"Wang, D., Zhang, X. & Yan, C. Occurrence and removal of sulfonamides and their acetyl metabolites in a biological aerated filter (BAF) of wastewater treatment plant in Xiamen, South China. Environ Sci Pollut Res Int 26, 33363-33372, doi:10.1007/s11356-019-06311-7 (2019).",0.687
municipal sludge,Fujian,Sulfamethazine,1.9855,2017,39,"Wang, D., Zhang, X. & Yan, C. Occurrence and removal of sulfonamides and their acetyl metabolites in a biological aerated filter (BAF) of wastewater treatment plant in Xiamen, South China. Environ Sci Pollut Res Int 26, 33363-33372, doi:10.1007/s11356-019-06311-7 (2019).",0.671
municipal sludge,Fujian,Sulfamethoxazole,2.85,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",2.85
municipal sludge,Fujian,Tetracycline,1030,2016,118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",1030
municipal sludge,Gansu,Chloramphenicol,480,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2029).",480
municipal sludge,Gansu,Ciprofloxacin,22.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2026).",22.5
municipal sludge,Gansu,Enrofloxacin,27.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2027).",27.5
municipal sludge,Gansu,Norfloxacin,15,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2025).",15
municipal sludge,Gansu,Ofloxacin,162.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2028).",162.5
municipal sludge,Gansu,Sulfadiazine,5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",5
municipal sludge,Gansu,Sulfadimethoxine,100,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2024).",100
municipal sludge,Gansu,Sulfamerazine,937.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2020).",937.5
municipal sludge,Gansu,Sulfamethazine,302.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2021).",302.5
municipal sludge,Gansu,Sulfamethoxazole,357.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2022).",357.5
municipal sludge,Gansu,Sulfamonomethoxine,255,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2023).",255
municipal sludge,Gansu,Sulfapyridine,175.00000000000003,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2018).",175.00000000000003
municipal sludge,Gansu,Trimethoprim,932.5,2014,135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2019).",932.5
municipal sludge,Guangdong,Chloramphenicol,66,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",66
municipal sludge,Guangdong,Chlortetracycline,25275,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2023).",335
municipal sludge,Guangdong,Ciprofloxacin,652.5,2008,16,"Peng, X. et al. Distribution pattern, behavior, and fate of antibacterials in urban aquatic environments in South China. J Environ Monit 13, 446-454, doi:10.1039/c0em00394h (2011).",69
municipal sludge,Guangdong,Clarithromycin,29,2010,190,"Zhou, L.-J. et al. Simultaneous determination of human and veterinary antibiotics in various environmental matrices by rapid resolution liquid chromatography–electrospray ionization tandem mass spectrometry. Journal of Chromatography A 1244 (2028).",29
municipal sludge,Guangdong,Doxycycline,5707.5,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2024).",232
municipal sludge,Guangdong,Enoxacin,60,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",60
municipal sludge,Guangdong,Enrofloxacin,1035.5,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",21.4
municipal sludge,Guangdong,Erythromycin,72.5,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2010).",61.2
municipal sludge,Guangdong,Fleroxacin,43.5,2010,190,"Zhou, L.-J. et al. Simultaneous determination of human and veterinary antibiotics in various environmental matrices by rapid resolution liquid chromatography–electrospray ionization tandem mass spectrometry. Journal of Chromatography A 1244 (2024).",43.5
municipal sludge,Guangdong,Levofloxacin,79,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",79
municipal sludge,Guangdong,Lincomycin,1128.5,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2037).",832
municipal sludge,Guangdong,Lomefloxacin,85.14999999999999,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",81
municipal sludge,Guangdong,Marbofloxacin,3.5,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2030).",7
municipal sludge,Guangdong,Methacycline,416.75,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2025).",21.1
municipal sludge,Guangdong,Nadifloxacin,73,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",73
municipal sludge,Guangdong,Norfloxacin,2002,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2008).",40
municipal sludge,Guangdong,Ofloxacin,1667.5,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2007).",227
municipal sludge,Guangdong,Oxytetracycline,27100,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2026).",1680
municipal sludge,Guangdong,Pefloxacin,222.5,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2033).",183
municipal sludge,Guangdong,Roxithromycin,20.6075,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2009).",1.215
municipal sludge,Guangdong,Sarafloxacin,2.175,2016,155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2034).",2.175
municipal sludge,Guangdong,Sulfacetamide,89,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",89
municipal sludge,Guangdong,Sulfachinoxaline,63,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",63
municipal sludge,Guangdong,Sulfachloropyridazine,149.5,2013,138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",86
municipal sludge,Guangdong,Sulfadiazine,3.065,NA,2,"Li, Y. W., Mo, C. H., Zhao, N., Zhang, R. J. & Yi, R. H. Determination of sulfonamides antibiotics in water and soil using high performance liquid chromatography. Fenxi Huaxue Chin. J. Anal. Chem. 36, 954-958 (2008).",1.44
municipal sludge,Guangdong,Sulfadimethoxine,5.907500000000001,NA,2,"Li, Y. W., Mo, C. H., Zhao, N., Zhang, R. J. & Yi, R. H. Determination of sulfonamides antibiotics in water and soil using high performance liquid chromatography. Fenxi Huaxue Chin. J. Anal. Chem. 36, 954-958 (2012).",5.685
municipal sludge,Guangdong,Sulfamerazine,41.84625,NA,2,"Li, Y. W., Mo, C. H., Zhao, N., Zhang, R. J. & Yi, R. H. Determination of sulfonamides antibiotics in water and soil using high performance liquid chromatography. Fenxi Huaxue Chin. J. Anal. Chem. 36, 954-958 (2009).",16.6925
municipal sludge,Guangdong,Sulfameter,44.31,NA,2,"Li, Y. W., Mo, C. H., Zhao, N., Zhang, R. J. & Yi, R. H. Determination of sulfonamides antibiotics in water and soil using high performance liquid chromatography. Fenxi Huaxue Chin. J. Anal. Chem. 36, 954-958 (2010).",44.31
municipal sludge,Guangdong,Sulfamethazine,5.66,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2020).",1.45
municipal sludge,Guangdong,Sulfamethoxazole,23.127499999999998,2005,1,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2021).",4.65
