Location ID,Location Name,Date,Flow (m3/s)
TC12,Pang at Tidmarsh,10/11/2009,0.245
TC12,Pang at Tidmarsh,16/11/2009,0.415
TC12,Pang at Tidmarsh,24/11/2009,0.472
TC12,Pang at Tidmarsh,15/03/2010,1.01
TC12,Pang at Tidmarsh,11/05/2011,0.37
TC13,Thames at Sonning,03/11/2009,15.124
TC13,Thames at Sonning,10/11/2009,11.738
TC13,Thames at Sonning,16/11/2009,39.503
TC13,Thames at Sonning,24/11/2009,54.777
TC13,Thames at Sonning,15/03/2010,48.205
TC13,Thames at Sonning,11/05/2011,16.7
TC14,Lodden at Charvil,03/11/2009,5.61
TC14,Lodden at Charvil,10/11/2009,3.73
TC14,Lodden at Charvil,16/11/2009,12.1
TC14,Lodden at Charvil,24/11/2009,14.1
TC14,Lodden at Charvil,15/03/2010,7.28
TC14,Lodden at Charvil,11/05/2011,4.68
TC15,The Cut at Paley Street,03/11/2009,0.258
TC15,The Cut at Paley Street,10/11/2009,0.114
TC15,The Cut at Paley Street,16/11/2009,0.627
TC15,The Cut at Paley Street,24/11/2009,0.655
TC15,The Cut at Paley Street,15/03/2010,0.398
TC15,The Cut at Paley Street,11/05/2011,0.158
TC16,Thames at Runnymede,11/05/2011,15.533
TC16,Thames at Runnymede,03/11/2009,18.052
TC16,Thames at Runnymede,10/11/2009,13.434
TC16,Thames at Runnymede,16/11/2009,56.844
TC16,Thames at Runnymede,24/11/2009,57.096
TC16,Thames at Runnymede,15/03/2010,54.743
TC17,Wye at Bourne End,03/11/2009,0.59
TC17,Wye at Bourne End,10/11/2009,0.651
TC17,Wye at Bourne End,16/11/2009,0.805
TC17,Wye at Bourne End,24/11/2009,0.73
TC17,Wye at Bourne End,15/03/2010,1.2
TC17,Wye at Bourne End,11/05/2011,1.2
TC18,Thames at Wallingford,03/11/2009,13.156
TC18,Thames at Wallingford,10/11/2009,9.836
TC18,Thames at Wallingford,16/11/2009,51.543
TC18,Thames at Wallingford,24/11/2009,73.537
TC18,Thames at Wallingford,15/03/2010,54.348
TC18,Thames at Wallingford,11/05/2011,13.641
TC19,Thames at Hannington,03/11/2009,0.853
TC19,Thames at Hannington,10/11/2009,0.9
TC19,Thames at Hannington,16/11/2009,4.992
TC19,Thames at Hannington,24/11/2009,9.677
TC19,Thames at Hannington,15/03/2010,5.641
TC19,Thames at Hannington,11/05/2011,1.492
TC20,Kennet at Woolhampton,03/11/2009,4.537
TC20,Kennet at Woolhampton,10/11/2009,3.724
TC20,Kennet at Woolhampton,16/11/2009,5.737
TC20,Kennet at Woolhampton,24/11/2009,7.352
TC20,Kennet at Woolhampton,15/03/2010,12.313
TC20,Kennet at Woolhampton,11/05/2011,5.77
TC21,Emborne at Brimpton,03/11/2009,0.691
TC21,Emborne at Brimpton,10/11/2009,0.329
TC21,Emborne at Brimpton,16/11/2009,1.94
TC21,Emborne at Brimpton,24/11/2009,2.58
TC21,Emborne at Brimpton,15/03/2010,1.19
TC21,Emborne at Brimpton,11/05/2011,0.365
