cluster_id,cluster_name,matrix,env_class,n_provinces,env_records_total,median_env_burden_log,dominant_endpoint_from_pathway_screen,top_pathway_score,top_pathway_class,sparse_or_too_little_data
3,Inland surveillance-gap belt,sediment,phenicols,2,5,0.8123399822302197,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sediment,sulfonamides,6,41,0.4584987820674088,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sediment,tetracyclines,5,35,0.9942627570120666,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sludge,beta-lactams,2,2,0.7959328211323942,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sludge,diaminopyrimidines,4,6,1.2787536009528289,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sludge,fluoroquinolones,6,36,1.9258275746247424,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sludge,macrolides,5,28,1.100370545117563,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sludge,phenicols,1,1,2.682145076373832,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sludge,sulfonamides,6,40,0.747038918267906,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sludge,tetracyclines,4,17,1.4653828514484184,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,soil,diaminopyrimidines,1,1,1.212986184736668,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,soil,fluoroquinolones,5,16,0.6958203517461938,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,soil,macrolides,3,5,0.3222192947339193,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,soil,phenicols,1,1,0.02530586526477026,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,soil,sulfonamides,4,19,0.11725864175634335,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,soil,tetracyclines,6,33,1.0582558486071956,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,surface water,beta-lactams,1,5,0.7481880270062004,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,surface water,diaminopyrimidines,1,1,2.727541257028556,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,surface water,fluoroquinolones,7,30,0.9198584061342412,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,surface water,lincosamides,1,1,0.7419390777291989,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,surface water,macrolides,6,22,1.700302492362418,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,surface water,phenicols,1,1,1.4229179807676624,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,surface water,sulfonamides,5,11,0.7323937598229685,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,surface water,tetracyclines,7,21,1.524880275881238,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,wastewater effluent,beta-lactams,2,2,5.353580260016335,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater effluent,fluoroquinolones,3,13,2.5217916496391233,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater effluent,lincosamides,1,1,1.4941545940184429,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater effluent,macrolides,3,11,1.9590413923210936,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater effluent,sulfonamides,1,3,1.1846914308175989,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,beta-lactams,1,1,2.4927603890268375,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,diaminopyrimidines,1,1,0.6324572921847242,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,fluoroquinolones,3,10,3.467815215399414,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,lincosamides,1,1,2.0141843975012796,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,macrolides,1,3,2.5538830266438746,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,wastewater influent,sulfonamides,2,5,2.362967468324624,,NA,Too sparse,TRUE
