province,amr_burden_score_2024,total_strains_curated_2024,env_rows,env_unique_references,env_unique_matrices,sample_year_min,sample_year_max,env_year_span,amr_burden_percentile,env_rows_percentile,env_matrices_percentile,env_year_span_percentile,env_evidence_percentile,env_monitoring_weakness,monitoring_gap_priority_score,quadrant,top_quartile_amr,bottom_quartile_env,strict_h1_priority,priority_rank
Shanxi,37.1303373016417,162390,90,12,5,2015.0,2024.0,10.0,0.5483870967741935,0.3870967741935484,0.6612903225806451,0.3870967741935484,0.478494623655914,0.521505376344086,0.2859868192854665,High AMR / Low Env,False,False,False,11
Sichuan,35.248700715601444,425212,101,9,4,2016.0,2023.0,8.0,0.45161290322580644,0.41935483870967744,0.43548387096774194,0.2903225806451613,0.38172043010752693,0.618279569892473,0.27922303156434264,Low AMR / Low Env,False,False,False,12
Fujian,35.797189362347126,215746,133,21,4,2010.0,2023.0,14.0,0.5161290322580645,0.532258064516129,0.43548387096774194,0.7096774193548387,0.5591397849462366,0.4408602150537634,0.2275407561567811,High AMR / High Env,False,False,False,13
Shanghai,42.6718620583415,245264,310,35,4,2006.0,2023.0,18.0,0.8709677419354839,0.8709677419354839,0.43548387096774194,0.9354838709677419,0.7473118279569891,0.25268817204301086,0.22008324661810624,High AMR / High Env,True,False,False,14
Chongqing,34.60493450984359,241388,109,15,4,2012.0,2023.0,12.0,0.3548387096774194,0.45161290322580644,0.43548387096774194,0.532258064516129,0.4731182795698925,0.5268817204301075,0.18695802983003815,Low AMR / Low Env,False,False,False,15
Guangxi,34.79427630081773,312421,173,24,4,2010.0,2023.0,14.0,0.3870967741935484,0.6774193548387096,0.43548387096774194,0.7096774193548387,0.6075268817204301,0.3924731182795699,0.15192507804370448,Low AMR / High Env,False,False,False,16
Beijing,43.3476772159338,169989,182,30,6,2008.0,2024.0,17.0,0.9032258064516129,0.7096774193548387,0.8870967741935484,0.9032258064516129,0.8333333333333334,0.16666666666666663,0.1505376344086021,High AMR / High Env,True,False,False,17
Hunan,33.83043557405472,275308,142,29,5,2016.0,2022.0,7.0,0.25806451612903225,0.5806451612903226,0.6612903225806451,0.22580645161290322,0.489247311827957,0.510752688172043,0.13180714533472077,Low AMR / Low Env,False,False,False,18
Shandong,40.34864204004407,594197,297,39,6,2010.0,2024.0,15.0,0.7419354838709677,0.8064516129032258,0.8870967741935484,0.7903225806451613,0.8279569892473116,0.17204301075268835,0.12764481442941394,High AMR / High Env,False,False,False,19
Jiangxi,34.49494121596217,196277,157,20,4,2009.0,2021.0,13.0,0.2903225806451613,0.6129032258064516,0.43548387096774194,0.6451612903225806,0.564516129032258,0.435483870967742,0.1264308012486993,Low AMR / High Env,False,False,False,20
Guizhou,32.98854613676667,178342,70,12,3,2007.0,2018.0,12.0,0.1935483870967742,0.25806451612903225,0.25806451612903225,0.532258064516129,0.3494623655913978,0.6505376344086022,0.12591050988553593,Low AMR / Low Env,False,False,False,21
Hainan,33.32128515467048,74530,133,9,4,2013.0,2024.0,12.0,0.22580645161290322,0.532258064516129,0.43548387096774194,0.532258064516129,0.5,0.5,0.11290322580645161,Low AMR / High Env,False,False,False,22
Qinghai,32.49421454966068,34589,27,4,2,2015.0,2018.0,4.0,0.12903225806451613,0.12903225806451613,0.16129032258064516,0.14516129032258066,0.14516129032258063,0.8548387096774194,0.11030176899063475,Low AMR / Low Env,False,True,False,23
Jiangsu,39.92591332644224,454277,679,90,6,2009.0,2023.0,15.0,0.6774193548387096,0.967741935483871,0.8870967741935484,0.7903225806451613,0.881720430107527,0.11827956989247301,0.08012486992715913,High AMR / High Env,False,False,False,24
Hebei,40.79520320519805,264191,395,58,6,2004.0,2023.0,20.0,0.7741935483870968,0.9032258064516129,0.8870967741935484,0.967741935483871,0.9193548387096774,0.08064516129032262,0.06243496357960461,High AMR / High Env,True,False,False,25
Xinjiang,32.317697163671255,185959,28,9,5,2012.0,2025.0,14.0,0.0967741935483871,0.16129032258064516,0.6612903225806451,0.7096774193548387,0.510752688172043,0.489247311827957,0.04734651404786681,Low AMR / High Env,False,False,False,26
Ningxia,32.037683855742216,72028,5,3,5,2017.0,2020.0,4.0,0.06451612903225806,0.0967741935483871,0.6612903225806451,0.14516129032258066,0.3010752688172043,0.6989247311827957,0.04509191814082553,Low AMR / Low Env,False,False,False,27
Tianjin,34.51485363766551,140748,517,29,6,2007.0,2022.0,16.0,0.3225806451612903,0.9354838709677419,0.8870967741935484,0.8548387096774194,0.8924731182795699,0.10752688172043012,0.034686090877558105,Low AMR / High Env,False,False,False,28
Tibet,26.9154938403517,7125,2,1,1,2023.0,2023.0,1.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.935483870967742,0.030176899063475548,Low AMR / Low Env,False,True,False,29
Zhejiang,32.92424147948623,521130,295,57,6,2009.0,2024.0,16.0,0.16129032258064516,0.7741935483870968,0.8870967741935484,0.8548387096774194,0.8387096774193549,0.16129032258064513,0.026014568158168567,Low AMR / High Env,False,False,False,30
Guangdong,34.84645299613476,468067,1745,90,6,2005.0,2025.0,21.0,0.41935483870967744,1.0,0.8870967741935484,1.0,0.9623655913978495,0.037634408602150504,0.015782171349288922,Low AMR / High Env,False,False,False,31
