sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
sediment,Azithromycin,macrolides,26,11,0.4675,4.407,14.23,0.9741747278557912
sediment,Florfenicol,other,25,10,0.5,12.670000000000002,42.6,0.9311458934934141
sediment,Tylosin,macrolides,23,10,0.6,4.584400000000001,6.11,0.8970746180659
sediment,Sulfadimethoxine,sulfonamides,21,10,0.14,1.23,11.83,0.8323288080432547
sediment,Sarafloxacin,fluoroquinolones,23,6,0.28,6.230000000000004,34.9,0.7448948709741999
sediment,Flumequine,fluoroquinolones,23,6,0.035,58.11200000000009,4900.0,0.7305062590909769
sediment,Fleroxacin,fluoroquinolones,19,5,3.02,32.8,42.1,0.6880892551741756
sediment,Sulfisoxazole,sulfonamides,16,9,0.085,2.5199999999999996,6.45,0.6762489560728221
sediment,Sulfachloropyridazine,sulfonamides,14,9,1.1,223.48614035087746,2298.42105263158,0.660859104172075
sediment,Norfloxacin,tetracyclines,15,2,119.0,294.45599999999996,413.0,0.600724526697552
sediment,Sulfameter,sulfonamides,13,7,2.3,27.58000000000002,49.65,0.5906645068293912
sediment,Marbofloxacin,fluoroquinolones,13,9,0.11,4.817000000000002,13.9,0.5845444327996895
sediment,Ciprofloxacin,tetracyclines,15,2,57.6,86.62,98.4,0.5521826627000885
sediment,Trimethoprim,other,11,6,0.3,188.631578947368,1547.15789473684,0.41304717201366237
sediment,β-apo-oxytetracycline,tetracyclines,4,2,19483.33,22446.668,23266.67,0.38680635655150913
sediment,Penicillin V,beta-lactams,8,5,10.755,16.3,16.3,0.3772580125339186
sediment,Epioxytetracycline,tetracyclines,4,2,11780.0,13948.669,14286.67,0.3527327418715162
sediment,α-apo-oxytetracycline,tetracyclines,4,2,10471.665,12426.669,12566.67,0.34476026962578254
sediment,Pefloxacin,fluoroquinolones,7,5,12.475,26.564999999999998,30.8,0.32993862453332723
sediment,Sulfamethizole,sulfonamides,10,3,6.050000000000001,12.093999999999996,21.67,0.3160499829368196
sediment,Danofloxacin,fluoroquinolones,9,6,0.05,1.1480000000000006,4.14,0.31101946603264985
