sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
sediment,Guangdong,"Pearl River, site Z9",Erythromycin,macrolides,83.9,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z10",Erythromycin,macrolides,85.5,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z11",Erythromycin,macrolides,86.4,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z1",Lomefloxacin,fluoroquinolones,74.6,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z2",Lomefloxacin,fluoroquinolones,71.1,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z3",Lomefloxacin,fluoroquinolones,32.1,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z4",Lomefloxacin,fluoroquinolones,29.4,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z5",Lomefloxacin,fluoroquinolones,24.3,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z6",Lomefloxacin,fluoroquinolones,29.4,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
sediment,Guangdong,"Pearl River, site Z7",Lomefloxacin,fluoroquinolones,13.1,NA,ng/g (dw),2015,autumn,"Tang, J., Fang, J., Tam, N. F., Yang, Y., Dai, Y., Zhang, J., & Shi, Y. (2021). Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China. Environmental Science & Technology, 55(3), 1811-1821. https://doi.org/10.1021/acs.est.0c08248","Supporting Information Table S4 (surface sediments, late blooming season)",PDF-TANG-2021,"2021 Jinpeng Tang Supporting Information  Impact of Phytoplankton Blooms on Concentrations of Antibiotics in Sediment and Snails in a Subtropical River, China .pdf"
