province,group_of_antibiotic,matrix,n_rows,n_rows_mean_based,n_rows_max_based,median_log10_primary_concentration,median_log10_mean_concentration,median_log10_max_concentration,median_primary_concentration_raw,concentration_unit_mode,sample_year_min,sample_year_max
Shanghai,beta-lactams,sediment,5,5,4,6.642519723683259,6.642519723683259,7.660309901837061,4455000.0,ng/g dw,2017.0,2018.0
Shanghai,beta-lactams,wastewater effluent,1,1,1,6.139879086401237,6.139879086401237,6.3979400086720375,1380000.0,ng/L,2023.0,2023.0
Shanghai,fluoroquinolones,sediment,38,38,28,7.002166061756507,7.002166061756507,7.632659666142477,10050000.0,ng/g dw,2011.0,2021.0
Shanghai,fluoroquinolones,sludge,5,5,5,7.920645001406788,7.920645001406788,9.138902399933594,83300000.0,ng/g dw,2015.0,2015.0
Shanghai,fluoroquinolones,soil,19,19,11,7.049218022670182,7.049218022670182,8.697229342759718,11200000.0,ng/g dw,2006.0,2014.0
Shanghai,macrolides,sediment,19,19,13,6.113943352306837,6.113943352306837,6.7664128471124,1300000.0,ng/g dw,2011.0,2019.0
Shanghai,macrolides,sludge,4,4,4,6.95974824393153,6.95974824393153,7.867998942045897,9800000.0,ng/g dw,2015.0,2015.0
Shanghai,macrolides,soil,4,4,3,4.738560627359831,4.738560627359831,6.332438459915605,55000.0,ng/g dw,2006.0,2012.0
Shanghai,other,sediment,17,17,6,5.643452676486188,5.643452676486188,5.979520696160547,440000.0,ng/g dw,2010.0,2019.0
Shanghai,other,soil,4,4,4,4.821726338243094,4.821726338243094,6.503173110173497,120000.0,ng/g dw,2006.0,2006.0
Shanghai,sulfonamides,sediment,94,94,46,5.752048447819439,5.752048447819439,5.981818607170664,565000.0,ng/g dw,2010.0,2019.0
Shanghai,sulfonamides,sludge,7,7,7,6.690196080028514,6.690196080028514,7.214843848047698,4900000.0,ng/g dw,2015.0,2015.0
Shanghai,sulfonamides,soil,19,19,12,5.7558748556724915,5.7558748556724915,7.0924592267762305,570000.0,ng/g dw,2006.0,2014.0
Shanghai,tetracyclines,sediment,59,59,41,6.40457776587359,6.40457776587359,6.835056101720117,2542500.0,ng/g dw,2010.0,2019.0
Shanghai,tetracyclines,sludge,5,5,5,7.133538908370218,7.133538908370218,8.441852175773292,13600000.0,ng/g dw,2015.0,2015.0
Shanghai,tetracyclines,soil,10,10,5,6.721537571910862,6.721537571910862,8.724275869600788,7735000.0,ng/g dw,2012.0,2014.0
Shanxi,amphenicols,surface water,1,1,0,2.3914644118391033,2.3914644118391033,,246.3,ng/L,2022.0,2022.0
Shanxi,fluoroquinolones,sludge,5,5,5,7.920645001406788,7.920645001406788,9.138902399933594,83300000.0,ng/g dw,2015.0,2015.0
Shanxi,fluoroquinolones,soil,16,16,8,6.4048337166199385,6.4048337166199385,7.103987011760531,2540000.0,ng/g dw,2017.0,2017.0
Shanxi,fluoroquinolones,surface water,5,5,3,1.2377949932739225,1.2377949932739225,0.9973863843973133,17.29,ng/L,2021.0,2022.0
Shanxi,macrolides,sludge,4,4,4,6.95974824393153,6.95974824393153,7.867998942045897,9800000.0,ng/g dw,2015.0,2015.0
Shanxi,macrolides,soil,4,4,0,5.3979400086720375,5.3979400086720375,,250000.0,ng/g dw,,
Shanxi,macrolides,surface water,2,2,2,1.9882467233753784,1.9882467233753784,2.7664128471123997,97.33,ng/L,2022.0,2022.0
Shanxi,multiple classes,sediment,1,0,1,2.164352855784437,,2.164352855784437,146.0,ng/g dw,2023.0,2023.0
Shanxi,multiple classes,surface water,2,1,2,3.0054455384125527,2.666105954192445,3.3203662380273036,1337.78,ng/L,2021.0,2023.0
Shanxi,other,surface water,4,2,2,3.060082958672454,2.8736208930002345,3.1974404593516472,1206.29,ng/L,2022.0,2022.0
Shanxi,sulfonamides,sediment,1,0,1,1.146128035678238,,1.146128035678238,14.0,ng/g dw,2023.0,2023.0
Shanxi,sulfonamides,sludge,7,7,7,6.690196080028514,6.690196080028514,7.214843848047698,4900000.0,ng/g dw,2015.0,2015.0
Shanxi,sulfonamides,soil,15,15,7,5.233137160894646,5.233137160894646,5.230448921378274,244000.0,ng/g dw,2017.0,2017.0
Shanxi,sulfonamides,surface water,3,2,3,2.012499777538309,1.645740947201876,2.0718820073061255,102.92,ng/L,2021.0,2023.0
Shanxi,sulfonamides,wastewater influent,1,1,0,3.4892551683692603,3.4892551683692603,,3085.0,ng/L,2024.0,2024.0
