province,chemical_fertilizers_2024,freshwater_aquatic_products_2024,grp_2024,grp_per_capita_2024,hogs_year_end_2024,hospital_beds_2024,hospitals_count_2024,large_animals_year_end_2024,milk_output_2024,population_2024,pork_output_2024,sewage_disposal_capacity_2024,sewage_pipe_length_2024,total_aquatic_products_2024,urban_env_infra_investment_2024,urban_share_2024,log1p__chemical_fertilizers_2024,rankpct__chemical_fertilizers_2024,log1p__freshwater_aquatic_products_2024,rankpct__freshwater_aquatic_products_2024,log1p__grp_2024,rankpct__grp_2024,log1p__grp_per_capita_2024,rankpct__grp_per_capita_2024,log1p__hogs_year_end_2024,rankpct__hogs_year_end_2024,log1p__hospital_beds_2024,rankpct__hospital_beds_2024,log1p__hospitals_count_2024,rankpct__hospitals_count_2024,log1p__large_animals_year_end_2024,rankpct__large_animals_year_end_2024,log1p__milk_output_2024,rankpct__milk_output_2024,log1p__population_2024,rankpct__population_2024,log1p__pork_output_2024,rankpct__pork_output_2024,log1p__sewage_disposal_capacity_2024,rankpct__sewage_disposal_capacity_2024,log1p__sewage_pipe_length_2024,rankpct__sewage_pipe_length_2024,log1p__total_aquatic_products_2024,rankpct__total_aquatic_products_2024,log1p__urban_env_infra_investment_2024,rankpct__urban_env_infra_investment_2024,log1p__urban_share_2024,rankpct__urban_share_2024,WastewaterHealthIndex,LivestockAquacultureIndex,EconomicScaleIndex
Qinghai,4.5,1.9,3950.8,66568.0,37.7,4.03,252.0,669.6,31.5,593.0,4.2,73.9,4260.0,1.9,161140.0,63.86,1.7047480922384253,0.06451612903225806,1.0647107369924282,0.12903225806451613,8.281926450299718,0.06451612903225806,11.105994282700339,0.25806451612903225,3.655839600035736,0.06451612903225806,1.6154199841116479,0.0967741935483871,5.53338948872752,0.12903225806451613,6.508172834032128,0.8387096774193549,3.481240089335692,0.41935483870967744,6.386879319362645,0.06451612903225806,1.6486586255873816,0.0967741935483871,4.316153890523174,0.06451612903225806,8.357259153499912,0.0967741935483871,1.0647107369924282,0.0967741935483871,11.990035037095721,0.06451612903225806,4.172231100879172,0.45161290322580644,0.0903225806451613,0.2442396313364055,0.2096774193548387
Shaanxi,193.7,18.7,35538.8,89915.0,841.6,25.53,1288.0,124.3,139.0,3953.0,99.0,615.6,17204.0,18.7,1951759.0,66.14,5.271459912378154,0.5483870967741935,2.9806186357439426,0.2903225806451613,10.478408474230793,0.5806451612903226,11.406631180152312,0.6451612903225806,6.736492349544916,0.3870967741935484,3.2782761681496484,0.5483870967741935,7.161622002939187,0.5806451612903226,4.8307108619020225,0.3548387096774194,4.941642422609304,0.7419354838709677,8.282483003730562,0.5161290322580645,4.605170185988092,0.3870967741935484,6.42422051545205,0.5161290322580645,9.752955318231582,0.3548387096774194,2.9806186357439426,0.25806451612903225,14.484242087576432,0.7096774193548387,4.206779991551889,0.5161290322580645,0.5419354838709677,0.423963133640553,0.564516129032258
Shandong,349.6,127.5,98565.8,97575.0,2673.4,59.09,2930.0,248.4,313.8,10080.0,356.0,1546.3,76209.0,952.7,4140387.0,66.48,5.859645972487134,0.967741935483871,4.855928904335275,0.7096774193548387,11.498489769893897,0.9354838709677419,11.488386840523074,0.6774193548387096,7.891480335105889,0.8709677419354839,4.095843438345836,1.0,7.983098940710892,1.0,5.519058033245936,0.5161290322580645,5.751937516543248,0.8709677419354839,9.218407743053941,0.967741935483871,5.877735781779639,0.8709677419354839,7.344266755495627,0.9354838709677419,11.241247966660163,0.9354838709677419,6.860349156584867,0.967741935483871,15.236300061216834,0.967741935483871,4.211831257677767,0.6129032258064516,0.967741935483871,0.8248847926267283,0.7983870967741935
Shanghai,6.4,10.0,53926.7,217140.0,82.4,16.83,492.0,5.1,31.9,2480.0,11.1,1070.8,24653.0,22.0,1202295.0,89.85,2.0014800002101243,0.0967741935483871,2.3978952727983707,0.1935483870967742,10.895399539544949,0.7419354838709677,12.288302191098992,0.967741935483871,4.423648309364701,0.16129032258064516,2.8808824318750488,0.3548387096774194,6.20050917404269,0.1935483870967742,1.8082887711792655,0.03225806451612903,3.493472657771326,0.45161290322580644,7.816416983691801,0.3225806451612903,2.4932054526026954,0.16129032258064516,6.97709475706075,0.7419354838709677,10.112694438111465,0.5483870967741935,3.1354942159291497,0.3225806451612903,13.9997436200008,0.45161290322580644,4.50920979484218,1.0,0.4580645161290323,0.20276497695852533,0.7580645161290323
Shanxi,103.8,5.8,25494.7,73769.0,871.5,18.9,1373.0,175.8,146.4,3446.0,109.2,411.1,15601.0,5.8,987543.0,66.32,4.6520537718869415,0.41935483870967744,1.916922612182061,0.16129032258064516,10.14626508947633,0.3548387096774194,11.208707423878348,0.3225806451612903,6.771362654076582,0.41935483870967744,2.990719731730447,0.41935483870967744,7.2254814727822945,0.6451612903225806,5.175019150203543,0.41935483870967744,4.993149979755236,0.7741935483870968,8.145259566516865,0.45161290322580644,4.702296896718814,0.41935483870967744,6.021266038344772,0.2903225806451613,9.655154390148258,0.2903225806451613,1.916922612182061,0.12903225806451613,13.802976331726807,0.3548387096774194,4.209457369322605,0.5483870967741935,0.4,0.39170506912442393,0.41935483870967744
Sichuan,200.3,187.2,64697.0,77333.0,3643.0,53.74,2421.0,872.0,64.7,8364.0,479.4,1199.9,53372.0,187.2,6209515.0,60.1,5.304796332645746,0.5806451612903226,5.23750522715128,0.8064516129032258,11.077485568110127,0.8709677419354839,11.255888982632834,0.4838709677419355,8.200837258379849,0.9354838709677419,4.002594703612533,0.9354838709677419,7.792348924113037,0.9032258064516129,6.771935555839602,0.9354838709677419,4.185098925490565,0.5483870967741935,9.031811613420924,0.8709677419354839,6.174619090205828,1.0,7.090826554666638,0.8709677419354839,10.885060279102886,0.8709677419354839,5.23750522715128,0.6451612903225806,15.641593512063901,1.0,4.11251186617755,0.22580645161290322,0.9161290322580646,0.7788018433179724,0.6129032258064516
Tianjin,15.2,25.4,18024.3,132143.0,117.9,6.72,453.0,28.9,50.6,1364.0,16.8,385.9,23843.0,29.9,257269.0,86.01,2.785011242238338,0.16129032258064516,3.2733640101522705,0.3548387096774194,9.79953160556527,0.25806451612903225,11.791647516050498,0.8387096774193549,4.778282803696737,0.1935483870967742,2.0438143640366846,0.16129032258064516,6.118097198041348,0.16129032258064516,3.3978584803966405,0.12903225806451613,3.9435216724875173,0.4838709677419355,7.21890970761906,0.16129032258064516,2.8791984572980396,0.1935483870967742,5.9581662617064675,0.25806451612903225,10.079287892339817,0.5161290322580645,3.4307561839036995,0.41935483870967744,12.457881396058148,0.0967741935483871,4.466023054577933,0.9354838709677419,0.23870967741935484,0.2764976958525346,0.5483870967741935
Tibet,2.6,0.1,2764.9,75237.0,39.6,1.66,199.0,769.0,68.0,370.0,1.7,36.7,1140.0,0.1,143753.0,39.68,1.2809338454620642,0.03225806451612903,0.09531017980432487,0.03225806451612903,7.925121358281208,0.03225806451612903,11.22841170145614,0.3548387096774194,3.703768066607687,0.0967741935483871,0.9783261227936076,0.03225806451612903,5.298317366548036,0.03225806451612903,6.646390514847729,0.8709677419354839,4.23410650459726,0.5806451612903226,5.916202062607435,0.03225806451612903,0.9932517730102833,0.03225806451612903,3.629660094453965,0.03225806451612903,7.039660349862076,0.03225806451612903,0.09531017980432487,0.03225806451612903,11.875858784359416,0.03225806451612903,3.7057365711803594,0.03225806451612903,0.03225806451612903,0.23963133640552994,0.1129032258064516
Xinjiang,251.9,19.3,20534.1,78660.0,526.3,16.24,1009.0,1001.3,210.4,2623.0,66.9,340.6,12211.0,19.3,995623.0,60.36,5.5329941536759195,0.8387096774193549,3.0106208860477417,0.3225806451612903,9.9298908961134,0.2903225806451613,11.272902758846767,0.5483870967741935,6.267769646536424,0.25806451612903225,2.847232265235547,0.3225806451612903,6.917705609835305,0.45161290322580644,6.9100526380308205,0.967741935483871,5.353752073436137,0.8064516129032258,7.8724551500639794,0.3548387096774194,4.21803603456465,0.25806451612903225,5.833640461914415,0.22580645161290322,9.410174353854769,0.1935483870967742,3.0106208860477417,0.2903225806451613,13.81112495525172,0.3870967741935484,4.116758157059,0.25806451612903225,0.3161290322580645,0.5345622119815668,0.36290322580645157
Yunnan,177.5,72.0,31534.1,67612.0,2888.4,28.44,1390.0,828.9,70.7,4655.0,380.4,445.2,21576.0,72.0,1252307.0,54.11,5.184588601219693,0.5161290322580645,4.290459441148391,0.5483870967741935,10.358856490172476,0.45161290322580644,11.121555551234609,0.2903225806451613,7.968804147095281,0.9032258064516129,3.3823542938606757,0.6451612903225806,7.237778191923443,0.6774193548387096,6.7213052116044025,0.9032258064516129,4.272490747605575,0.6451612903225806,8.445911989411274,0.6451612903225806,5.943848693166319,0.9032258064516129,6.100767281998432,0.3548387096774194,9.979383211539385,0.45161290322580644,4.290459441148391,0.4838709677419355,14.040498806777347,0.4838709677419355,4.009331187895144,0.06451612903225806,0.5225806451612903,0.7004608294930874,0.3629032258064516
