province,bacteria,CARSS_abx,resistant_pc,n_strains
Guangdong,S. aureus,Oxacillin,28.4,
Guangdong,S. aureus,Ciprofloxacin,16.3,
Guangdong,S. aureus,Tetracycline,28.3,
Guangdong,S. aureus,Levofloxacin,16.6,
Guangdong,S. aureus,Gentamicin,9.8,
Guangdong,S. aureus,Chloramphenicol,5.9,
Guangdong,S. aureus,Rifampin,2.3,
Guangxi,S. aureus,Penicillin G,90.5,
Guangxi,S. aureus,Erythromycin,40.9,
Guangxi,S. aureus,Clindamycin,26.8,
Guangxi,S. aureus,Oxacillin,27.6,
Guangxi,S. aureus,Ciprofloxacin,11.1,
Guangxi,S. aureus,Tetracycline,31,
Guangxi,S. aureus,Levofloxacin,9.6,
Guangxi,S. aureus,Gentamicin,5.7,
Guangxi,S. aureus,Chloramphenicol,7.1,
Guangxi,S. aureus,Rifampin,3.2,
Hainan,S. aureus,Penicillin G,89.1,
Hainan,S. aureus,Erythromycin,39.1,
Hainan,S. aureus,Clindamycin,19.6,
Hainan,S. aureus,Oxacillin,21.6,
Hainan,S. aureus,Ciprofloxacin,9.6,
Hainan,S. aureus,Tetracycline,35.9,
Hainan,S. aureus,Levofloxacin,9.6,
Hainan,S. aureus,Gentamicin,4.3,
Hainan,S. aureus,Chloramphenicol,6.1,
Hainan,S. aureus,Rifampin,2.9,
Chongqing,S. aureus,Penicillin G,92.5,
Chongqing,S. aureus,Erythromycin,52.5,
Chongqing,S. aureus,Clindamycin,27.1,
Chongqing,S. aureus,Oxacillin,26,
Chongqing,S. aureus,Ciprofloxacin,13,
Chongqing,S. aureus,Tetracycline,16.4,
Chongqing,S. aureus,Levofloxacin,13.2,
Chongqing,S. aureus,Gentamicin,7.7,
Chongqing,S. aureus,Chloramphenicol,4,
Chongqing,S. aureus,Rifampin,1.3,
Sichuan,S. aureus,Penicillin G,93.4,
Sichuan,S. aureus,Erythromycin,56,
Sichuan,S. aureus,Clindamycin,31.5,
Sichuan,S. aureus,Oxacillin,29.3,
Sichuan,S. aureus,Ciprofloxacin,13.9,
Sichuan,S. aureus,Tetracycline,19,
Sichuan,S. aureus,Levofloxacin,13.9,
Sichuan,S. aureus,Gentamicin,8.6,
Sichuan,S. aureus,Chloramphenicol,4.4,
Sichuan,S. aureus,Rifampin,1,
Guizhou,S. aureus,Penicillin G,94.3,
Guizhou,S. aureus,Erythromycin,51.2,
Guizhou,S. aureus,Clindamycin,31.8,
Guizhou,S. aureus,Oxacillin,28.7,
Guizhou,S. aureus,Ciprofloxacin,7.1,
Guizhou,S. aureus,Tetracycline,24.7,
Guizhou,S. aureus,Levofloxacin,7.4,
Guizhou,S. aureus,Gentamicin,4.5,
Guizhou,S. aureus,Chloramphenicol,6.9,
Guizhou,S. aureus,Rifampin,1,
Yunnan,S. aureus,Penicillin G,93.7,
Yunnan,S. aureus,Erythromycin,55.7,
Yunnan,S. aureus,Clindamycin,31.8,
Yunnan,S. aureus,Oxacillin,22.1,
Yunnan,S. aureus,Ciprofloxacin,14.6,
Yunnan,S. aureus,Tetracycline,33.3,
Yunnan,S. aureus,Levofloxacin,13.2,
Yunnan,S. aureus,Gentamicin,8.5,
Yunnan,S. aureus,Chloramphenicol,11.6,
Yunnan,S. aureus,Rifampin,1.4,
Tibet,S. aureus,Penicillin G,95.5,
Tibet,S. aureus,Erythromycin,51.4,
Tibet,S. aureus,Clindamycin,34.5,
Tibet,S. aureus,Oxacillin,46.3,
Tibet,S. aureus,Ciprofloxacin,12.4,
Tibet,S. aureus,Tetracycline,19.7,
Tibet,S. aureus,Levofloxacin,12.3,
Tibet,S. aureus,Gentamicin,6.5,
Tibet,S. aureus,Rifampin,1.1,
Shaanxi,S. aureus,Penicillin G,93.9,
Shaanxi,S. aureus,Erythromycin,65.1,
Shaanxi,S. aureus,Clindamycin,35.2,
Shaanxi,S. aureus,Oxacillin,35.6,
Shaanxi,S. aureus,Ciprofloxacin,12.9,
Shaanxi,S. aureus,Tetracycline,14.5,
Shaanxi,S. aureus,Levofloxacin,12.9,
Shaanxi,S. aureus,Gentamicin,8,
Shaanxi,S. aureus,Chloramphenicol,5.8,
Shaanxi,S. aureus,Rifampin,1.2,
Gansu,S. aureus,Penicillin G,93.7,
Gansu,S. aureus,Erythromycin,70.6,
Gansu,S. aureus,Clindamycin,46.3,
Gansu,S. aureus,Oxacillin,32.2,
Gansu,S. aureus,Ciprofloxacin,13.6,
Gansu,S. aureus,Tetracycline,20.4,
Gansu,S. aureus,Levofloxacin,12.4,
Gansu,S. aureus,Gentamicin,11.5,
Gansu,S. aureus,Chloramphenicol,5.3,
Gansu,S. aureus,Rifampin,1.8,
Qinghai,S. aureus,Penicillin G,93.8,
Qinghai,S. aureus,Erythromycin,61.8,
Qinghai,S. aureus,Clindamycin,39.6,
Qinghai,S. aureus,Oxacillin,30.5,
Qinghai,S. aureus,Ciprofloxacin,6.8,
Qinghai,S. aureus,Tetracycline,20.7,
Qinghai,S. aureus,Levofloxacin,7.6,
Qinghai,S. aureus,Gentamicin,6.7,
Qinghai,S. aureus,Chloramphenicol,5,
Qinghai,S. aureus,Rifampin,0.9,
Ningxia,S. aureus,Penicillin G,91.5,
Ningxia,S. aureus,Erythromycin,56.9,
Ningxia,S. aureus,Clindamycin,36.9,
Ningxia,S. aureus,Oxacillin,26.6,
Ningxia,S. aureus,Ciprofloxacin,10.7,
Ningxia,S. aureus,Tetracycline,13.3,
Ningxia,S. aureus,Levofloxacin,9.2,
Ningxia,S. aureus,Gentamicin,6.5,
Ningxia,S. aureus,Chloramphenicol,11,
Ningxia,S. aureus,Rifampin,1.4,
Xinjiang,S. aureus,Penicillin G,92.9,
Xinjiang,S. aureus,Erythromycin,50.9,
Xinjiang,S. aureus,Clindamycin,28.3,
Xinjiang,S. aureus,Oxacillin,22.3,
Xinjiang,S. aureus,Ciprofloxacin,6.5,
Xinjiang,S. aureus,Tetracycline,13,
Xinjiang,S. aureus,Levofloxacin,6.5,
Xinjiang,S. aureus,Gentamicin,4,
Xinjiang,S. aureus,Chloramphenicol,3.5,
Xinjiang,S. aureus,Rifampin,1.2,
Anhui,E. coli,Amoxicillin,11,
Anhui,E. coli,Ampicillin,83,
Anhui,E. coli,Cefazolin,60.4,
Anhui,E. coli,Cefotaxime,50.6,
Anhui,E. coli,Ceftriaxone,51.4,
Anhui,E. coli,Chloramphenicol,24.9,
Anhui,E. coli,Ciprofloxacin,53,
Anhui,E. coli,Gentamicin,35.5,
Anhui,E. coli,Levofloxacin,51.5,
Beijing,E. coli,Amoxicillin,10.8,
Beijing,E. coli,Ampicillin,80.1,
Beijing,E. coli,Cefazolin,65.5,
