scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,env_amr_q_fdr,partial_env_amr_q_fdr
all_years,sediment,tetracyclines,K. pneumoniae | Ceftazidime,grp_2024,23,3,693,129,2,2004,2025,-0.16555473695428904,0.4502920487845241,-0.023715415019762844,0.9144659262773505,0.06310630550908343,0.17629345855989417,-0.29701014002844095,0.1687385708187329,0.6205533596837944,0.0015813111343060341,TRUE,1,1.0060409802824872,Qinghai,0.9606720658320372,0.9842154623604513
all_years,sediment,lincosamides,E. coli | Polymyxin B,total_aquatic_products_2024,13,3,26,22,1,2010,2018,-0.16506205436421886,0.5899605661372347,-0.09890109890109891,0.7478683035983904,0.2592759711301179,0.06997245179063301,0.3218710060102268,0.2835130785985348,0.489010989010989,0.08991308230865631,FALSE,1,1.1644496079288051,Guangdong,0.9760411679411738,0.9751218136611995
all_years,surface water,macrolides,E. coli | Nitrofurantoin,chemical_fertilizers_2024,14,3,42,16,1,2015,2023,-0.16483516483516483,0.573346405013138,0.26593406593406593,0.35811340036478634,0.006641885476426646,0.5788497217068641,-0.512087912087912,0.061198486156458405,0.5736263736263736,0.03197081397639698,TRUE,0.8571428571428571,1.2666666666666666,Tibet,0.9725336301598146,0.9268335373285431
all_years,surface water,macrolides,P. aeruginosa | Meropenem,chemical_fertilizers_2024,14,3,42,16,1,2015,2023,-0.16483516483516483,0.573346405013138,0.05054945054945055,0.8637420361792152,0.006641885476426646,0.5788497217068641,-0.512087912087912,0.061198486156458405,0.5824175824175825,0.028854655357671826,TRUE,1,0.9333333333333333,Anhui,0.9725336301598146,0.9842154623604513
all_years,surface water,sulfonamides,A. baumannii | Ceftazidime,chemical_fertilizers_2024,14,3,49,15,1,2013,2024,-0.16483516483516483,0.573346405013138,-0.05054945054945055,0.8637420361792152,0.07898257926378309,0.18961038961038862,-0.4153846153846154,0.1396659475175257,0.5868131868131868,0.02738437553108774,TRUE,1,0.9,Hainan,0.9725336301598146,0.9842154623604513
all_years,surface water,sulfonamides,K. pneumoniae | Cefotetan,urban_env_infra_investment_2024,14,3,49,15,1,2013,2024,-0.16483516483516483,0.573346405013138,-0.3362637362637363,0.2397922022572526,0.07898257926378309,0.18961038961038862,-0.35384615384615387,0.21453987088124624,0.432967032967033,0.1220100059684803,TRUE,0.9285714285714286,1.2666666666666666,Tibet,0.9725336301598146,0.8756506136724482
all_years,surface water,sulfonamides,P. aeruginosa | Ceftazidime,hospital_beds_2024,14,3,49,15,1,2013,2024,-0.16483516483516483,0.573346405013138,-0.3230769230769231,0.2598736195087899,0.07898257926378309,0.18961038961038862,-0.35384615384615387,0.21453987088124624,0.3274725274725275,0.2530710007719408,TRUE,1,1.3000000000000003,Hainan,0.9725336301598146,0.8871017830455327
all_years,surface water,sulfonamides,K. pneumoniae | Cefepime,freshwater_aquatic_products_2024,14,3,49,15,1,2013,2024,0.16483516483516483,0.5733464050131385,0.14725274725274726,0.6154187624847252,0.07898257926378309,0.18961038961038862,-0.13846153846153847,0.6368849912650185,0.6923076923076923,0.0060710487499900405,FALSE,0.9285714285714286,1.1333333333333333,Guangdong,0.9725336301598146,0.9606462350922552
all_years,sludge,diaminopyrimidines,P. aeruginosa | Aztreonam,sewage_pipe_length_2024,13,3,19,17,1,2010,2017,0.16471236950562815,0.5907596399583649,0.027472527472527476,0.929011729160351,0.8019823386358851,0,-0.38721855287288026,0.19115364155854178,0.37362637362637363,0.2085540597952089,FALSE,1,1.4019268286161235,Gansu,0.9760411679411738,0.9853330220901917
all_years,sludge,macrolides,E. coli | Cefuroxime,milk_output_2024,14,3,77,25,1,2005,2017,-0.16463968873338866,0.573807554996539,-0.3274725274725275,0.2530710007719406,0.8556343441410651,0,-0.34262854141813315,0.23045006637631998,0.4593406593406593,0.09846837616829027,TRUE,0.9285714285714286,1.1863889253229416,Guangdong,0.9725336301598146,0.8871017830455327
all_years,soil,tetracyclines,E. coli | Aztreonam,hospitals_count_2024,24,3,312,68,2,2007,2022,-0.1643478260869565,0.44284615123934,-0.08869565217391304,0.6802397967489955,0.48567178524771265,0,-0.35391304347826086,0.0897584560898227,0.41391304347826086,0.044355692190527415,TRUE,1,0.827801827801828,Liaoning,0.9606720658320372,0.9729669155213013
all_years,surface water,tetracyclines,A. baumannii | Cefotaxime,grp_per_capita_2024,15,2,42,17,1,2015,2024,0.16428571428571426,0.5584973732486012,0.14642857142857138,0.6025499209830542,1,0,-0.49642857142857144,0.059797413749923985,0.3392857142857143,0.21602892534195475,FALSE,0.9333333333333333,1.173913043478261,Henan,0.9680381848659887,0.9606462350922552
all_years,surface water,tetracyclines,S. aureus | Penicillin G,milk_output_2024,15,2,42,17,1,2015,2024,-0.16428571428571426,0.5584973732486016,-0.3428571428571428,0.21092379341475206,1,0,0.16071428571428573,0.5671967045803448,0.6142857142857143,0.014833955405976944,FALSE,1,1.4481605351170574,Henan,0.9680381848659887,0.8680942753677526
all_years,sediment,diaminopyrimidines,A. baumannii | Minocycline,grp_2024,18,3,122,45,2,2008,2020,-0.16408668730650156,0.5152947310342105,-0.41382868937048506,0.08778525139466078,0.01039862314664235,0.47547758284600455,-0.32507739938080493,0.18808478142236898,0.3622291021671827,0.1396250064170029,TRUE,1,0.7028301886792456,Hainan,0.9606720658320372,0.7507306204313801
all_years,sediment,diaminopyrimidines,A. baumannii | Tigecycline,sewage_disposal_capacity_2024,18,3,122,45,2,2008,2020,-0.16408668730650156,0.5152947310342105,-0.15583075335397317,0.5369306230900768,0.01039862314664235,0.47547758284600455,-0.20743034055727555,0.4088537259590218,0.4262125902992776,0.07778293683965698,TRUE,1,0.7460691823899371,Jiangsu,0.9606720658320372,0.9606462350922552
all_years,sediment,diaminopyrimidines,S. aureus | Erythromycin,milk_output_2024,18,3,122,45,2,2008,2020,0.16408668730650156,0.5152947310342115,0.2982456140350877,0.22932241176613288,0.01039862314664235,0.47547758284600455,-0.07327141382868937,0.7726309674360763,0.7647058823529411,2.1879309769392725e-4,FALSE,1,1.150943396226415,Guangdong,0.9606720658320372,0.8756506136724482
all_years,wastewater influent,fluoroquinolones,E. coli | Meropenem,urban_share_2024,11,3,44,12,1,2016,2024,0.16363636363636364,0.6306852146425357,0.3090909090909091,0.3550284397015071,0.07495187103951058,0.3977272727272725,0.2727272727272727,0.41714143714253127,0.6090909090909091,0.04669570935409886,TRUE,0.9090909090909091,1.7037037037037037,Beijing,0.9843507082702075,0.9268335373285431
