scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,surface water,fluoroquinolones,E. coli | Ceftazidime,chemical_fertilizers_2024,15,3,72,20,1,2015,2024,0.5357142857142856,0.03956697222954953,0.4785714285714285,0.07113080825563328,0.27743910513984715,0.014965986394557854,0.4107142857142857,0.1283286460157489,0.6571428571428571,0.007770251358668445,TRUE,1,0.22666666666666696,Jiangxi,3,3,0,5,5,0.9897658389202042,0.8129156205499035,3,19,Strong lead,2,,,,NA
all_years,surface water,fluoroquinolones,E. coli | Ceftazidime,chemical_fertilizers_2024,15,3,77,21,1,2015,2024,0.5357142857142856,0.03956697222954953,0.4785714285714285,0.07113080825563328,0.27743910513984715,0.014965986394557854,0.4107142857142857,0.1283286460157489,0.6571428571428571,0.007770251358668445,TRUE,1,0.22666666666666696,Jiangxi,3,3,0,5,5,0.8679810523175701,0.7578262301000481,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,fluoroquinolones,S. aureus | Erythromycin,milk_output_2024,15,3,72,20,1,2015,2024,0.5249999999999999,0.04448390580010641,0.4749999999999999,0.07357086204591369,0.27743910513984715,0.014965986394557854,0.42857142857142855,0.11096021426087677,0.7071428571428572,0.003195481258245066,TRUE,1,0.2004186289900574,Hebei,3,3,0,5,5,0.9897658389202042,0.8129156205499035,3,19,Strong lead,2,,,,NA
all_years,surface water,fluoroquinolones,S. aureus | Erythromycin,milk_output_2024,15,3,77,21,1,2015,2024,0.5249999999999999,0.04448390580010641,0.4749999999999999,0.07357086204591369,0.27743910513984715,0.014965986394557854,0.42857142857142855,0.11096021426087677,0.7071428571428572,0.003195481258245066,TRUE,1,0.2004186289900574,Hebei,3,3,0,5,5,0.8679810523175701,0.7578262301000481,3,19,Strong lead,2,,,,NA
all_years,surface water,fluoroquinolones,E. coli | Aztreonam,chemical_fertilizers_2024,15,3,77,21,1,2015,2024,0.5142857142857142,0.049839233471420635,0.45357142857142846,0.08948590014302728,0.27743910513984715,0.014965986394557854,0.4107142857142857,0.1283286460157489,0.5321428571428571,0.04115858038693436,TRUE,1,0.2008547008547007,Anhui,3,3,0,5,5,0.8679810523175701,0.7578262301000481,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,P. aeruginosa | Meropenem,grp_per_capita_2024,15,3,107,22,2,2012,2017,0.5063268540349042,0.05411386351610321,0.18928571428571425,0.4992630332385454,0.10733147527766454,0.20530555555555607,0.47929873015403734,0.07064113310210575,0.6928571428571428,0.0041902329602981365,TRUE,1,0.2600068664722993,Shanghai,3,2,4,5,5,0.9897658389202042,0.9821372580715791,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,fluoroquinolones,P. aeruginosa | Aztreonam,chemical_fertilizers_2024,15,3,72,20,1,2015,2024,0.5035714285714284,0.05565451716115852,0.5499999999999999,0.03365535781500704,0.27743910513984715,0.014965986394557854,0.4107142857142857,0.1283286460157489,0.3392857142857143,0.21602892534195475,TRUE,1,0.33115111838516115,Tibet,3,3,0,5,5,0.9897658389202042,0.7147018817513962,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,S. aureus | Clindamycin,grp_2024,15,3,107,22,2,2012,2017,-0.49551560448255744,0.06034267295815702,-0.08928571428571427,0.7516725173502772,0.10733147527766454,0.20530555555555607,0.5261474782142064,0.043936733609912244,-0.775,6.896453939514351e-4,TRUE,1,0.2375596325616125,Gansu,3,2,4,5,5,0.9897658389202042,0.9983183529452494,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,fluoroquinolones,P. aeruginosa | Cefepime,hospitals_count_2024,15,3,72,20,1,2015,2024,0.45357142857142846,0.08948590014302728,0.3499999999999999,0.20094535081629372,0.27743910513984715,0.014965986394557854,0.4035714285714286,0.13576799650365637,0.5928571428571429,0.019846421970181112,TRUE,1,0.22955784373107194,Hebei,3,3,0,5,5,0.9897658389202042,0.9085948024020088,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,E. coli | Polymyxin B,urban_share_2024,15,3,172,30,2,2012,2020,0.4450403921861809,0.09645185561046041,0.4678571428571428,0.07863023115438054,0.5496407329013963,0,0.5201074462898742,0.04687366178097886,0.3964285714285714,0.1434945314423536,TRUE,1,0.32495686473614654,Shanxi,3,3,0,5,5,0.9897658389202042,0.8129156205499035,3,19,Strong lead,2,,,,NA
