scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,surface water,tetracyclines,P. aeruginosa | Gentamicin,chemical_fertilizers_2024,14,2,39,16,1,2015,2024,0.2835164835164835,0.32596594744177265,-0.07692307692307693,0.7938058883554533,0.6547208460185748,0,0.4065934065934066,0.14910193900151344,0.6923076923076923,0.0060710487499900405,TRUE,1,0.631782945736434,Henan,3,3,0,5,4,0.9897658389202042,0.9983183529452494,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,tetracyclines,K. pneumoniae | Cefotaxime,urban_share_2024,14,2,39,16,1,2015,2024,0.27912087912087913,0.33384507719455425,0.002197802197802198,0.9940505286658998,0.6547208460185748,0,-0.3626373626373626,0.2025645438172418,-0.46813186813186813,0.0913763650683315,TRUE,1,0.6456692913385826,Henan,3,3,0,5,4,0.9897658389202042,1,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,macrolides,E. coli | Imipenem,hospitals_count_2024,14,3,65,18,2,2012,2020,-0.27619392618405453,0.3391502149018907,-0.2,0.49300373504000006,0.29848686652087264,0.03800533552226636,-0.44992881523531464,0.10647403420941948,0.24835164835164836,0.3919195389384572,TRUE,1,0.6662065636129464,Tibet,3,3,0,5,4,0.9897658389202042,0.9821372580715791,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,macrolides,P. aeruginosa | Levofloxacin,grp_2024,14,3,65,18,2,2012,2020,-0.27619392618405453,0.3391502149018907,-0.3142857142857143,0.2738049029628676,0.29848686652087264,0.03800533552226636,-0.48556674119454746,0.07837995484031997,0.08571428571428572,0.7707850311186756,TRUE,1,0.7171046058189298,Liaoning,3,3,0,5,4,0.9897658389202042,0.9308538455560896,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,tetracyclines,P. aeruginosa | Tobramycin,hospitals_count_2024,14,2,39,16,1,2015,2024,0.2703296703296703,0.3499193863496043,-0.03736263736263736,0.8990930969739667,0.6547208460185748,0,0.5208791208791209,0.056153927343702656,0.5032967032967033,0.06656042759911306,TRUE,1,0.6747967479674797,Henan,3,3,0,5,4,0.9897658389202042,0.9983183529452494,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,macrolides,K. pneumoniae | Levofloxacin,grp_2024,14,3,65,18,2,2012,2020,-0.2695118150666984,0.3514360972447085,-0.24395604395604395,0.400624803916119,0.29848686652087264,0.03800533552226636,-0.48556674119454746,0.07837995484031997,0.2571428571428571,0.3748119038799703,TRUE,1,0.6890279029902731,Tibet,3,3,0,5,4,0.9897658389202042,0.9788487230639837,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,macrolides,K. pneumoniae | Cefazolin,urban_env_infra_investment_2024,14,3,65,18,2,2012,2020,0.26505707432179426,0.3597606669671948,0.17362637362637362,0.5527669411422413,0.29848686652087264,0.03800533552226636,-0.5523878523681091,0.04052380748184192,-0.33186813186813185,0.24637718314961182,TRUE,1,0.7048813824456709,Tibet,3,3,0,5,4,0.9897658389202042,0.9906241018795825,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,surface water,tetracyclines,S. aureus | Chloramphenicol,grp_per_capita_2024,14,2,39,16,1,2015,2024,0.2615384615384615,0.3664111370667421,0.024175824175824177,0.9346189946036425,0.6547208460185748,0,-0.4461538461538462,0.10980712780122513,-0.47692307692307695,0.08464843419468661,TRUE,1,0.6176470588235299,Jiangsu,3,3,0,5,4,0.9897658389202042,0.9983183529452494,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,macrolides,E. coli | Cefotetan,hospitals_count_2024,14,3,65,18,2,2012,2020,-0.2583749632044381,0.37244678369754736,-0.18681318681318682,0.5225040123791592,0.29848686652087264,0.03800533552226636,-0.44992881523531464,0.10647403420941948,0.3230769230769231,0.2598736195087899,TRUE,1,0.7296866110763149,Tibet,3,3,0,5,4,0.9897658389202042,0.9821372580715791,4,19,Strong lead,2,,,,NA
all_years,surface water,tetracyclines,K. pneumoniae | Polymyxin B,grp_per_capita_2024,14,2,42,17,1,2015,2024,0.25274725274725274,0.3833149644785111,0.2835164835164835,0.32596594744177265,1,0,-0.512087912087912,0.061198486156458405,-0.2043956043956044,0.48334622304222363,TRUE,1,0.7391304347826088,Shandong,3,3,0,5,4,0.9595630073590773,0.9249634852302789,4,19,Strong lead,2,,,,NA
