sample_type,matrix,province,location,season,lon,lat,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
soil,soil,Fujian,Fujian Putian,NA,119.007777,25.454084,2011,Ciprofloxacin,Fluoroquinolones,138.3,138.3,ng/g,192
soil,soil,Fujian,Fujian Putian,NA,119.007777,25.454084,2011,Enrofloxacin,Fluoroquinolones,235,235,ng/g,192
soil,soil,Fujian,Fujian Putian,NA,119.007777,25.454084,2011,Ofloxacin,Fluoroquinolones,205.7,205.7,ng/g,192
soil,soil,Fujian,Fujian Putian,NA,119.007777,25.454084,2011,Oxytetracycline,Tetracyclines,310.20000000000005,613.2,ng/g,192
soil,soil,Fujian,Fujian Putian,NA,119.007777,25.454084,2011,Tetracycline,Tetracyclines,189.8,189.8,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Chlortetracycline,Tetracyclines,864,864,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Ciprofloxacin,Fluoroquinolones,35.5,35.5,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Enrofloxacin,Fluoroquinolones,34.800000000000004,66.2,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Ofloxacin,Fluoroquinolones,13.9,13.9,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Oxytetracycline,Tetracyclines,15.7,23.1,ng/g,192
soil,soil,Fujian,Fujian Quanzhou,NA,118.675675,24.874132,2011,Tetracycline,Tetracyclines,45.4,45.4,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Chlortetracycline,Tetracyclines,240,240,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Ciprofloxacin,Fluoroquinolones,69.6,111.6,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Enrofloxacin,Fluoroquinolones,68.45,126.8,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Ofloxacin,Fluoroquinolones,41.8,41.8,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Oxytetracycline,Tetracyclines,131.9,219.1,ng/g,192
soil,soil,Fujian,Fujian Xiamen,NA,118.089425,24.479833,2011,Tetracycline,Tetracyclines,58.1,58.1,ng/g,192
soil,soil,Guangdong,Guangdong,11,113.26653,23.132191,2011,Ciprofloxacin,Fluoroquinolones,3.91,42,ng/g,213
soil,soil,Guangdong,Guangdong,11,113.26653,23.132191,2011,Enrofloxacin,Fluoroquinolones,5.12,24.4,ng/g,213
soil,soil,Guangdong,Guangdong,11,113.26653,23.132191,2011,Lomefloxacin,Fluoroquinolones,1.32,11,ng/g,213
soil,soil,Guangdong,Guangdong,11,113.26653,23.132191,2011,Norfloxacin,Fluoroquinolones,3.61,17.9,ng/g,213
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Chlortetracycline,Tetracyclines,31.1,104.6,ng/g,133
soil,soil,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Oxytetracycline,Tetracyclines,9.6,79.7,ng/g,133
