pub_id,pub_full,place_in_article_data_extracted_from,article_link
201,"Gan, X. et al. Occurrence and Fate of Typical Antibiotics in a Wastewater Treatment Plant in Southwest China. Environmental science 35, 1817-1823 (2014).",compiled in Zhang_2022.xls,
202,"Wang, N. Pollution characteristics and risks of sulfonamides antibiotics and their resisitance genes in the environment, Nanjing University, (2014).",compiled in Zhang_2022.xls,
203,"Anne, O. et al. Identification of soil contamination hotspots with veterinary antibiotics using heavy metal concentrations and leaching data--a field study in China. Environmental monitoring and assessment 186 (2014).",compiled in Zhang_2022.xls,
204,"Chen, K. & Zhou, J. L. Occurrence and behavior of antibiotics in water and sediments from the Huangpu River, Shanghai, China. Chemosphere 95 (2014).",compiled in Zhang_2022.xls,
205,"Cheng, D. et al. Seasonal variation and sediment–water exchange of antibiotics in a shallower large lake in North China. Science of the Total Environment 476-477 (2014).",compiled in Zhang_2022.xls,
206,"Jiang, Y. et al. Distribution and ecological risk of antibiotics in a typical effluent–receiving river (Wangyang River) in north China. Chemosphere 112 (2014).",compiled in Zhang_2022.xls,
207,"Li, X.-W. et al. Investigation of residual fluoroquinolones in a soil–vegetable system in an intensive vegetable cultivation area in Northern China. Science of the Total Environment 468-469 (2014).",compiled in Zhang_2022.xls,
208,"Liang, X., Chen, B., Nie, X., Hung, X. & Li, X. Common antibiotics in water and sediment of the Pearl River Estuary, South China. Abstracts of Papers of the American Chemical Society 248 (2014).",compiled in Zhang_2022.xls,
209,"Pan, M., Wong, C. K. C. & Chu, L. M. Distribution of antibiotics in wastewater-irrigated soils and their accumulation in vegetable crops in the Pearl River Delta, southern China. Journal of agricultural and food chemistry 62 (2014).",compiled in Zhang_2022.xls,
210,"Wang, N. et al. Pollution characteristics and environmental risk assessment of typical veterinary antibiotics in livestock farms in Southeastern China. Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes 49 (2014).",compiled in Zhang_2022.xls,
211,"Shi, H. et al. Occurrence and distribution of antibiotics in the surface sediments of the Yangtze Estuary and nearby coastal areas. Mar Pollut Bull 83, 317-323, doi:10.1016/j.marpolbul.2014.04.034 (2014).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.marpolbul.2014.04.034
212,"Tai, Y. et al. Concentrations and Distributions of Tetracycline Antibiotics in Soils of Green and Organic Vegetable Fields in Guangzhou, China. Journal of Agro-Environment Science 33, 1743-1748 (2014).",compiled in Zhang_2022.xls,
213,"Wu, X.-L. et al. Distribution and risk assessment of quinolone antibiotics in the soils from organic vegetable farms of a subtropical city, Southern China. Science of the Total Environment 487 (2014).",compiled in Zhang_2022.xls,
214,"Xu, J. et al. Distribution, sources and composition of antibiotics in sediment, overlying water and pore water from Taihu Lake, China. Science of the Total Environment 497-498 (2014).",compiled in Zhang_2022.xls,
215,"Yan, Q. et al. Occurrence and fate of pharmaceutically active compounds in the largest municipal wastewater treatment plant in Southwest China: Mass balance analysis and consumption back-calculated model. Chemosphere 99 (2014).",compiled in Zhang_2022.xls,
216,"Yan, Q. et al. Fate of pharmaceutically active compounds in a municipalwastewater treatment plantand risk assessment. China Environmental Science 34, 672-680 (2014).",compiled in Zhang_2022.xls,
217,"Bai, Y., Meng, W., Xu, J., Zhang, Y. & Guo, C. Occurrence, distribution and bioaccumulation of antibiotics in the Liao River Basin in China. Environmental science. Processes & impacts 16 (2014).",compiled in Zhang_2022.xls,
218,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.jes.2014.06.022
220,"Zhu, S. & Chen, H. The fate and risk of selected pharmaceutical and personal care products in wastewater treatment plants and a pilot-scale multistage constructed wetland system. Environmental Science and Pollution Research 21, 1466-1479, doi:10.1007/s11356-013-2025-y (2014).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-013-2025-y
221,"Chen, M. et al. Simultaneous determination of 32 antibiotics and 12 pesticides in sediment using ultrasonic-assisted extraction and high performance liquid chromatography-tandem mass spectrometry. Anal. Methods 7, 1896-1905, doi:10.1039/c4ay02895c (2015).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c4ay02895c
222,"Li, C. et al. Occurrence of antibiotics in soils and manures from greenhouse vegetable production bases of Beijing, China and an associated risk assessment. The Science of the total environment 521-522 (2015).",compiled in Zhang_2022.xls,
223,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",compiled in Zhang_2022.xls,https://doi.org/10.1897/07-080.1
N154,"Estimating Sources, Fluxes, and Ecological Risks of Antibiotics in the Wuhan Section of the Yangtze River, China: A Year-Long Investigation",not recorded in prior extraction,https://academic.oup.com/etc/article/42/3/605/7729516
N18,Comprehensive assessment of 45 antibiotics in ten urban wastewater treatment plants in Northeastern China: Terminal treatment is not a reliable guard,not recorded in prior extraction,https://doi.org/10.1016/j.jhazmat.2025.137755
N19,"Meng, F. et al. (2023). Occurrence, distribution, and risk assessment of quinolone antibiotics in municipal sewage sludges throughout China. Journal of Hazardous Materials 453, 131322.",not recorded in prior extraction,https://doi.org/10.1016/j.jhazmat.2023.131322
N28,"Zhang, X. et al. (2017). Occurrence, removal, and risk assessment of antibiotics in 12 wastewater treatment plants from Dalian, China. Environmental Science and Pollution Research 24, 16478-16487.",not recorded in prior extraction,https://doi.org/10.1007/s11356-017-9296-7
N34,"Wang, Zilong et al. (2026). 皂河表层水体中抗生素分布特征、来源及生态风险评估. 环境科学 47(1):269-277. DOI: 10.13227/j.hjkx.202412147.",not recorded in prior extraction,https://doi.org/10.13227/j.hjkx.202412147
N36,"Ma, S., et al. (2026). Environmental Toxicology and Chemistry. https://doi.org/10.1093/etojnl/vgag024",not recorded in prior extraction,https://doi.org/10.1093/etojnl/vgag024
N37,Sha Risk assessment of antibiotic residues and resistance profile of E. coli in typical rivers of Sichuan China,not recorded in prior extraction,https://doi.org/10.1371/journal.pone.0306161
N38,Occurrence and Distribution of Antibiotics and Antibiotic Resistance Genes in the Water and Sediments of Reservoir-Based Drinking Water Sources in Henan,not recorded in prior extraction,https://doi.org/10.3390/microorganisms13122828
