sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,Guangdong,"Pearl River, site Z11",2016,,Ciprofloxacin,7.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2015,,Ciprofloxacin,88.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2015,,Ciprofloxacin,53.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2015,,Ciprofloxacin,41.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2015,,Ciprofloxacin,17.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z7",2015,,Ciprofloxacin,18.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2015,,Ciprofloxacin,24.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2015,,Ciprofloxacin,4.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2015,,Ciprofloxacin,14,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2015,,Ciprofloxacin,10.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2017,,Ciprofloxacin,69.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2017,,Ciprofloxacin,162.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2017,,Ciprofloxacin,41.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z4",2017,,Ciprofloxacin,57.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z5",2017,,Ciprofloxacin,58.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z6",2017,,Ciprofloxacin,26,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z8",2017,,Ciprofloxacin,20.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2017,,Ciprofloxacin,14.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2017,,Ciprofloxacin,2.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2017,,Ciprofloxacin,14.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ciprofloxacin,242.9,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ciprofloxacin,280.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2018,,Ciprofloxacin,183.8,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ciprofloxacin,7.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ciprofloxacin,57,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2018,,Ciprofloxacin,124.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Ciprofloxacin,41.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z3",2018,,Ciprofloxacin,69.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ciprofloxacin,23.6,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ciprofloxacin,21.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z9",2018,,Ciprofloxacin,57.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ciprofloxacin,20.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ciprofloxacin,24.1,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z10",2018,,Ciprofloxacin,14.2,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ciprofloxacin,4.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ciprofloxacin,10.3,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z11",2018,,Ciprofloxacin,41.5,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z1",2016,,Erythromycin,350.4,,ng/g (dw),N43
sediment,Guangdong,"Pearl River, site Z2",2016,,Erythromycin,128.6,,ng/g (dw),N43
