sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
surface sediment,Jiangsu,"Taihu Lake (7 sites: Tuoshan, Manshan, Central, Southwest, SE, S, Yixing)",2017–2018,,Sulfadiazine,0.05,0.1,ng/g (dw),N71
surface sediment,Jiangsu,"Taihu Lake (7 sites: Tuoshan, Manshan, Central, Southwest, SE, S, Yixing)",2017–2018,,Tetracycline,0.53,0.7,ng/g (dw),N71
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,2021–2022,,Fluoroquinolones (sum),30,458.3,ng/g (dw),N73
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,2021–2022,,Macrolides (sum),4.94,,ng/g (dw),N73
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,2021–2022,,Sulfonamides (sum),2.08,,ng/g (dw),N73
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,2021–2022,,Tetracyclines (sum),3.94,,ng/g (dw),N73
agricultural soil,Jiangsu,Zhangjiagang city (ZJG) farmland,2021–2022,,Total antibiotics (sum),54.38,689.58,ng/g (dw),N73
surface sediment,Jiangsu,"Irrigation river sediments, Zhangjiagang city",2021–2022,,Total antibiotics (sum),,658,ng/g (dw),N73
surface water,Jiangsu,"Irrigation rivers, Zhangjiagang city",2021–2022,,Total antibiotics (sum),,1547.06,ng/L,N73
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Fluoroquinolones (sum),725.03,5835.89,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Fluoroquinolones (sum),231.87,1205.21,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Macrolides (sum),43.05,149.44,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Macrolides (sum),162.26,2410.84,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Sulfonamides (sum),123.79,835.32,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Tetracyclines (sum),107.82,401.19,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Tetracyclines (sum),77.03,442.27,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Total antibiotics (sum),,6515.99,ng/L,N74
surface water,Jiangsu,"Lower Yangtze River, Jiangsu section (19 drinking water sources)",2021–2022,,Total antibiotics (sum),,2562.59,ng/L,N74
surface water,Hunan,Zijiang River (middle Yangtze River tributary),2022,,Erythromycin-H2O,,14.7,ng/L,N75
surface water,Hunan,Zijiang River (middle Yangtze River tributary),2022,,Ofloxacin,4.36,,ng/L,N75
surface water,Hunan,Zijiang River (middle Yangtze River tributary),2022,,Total antibiotics (sum),,91.4,ng/L,N75
surface water,Hunan,Zijiang River (middle Yangtze River tributary),2022,,Total antibiotics (sum),,34.7,ng/L,N75
surface sediment,Jiangsu,Luoma Lake (LML),2020–2022,,"Macrolides (sum, dominant class in sediment)",,3.7,ng/g (dw),N76
surface sediment,Tianjin,Yuqiao Reservoir (YQR),2020–2022,,"Macrolides (sum, dominant class in sediment)",,22.3,ng/g (dw),N76
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze River",2021–2022,,Enrofloxacin,40.7,,ng/g (dw),N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze River",2021–2022,,Erythromycin,1447.4,,ng/g (dw),N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze River",2021–2022,,Oxytetracycline,62.6,,ng/g (dw),N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze River",2021–2022,,Sulfamethoxazole,443.7,,ng/g (dw),N78
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze River",2021–2022,,Tetracycline,2.1,,ng/g (dw),N78
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Chlortetracycline (CTC),26.94,150.6,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Ciprofloxacin,1.38,3.21,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Doxycycline,46.77,167.42,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Enrofloxacin,17.29,25.56,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Norfloxacin,3.4,9.94,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Sulfacetamide (SAAM),19.01,36.18,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Sulfaquinoxaline (SQX),102.92,451.39,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Tetracycline,39.43,111.52,ng/L,N79
river water (suspended matter fraction),Shanxi,Fen River Basin (23 sites),2021,,Total antibiotics (sum),463.56,1976.73,ng/L,N79
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze River Basin)",2021,,Pimaricin (PMY),62.24,,ng/L,N80
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze River Basin)",2021,,Sulfamethoxazole,53.82,,ng/L,N80
aquaculture wastewater,Jiangsu,"Freshwater finfish ponds, Nanjing and Yixing (lower Yangtze River Basin)",2021,,Sulfonamides (sum),105.95,,ng/L,N80
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",2022–2023,,Ciprofloxacin,1.37,14.79,ng/L,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",2022–2023,,Difloxacin (DIF),34.81,97.4,ng/L,N81
groundwater,Hebei,"12 groundwater sites, Shijiazhuang City",2022–2023,,Enrofloxacin,159.4,1010,ng/L,N81
