sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
municipal sludge,sludge,Gansu,Lanzhou,Ciprofloxacin,fluoroquinolones,22.5,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Chloramphenicol,other,480.0,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Trimethoprim,sulfonamides,932.5,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfathiazole,sulfonamides,0.0,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfapyridine,sulfonamides,175.00000000000003,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamerazine,sulfonamides,937.5,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamethazine,sulfonamides,302.5,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamethoxazole,sulfonamides,357.5,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfamonomethoxine,sulfonamides,255.0,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfadiazine,sulfonamides,5.0,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
municipal sludge,sludge,Gansu,Lanzhou,Sulfadimethoxine,sulfonamides,100.0,,ng/g dw,2014,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Norfloxacin,fluoroquinolones,111.0,680.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Ciprofloxacin,fluoroquinolones,17.3,53.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Erythromycin-H2O,macrolides,50.9,201.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Chloramphenicol,other,2.79,3.17,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Trimethoprim,sulfonamides,14.7,31.4,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Sulfamethazine,sulfonamides,36.5,97.5,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Sulfadiazine,sulfonamides,2.58,4.31,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Tetracycline,tetracyclines,128.0,635.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Roxithromycin,tetracyclines,27.9,86.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Oxytetracycline,tetracyclines,456.0,2080.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Chlortetracycline,tetracyclines,3.38,4.64,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,Xian,Cefazolin,beta-lactams,43.0,104.0,ng/g dw,2017,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,,Mecillinam,other,1.7,12.35,ng/g dw,2020,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,,Oxytetracycline,tetracyclines,16.13,87.89,ng/g dw,2018,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
sediment,sediment,Shaanxi,,Chlortetracycline,tetracyclines,4.96,26.78,ng/g dw,2019,,"Zhang, Q., Zhang, G., Liu, D., Zhang, X., Fang, R., Wang, L., ... & Li, S. (2022). A dataset of distribution of antibiotic occurrence in solid environmental matrices in China. Scientific Data, 9(1), 276.",Zhang_2022.xls (Records sheet). Extracted from ABX_conc_mean/ABX_conc_max with loc_l1-l4 metadata.,N4,Zhang_2022.xls,https://figshare.com/articles/dataset/A_dataset_of_distribution_of_antibiotic_occurrence_in_solid_environmental_matrices_in_China/19692241,True
soil,soil,Tianjin,Northern China amended soil Soil 3,Sulfamethoxazole,sulfonamides,2.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 3) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 4,Sulfamethoxazole,sulfonamides,8.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 4) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 5,Sulfamethoxazole,sulfonamides,11.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 5) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 6,Sulfamethoxazole,sulfonamides,46.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 6) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 7,Sulfamethoxazole,sulfonamides,12.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 7) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 8,Sulfamethoxazole,sulfonamides,11.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 8) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 9,Sulfamethoxazole,sulfonamides,3.8,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 9) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 10,Sulfamethoxazole,sulfonamides,6.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 10) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 3,Sulfadimidine,sulfonamides,28.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 3) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 4,Sulfadimidine,sulfonamides,33.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 4) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 6,Sulfadimidine,sulfonamides,11.6,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 6) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 7,Sulfadimidine,sulfonamides,59.2,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 7) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 8,Sulfadimidine,sulfonamides,30.5,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 8) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 9,Sulfadimidine,sulfonamides,15.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 9) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 10,Sulfadimidine,sulfonamides,15.5,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 10) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 1,Sulfachloropyridazine,sulfonamides,15.1,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 1) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 2,Sulfachloropyridazine,sulfonamides,36.7,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 2) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 3,Sulfachloropyridazine,sulfonamides,3.9,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 3) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 4,Sulfachloropyridazine,sulfonamides,14.3,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 4) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
soil,soil,Tianjin,Northern China amended soil Soil 5,Sulfachloropyridazine,sulfonamides,8.4,,ng/g dw,2014,,"Hou, J., Wan, W., Mao, D., Wang, C., Mu, Q., Qin, S., & Luo, Y. (2015). Occurrence and distribution of sulfonamides, tetracyclines, quinolones, macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental Science and Pollution Research, 22, 4545–4554.",Sup 2014 Hou Table 9 soils section (Soil 5) | Hou supplement abbreviation normalized to full compound names using Sup 2014 Table 0 compound list.,N_HOU2015_NORTH_SOIL,Sup 2014 Jie Hou ... .docx,https://doi.org/10.1007/s11356-014-3632-y,True
