sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Marbofloxacin,fluoroquinolones,2.225,3.6,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Ofloxacin,fluoroquinolones,1.88,12.2,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Ciprofloxacin,fluoroquinolones,4.645,5.9,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Enoxacin,fluoroquinolones,3.685,4.5,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Norfloxacin,fluoroquinolones,4.31,6.1,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Lomefloxacin,fluoroquinolones,1.825,4.0,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Sarafloxacin,fluoroquinolones,1.225,3.2,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Chlortetracycline,tetracyclines,0.00016,0.00123,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Tetracycline,tetracyclines,0.00018,0.00081,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
surface water,surface water,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Oxytetracycline,tetracyclines,0.00085,0.00536,ng/L,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
